place,name,place_type,address,area,coordinates,ended
id-30026,Staunton Harold Hall,Other,,id-99855,,f
id-41278,All Star Music Empire,Venue,17 Minneakoning Rd Flemington NJ 08822,id-115687,40.531006-74.852352,f
id-47053,Église de Lorris-en-Gâtinais,Religious building,,id-39329,47.88992.5141,f
id-47722,Fushan Botanical Garden,Other,264 Taiwan Yilan County Yuanshan Township 雙埤路福山1號,id-12126,24.759694121.590306,f
id-8509,Imperial War Room,Studio,58a Münchendorferstrasse 2353 Guntramsdorf Austria,id-80069,48.0434216.32297,f
id-1169,Music Hall Worpswede,Venue,Findorffstraße 21 27726 Worpswede,id-72161,53.2229918.924983,f
id-50787,Château de Villersexel,Other,Château de Villersexel 70110 Villersexel France,id-67248,47.5517456.430402,f
id-34744,Music Box,Studio,,id-9572,,t
id-48745,Sankt Georgshaus,Venue,Sankt-Georg-Platz 78244 Gottmadingen,id-74981,47.73398.774129,f
id-20528,All Saints Church,Religious building,Savile Road Elland West Yorkshire HX5 0NH,id-81216,53.6805-1.8388,f
id-41555,The Atrium Limketkai Center,Venue,Limketkai Dr Cagayan de Oro Misamis Oriental Philippines,id-11657,,f
id-11574,Henwood Studios,Studio,Unit 8 Oakley Wood Farm Benson,id-93564,,f
id-45114,Heavy Metal Kingdom Studio,Studio,,,,f
id-54101,Studio Trad,Studio,,id-101290,,f
id-48458,Tune Town,Studio,32-B West Broad Street Newton Falls OH 44444,id-27482,41.187957-80.977352,f
id-44243,Château de Méridon,,,id-53025,48.6923492.033587,f
id-25556,Miles College,Educational institution,5500 Myron Massey Boulevard Fairfield Alabama 35064,id-81382,33.480556-86.908889,f
id-34912,Nummijärvi Camping,Other,Nummijärventie 591 61910 Kauhajoki,id-23659,62.27822.435,f
rec-6401-dup-0,Jazzatelier Ulrich5berg,Venue,Badergasse 2 4161 Ulrichsberg,id-80429,48.67470213.914484,f
id-13093,EnCana Events Centre,Indoor arena,300 Highway 2 1 Dawson Creek BC V1G 0A4,id-68700,55.739366-120.209147,f
id-41418,Eglise Saint-Remi de Sérigny,Religious building,rue de léglise,id-42378,48.37150.5762,f
id-57488,Hard Rock Café Guanacaste,Venue,Pacifico Retail Center Route 151 Playas Del Coco Provincia de Guanacaste Puerto Carrillo 50503,id-1218,,t
id-32965,Koschitzky Studio,Studio,Avenida de la Industria 70 Humanes de Madrid,id-118613,40.265892-3.838061,f
id-46115,Hello Spaceboy,Studio,,,,f
id-16522,MM Sound,Studio,Arnsbergstrasse 10,id-72276,,f
id-3515,Studio Éphémère,Studio,,,,f
id-26678,E.S.P. Studios,Studio,,id-117579,,f
id-27357,Abbaye Notre-Dame dOurscamp,Religious building,1 Place Saint-Eloi 60138 Chiry-Ourscamp France,id-51330,49.5345222.972476,f
rec-40953-dup-0,The Wheatsheav,Venue,84-92 Church St St0ke-on-Trent ST4 1BU,id-93612,53.004097-2.185327,f
rec-15261-dup-0,Fingerpriint Recorders,,,,,f
id-52286,Mühltalhalle,Venue,,id-68809,,f
id-35687,新会体育馆,Indoor arena,中国广东江门市新会区三和大道南13号,id-9083,,f
id-51842,Studio 808a,Studio,,id-102621,,f
id-45646,Limburghal,Venue,Jaarbeurslaan 6 3600 Genk Belgium,id-101247,,f
id-33436,Chiesa de San Francesco,Religious building,,id-21363,43.23230311.561539,f
id-13392,First British Independent Studios,Studio,London,,,f
id-16152,Doheny State Beach,Other,,id-22464,,f
id-21292,Kościół Świętego Jana w Mikołowie,Religious building,,id-7051,50.172618.9033,f
id-27210,Suarez-Studio,Studio,,,,f
id-16051,Bella Studios,Studio,,,,f
id-44020,SU2-Studio,Studio,,id-77286,,f
id-19346,Lucifer Sam,,,,,f
id-14957,Clair Global,Other,Lititz Pennsylvania USA,id-101732,,f
id-51807,Oblivion Studios,Studio,,,,f
id-53084,Wichers Productions Mobile Studio,Studio,,id-103296,,f
id-19306,Juniors Motel,,,id-25057,,f
id-21448,The Pod,,,,,f
id-9175,SWITCHBACK STUDIO,Studio,〒157-0061 東京都世田谷区北烏山8-3-16 太田倉庫2F奥,id-116757,35.676278139.591871,f
id-18014,Studio Spegeln,Studio,,,,f
id-3487,Le Chalet,Studio,3 chemin du Bosquet - 33370 Pompignac,id-53458,44.852115-0.41761,t
id-41721,Lubię Wąchać Winyl Studio,Studio,,,,f
id-15417,Eiderlandhalle,Venue,,id-70984,,f
rec-49503-dup-0,Hidden Place Recordimg Studio,Studio,〒590-013y 大阪府堺市南区美木多上1200,id-11714,,f
id-24251,Studio Trafika,Studio,,,,f
id-39209,Argo Laboratorium,Studio,,id-17349,,f
id-10979,Stade Olympique El Menzah,,,,,f
id-56243,Jenny Records,Studio,,,,f
id-28426,Abercorn Studios,Studio,,id-117828,,f
id-45435,Kulttuurikeskus Poleeni,Venue,Savontie 13 76100,id-9711,62.29527.133611,f
rec-38077-dup-0,Academy Aollo Studio,Studio,,,,f
id-54881,Église de Saint-Loup-de-Naud,Venue,,id-44109,48.5361113.209167,f
id-870,柏PALOOZA,,千葉県柏市柏3-2-22 林ビル 2F,id-10818,35.859611139.974006,f
id-13891,First Congregational Church,Religious building,,id-8764,41.685995-70.076173,f
id-55597,Evangelische Kirchgemeinde Altstätten,Religious building,Heidenerstrasse 7 9450,id-97108,47.3802319.540408,f
id-28580,Norton Center for the Arts,Venue,600 W Walnut St Danville KY 40422,id-27973,37.6446-84.778188,f
id-46758,Never Records Sound Studio,Studio,,,,f
id-19809,Court of the Royal Palace Theatre,Venue,,id-4634,,f
id-46455,Grandmas Itchy Place,Studio,,id-118323,,f
id-28942,Auditório Alberto Fortner,Venue,,,,f
rec-21649-dup-0,Rockbeyach Recording,Studio,1328 Jobnston Rd,id-106302,49.026307-122.800795,t
id-27542,Liverpool Philharmonic at the Friary,Venue,,id-115558,53.4158-2.9761,f
id-49976,Kostas Home Studio,Other,,id-4519,,f
id-35348,Lanceland 2,Studio,,,,f
id-46181,Mytech Studio,Studio,,,,f
id-15154,COD Studios,Studio,,,,f
id-41653,Music Inks Studios,Studio,,,,f
id-33480,Revs Place,Studio,,,,f
id-33728,Château de Chantilly,Venue,,id-67553,49.1938892.485833,f
id-15099,Sawmills Studio,Studio,Sawmills Residential Recording Golant Fowey PL23 1LW,id-117684,50.3543-4.641029,f
id-16750,Breakinglass Studio,Studio,,,,f
id-6926,Chateau de Corroy,Other,,id-4150,,f
id-17878,Cold Lake Energy Centre,Venue,7825 51 St Cold Lake AB T9M 0B6,id-106061,54.44259-110.206825,f
id-17402,BSP Studios UK,,,,,f
id-33867,Convento de Nuestra Señora de Loreto,Religious building,Calle Camino de Loreto 1903 41807,id-112562,37.383611-6.1475,f
rec-32043-dup-0,Oakfield Mastwering,Studio,,,,f
id-32062,Église Notre-Dame-de-la-Nativité,Religious building,,id-37886,43.9063890.551667,f
id-24074,Villa Pirelli,Other,Via Tabacchi 20 21056 Induno Olona VA Italy,id-17575,45.8491738.835411,f
id-15275,Decker Gymnasium,Other,Campus View Street Mansfield PA 16933,id-116128,,f
id-9151,Memories Wedding and Banquet Hall,Venue,2811 Plover Springs Dr.,id-88102,44.469-89.5441,f
id-29149,House of Blues,Venue,1490 Buena Vista Dr Lake Buena Vista FL 32830,id-24293,28.370773-81.521577,f
id-50191,King Street Studios,,,,,f
id-50190,The Towne Crier,Venue,,id-116257,,f
id-27673,Bivouac Le Petit Prince,Studio,MHamid El Ghizlane,id-4779,,f
rec-46758-dup-0,Never Recordqs Sound Studio,Studio,,,,f
id-51272,Gilligans Club,Venue,2625 Walden Ave,id-118184,42.908743-78.739626,t
id-34351,High Denton Farm Ilkley North Yorkshire,Venue,,id-29494,,f
id-4382,Handel Studios,Studio,,,,f
id-22061,Gig Hall,Venue,,id-118297,,f
id-56411,Yost Studios,Studio,,,,f
id-34073,Martinskirche Crailsheim-Roßfeld,Religious building,Forstamtsgasse 9,id-68950,49.140210.0228,f
id-22191,Salle des fêtes,Venue,,id-49332,,f
id-54110,Flatroom Studio,Studio,,id-13299,,f
id-22891,Revoltons Home Studio,,,,,f
id-55345,大阪教育大学,Educational institution,〒582-8582 大阪府柏原市旭ヶ丘4-698-1,id-9919,34.551354135.651125,f
id-31975,Church of Fuglafjørður,Religious building,,id-117752,,f
id-49166,PiTone Lab,Studio,,,,f
id-805,NHK大阪ホール,Venue,〒540-8501 大阪府大阪市中央区大手前4丁目1番20号,id-118635,34.68278135.52,f
id-803,Zepp Sendai,Venue,〒983-0852 宮城県仙台市宮城野区榴岡1-1-1,id-118239,34.64111135.41694,t
id-42229,FC Finkenbachtal 1946 e.V.,Other,Beerfelder Str. 13 64757 Finkenbach,id-119436,49.5346028.918736,f
id-46335,Folkets Hus,Venue,,id-115169,,f
id-16479,ZUNTATA STUDIO,Studio,,,,f
id-50468,Église Saint-Rémy de Huy,Religious building,,id-105254,,f
id-20951,Bliss Co. Studio,Studio,,,,f
id-46333,Electric Palace Studios,Studio,,,,f
rec-48587-dup-0,Ich LDT Srudio,Studio,,,,f
id-53318,Studio Shaark,Studio,Bzinská 762 69681 Bzenec,id-4291,48.9714817.26799,f
id-50897,Associazione Comunità di Etica Vivente,Venue,Località Pian di Mattone n.14 06062,id-15125,42.93399812.042475,f
id-57304,Velvet Mastering,Studio,,,,f
id-4032,Nativa Studios,,,,,f
id-30810,Le Laboratoire Central,Studio,,,,f
id-52827,Estúdio Timbre,Studio,,,,f
id-22072,AB2,,,,,f
id-7525,Kuhstall,Other,Höllthal an der Alz,id-76903,47.97842412.504909,f
id-53426,Linden Underground Studios,,,,,f
id-40251,Auditorium di Casoni,,,id-18551,,f
id-25209,Kirche Zum Heiligen Kreuz,,,id-96148,,f
id-22176,Classic Park,Stadium,35300 Vine Street Eastlake OH 44095,id-27596,41.641111-81.435556,f
id-6401,Jazzatelier Ulrichsberg,Venue,Badergasse 2 4161 Ulrichsberg,id-80429,48.67470213.914484,f
id-34921,Studio Free-Son,Studio,,id-50590,,f
id-22583,Full Force Recording Studio,Studio,954 B South 2nd Street Ronkonkoma NY 11779,id-101675,40.798628-73.113359,f
id-50226,Streaky Mastering,Studio,10 Double Lodge Pinewood Studios Iver Heath Bucks SL0 0NH,id-92620,51.547547-0.53381,f
id-3285,Enmore Theatre,Venue,118-132 Enmore Road Newtown NSW 2042,id-115954,-33.899025151.174191,f
id-9392,Cry Rock,,,,,f
id-34927,Wallyword Studios,,,,,f
id-50122,Levant Studio,,,,,f
id-18876,Kore Ydro Studios,Studio,,,,f
id-23854,Église de Saint-Amant-Roche-Savine,Religious building,,id-54382,,f
id-42702,WarDa Spirit Studios,Studio,,,,f
id-37617,Pfarrkirche Aigen im Mühlkreis,Religious building,,id-80301,48.6458713.971353,f
id-5795,東通AVセンター EMAスタジオ,Studio,,,,f
id-55594,New Jerusalem Recreation Room,,,id-116564,,f
id-8503,愛媛LIVEHOUSE JAM,Venue,,id-422,,f
rec-15704-dup-0,Panoranic Studios,Studio,,,,f
id-10815,RV Inn Style Resorts Amphitheater,Venue,17200 Northeast Delfel Road Ridgefield WA 98642,id-29098,45.744197-122.667042,f
id-30061,Abbaye Sainte-Marie,Religious building,,id-62508,42.45632.6349,f
rec-17393-dup-0,Dutch Mama Studio,Studio,〒194-0093 東京都町田市小川2-9-37,id-118300,35.52212139.463982,f
id-30063,Ambience Sound,Studio,,id-85074,,f
id-56484,La Cueva,Studio,,,,f
id-1080,Hely Sounds,Studio,,id-348,,f
id-24268,Kinning Park,,,,,f
id-43973,Slangerup kirke,Religious building,,id-30080,55.845712.1708,f
id-53692,Vecumnieku luterāņu baznīca,Religious building,Bauskas iela 8 Vecumnieki LV-3933,id-1392,56.60403424.518439,f
id-22107,Aktons crib,,,,,f
id-49604,Rooster Mix Studio,Studio,,,,f
rec-16417-dup-0,Csrrington Pavilion,Venue,629 Craghead St Danvlle VA 24541,id-5815,36.584693-79.385891,f
id-49948,Ahmadia Multimedia Sound Studio,Studio,,id-3575,,f
id-54147,DKDM Studio,,,,,f
id-48145,Megasound Tonstudio,Studio,,id-75811,,f
id-3145,Evangelische Kirche,Religious building,Oberdorfstrasse 5703 Seon,id-96051,47.3461118.156944,f
id-7781,St. Davids Cathedral,Religious building,The Pebbles St Davids Pembrokeshire SA62 6RD UK,id-13260,51.881944-5.268333,f
rec-57201-dup-0,Tamassa Lo7nge and Bar,Venue,9F5G+GJG Eden Islancl Providence,id-3608,-4.641255.4766,f
id-52912,Parsons Smokehouse,,,,,f
id-21097,Five Star Studios,Studio,,,,f
id-10399,Jonsereds kyrka,Religious building,Maneredsvägen 3 433 75 Jonsered,,57.74377212.175325,f
id-3385,Ruff House Studios,Studio,,,,f
id-46724,Tyler Arena,Venue,,id-27583,,f
id-40285,Fellowship Church of Englewood,Religious building,140 Rotonda Blvd W Rotonda West FL 33947,id-104439,26.893398-82.829833,f
id-13219,Hervormde Kerk,Religious building,Hamrikkerweg 27 9943 PA Nieuw-Scheemda,id-116236,53.21016.94256,f
id-28343,Kultur- und Bildungszetrum Bad Oldesloe,Venue,Beer-Yacov-Weg 1,id-68807,53.81048410.372548,f
id-36592,Hexham Abbey,Religious building,,id-115900,54.972-2.103,f
id-36401,Auf Dem Mühlberg Studio,Studio,,,,f
id-36400,Holon Studios,Studio,,,,f
id-4722,Lone Wolf Studio  Productions,Studio,,,,f
id-42174,Vinyl Taco,,,,,f
id-25346,Šv. apaštalų Petro ir Pauliaus katedra,Religious building,Aušros tak. 3 Šiauliai 76294,id-29444,55.94916723.319833,f
id-1445,キングレコード第1スタジオ,Studio,,,,f
id-18271,Plus Good Studio,Studio,,,,f
id-18907,National Crayon Museum,Venue,,,,f
id-15853,TS-Musix Studio,Studio,Karlstr. 34 04316 Leipzig,,,f
id-18415,Pembroke Indoor Skatepark,,,id-941,35.93189414.47177,f
id-21801,Noisy Little Critter,Studio,,id-116079,,f
id-57232,Alliance Française de la Dominique,Educational institution,8J29+R96 Elms Hall Rd Roseau,id-13240,15.302021-61.381597,f
id-34363,S.O.B.s,Venue,204 Varick St New York NY 10014 USA,id-118373,40.728386-74.005144,f
id-40597,Château de Marouatte,Other,24350 Grand-Brassac France,id-47029,,f
id-45046,Église de Froville,Religious building,,id-63372,48.47016.3554,f
id-25177,Angle Inn Mobile Home Park,Other,,id-101719,,f
id-41343,Jesus Pursuit Church,Religious building,2110 Santiam Hwy SE Albany OR 97322,id-82736,44.632326-123.081814,f
id-31017,カノラホール 岡谷市文化会館,Venue,〒394-0029 長野県岡谷市幸町8-1,id-9879,36.067281138.050367,f
id-34064,Masque Sound and Recording,,,,,f
id-10950,Tonys Treasures Studios,Studio,,id-27472,,f
id-47160,Threat Base Studios LLC,Studio,504 E Wisconsin St Lower,id-29313,42.629615-88.641998,f
id-49722,Dan Dean Productions,Studio,,id-84025,,f
id-10530,Mühle Hunziken,Venue,Mühle Hunziken 3113 Rubigen Switzerland,id-96372,46.890667.54219,f
id-45048,The Feathers Hotel,Venue,,,,f
id-18353,Halle 96,Indoor arena,Reitweg 1,id-77086,49.50566110.87633,f
id-28135,Phoenix Cinema,Venue,Junction Road,id-116305,58.980887-2.963208,t
id-43270,Terijoen oppikoulu,Educational institution,,id-86851,,f
id-50223,Sardinia Rock Studio,Studio,,id-4673,,f
rec-1445-dup-0,キングレコード第qスタジオ,Studio,,,,f
id-14599,Factory Recording Studios,Studio,,,,f
id-7786,Studio Sitarti,Studio,,id-61644,,f
id-35628,Volvett Studio 1,Studio,,,,f
id-41553,Ghostmeat Studio,Studio,,id-84932,,f
id-31943,Bartholomäuskirche,Religious building,,id-71497,53.64647.4283,f
id-45334,Johan Hallgrens,,,,,f
id-37765,Pappy  Harriets,Venue,53688 Pioneertown Road Pioneertown CA 92268,id-118498,34.156333-116.493142,f
id-37369,Sven Peks Tonstudio,Studio,Schweinfurter Str. 39 97332 Volkach Germany,id-30750,49.89703110.2289,f
id-36329,St.-Jürgens-Kirche,Religious building,,id-71801,,f
id-45962,La Route du Son,Studio,51 allée Montesquieu,id-46475,,f
id-30368,Beach,Other,Ocean Grove NJ USA,id-115438,,f
id-41820,Micks House,Studio,,id-119680,,f
id-53035,Boyd Sound Studio,Studio,,id-22229,,f
id-28661,Santuario di San Bernardino,Religious building,,id-13310,45.49279.6407,f
id-18758,Sphere Studio,Studio,La Peletie Miossac 24260 Mauzens-et-Miremont,id-34800,44.9688250.922511,f
id-43782,Dreadcore Productions,Studio,,id-103716,,f
id-51652,Northern Lights,Studio,,id-80880,,f
id-39339,Printemps Digital Studio,Studio,,id-97962,,f
id-41556,Albay Astrodome,Stadium,Old Albay District Legazpi City Albay Philippines,id-22987,,f
id-52036,St Michaels Church,Religious building,Mill Hill,id-119506,54.573256-2.483137,f
id-52037,DEV Studios,Studio,,,,f
id-41164,Oseberg Kulturhus,Venue,Ollebukta 3 Tønsberg Norway,id-12330,,f
id-54213,Chartbound Studios,,,,,f
id-55788,DamienDamien Studios,Studio,,,,f
rec-22551-dup-0,Domunation Studio,Studio,,id-2159,,f
id-56028,Chasin Jason Studios,Studio,,id-28736,,f
id-56742,Rock Nowe Studios,Studio,,id-115778,,f
id-36886,Risefest Festival Ground,Venue,3149 Nest Ave Sheldon IA 51201 USA,id-24943,43.194676-95.823119,f
id-31241,Simple Mans Country/Western Club,Venue,2545 Hwy 5 North,id-81960,,f
id-53671,Krimuldas baznīca,Religious building,Krimuldas pagasts LV-2144,id-1335,57.16336624.767254,f
id-16557,Ar Studio - Estúdio de Áudio,Studio,Avenida 3 nº 245 - Centro Sala 144 CEP 13.500-390 - Rio Claro / S. Paulo Brasil,id-89194,-22.41083-47.559856,f
rec-43461-dup-0,Tune Up Syudio,Studio,,,,f
id-47594,Anfiteatro Romano di Alba Fucens,Venue,,id-19249,,f
id-23311,Gater Music,Studio,,id-9713,,f
id-23310,LA Studio,Studio,,,,f
id-19052,Hessentags-Arena,Venue,,id-7483,50.67638.3082,f
id-43185,Roxbury Community College,Educational institution,,id-115814,,f
id-55540,Conservatori Professional de Música de Torrent,Educational institution,,id-107835,39.4232-0.4794,f
id-8668,Offord Hall The Green Room,Venue,,id-101153,,f
id-18547,Frankenhalle,Indoor arena,Wildenheider Straße 11 96465 Neustadt bei Coburg Germany,id-69608,,f
id-40568,Wisner Productions,Studio,2065 Jan Lan Boulevard St. Cloud Florida 34772,id-26686,28.232099-81.246076,f
id-842,CRAZYMAMA KINGDOM,Venue,〒700-0836 岡山県岡山市北区中央町6-22中央町ヒルズ4F,id-11911,34.657137133.923512,f
id-15147,The Bassment of Sonic Architecture,Studio,,,,f
id-21779,Estudio Casa Frida,Studio,,,,f
id-51782,Solcyst Studio,Studio,,id-49822,,f
id-50257,Centralia United Methodist Church,Religious building,,id-27197,39.2018-92.1285,f
rec-25035-dup-0,Aqua Soujds Studio,Studio,22 Prince St. Christianstecl St. Croix,id-76946,,f
id-6829,Fuggerschloss Kirchheim,Other,,id-76257,48.17219410.474389,t
id-15039,Spectrum Studio,Studio,7 rue de Belle-Vue - 44610 Indre,id-53451,47.196245-1.667824,f
id-9438,Chiesa di Santo Stefano,Religious building,,id-21516,44.50359411.083003,f
id-53683,Brown County Music Center,Venue,200 Maple Leaf Boulevard Nashville IN 47448,id-119581,39.198497-86.239019,f
id-48274,Haus Waldfrieden,Venue,,id-72543,,f
id-19170,SR Studio2,Studio,,,,f
id-30243,Digital Audio Co.,Studio,3 Carleton Business Park Carleton New Road Skipton BD23 2AA,id-8251,,f
id-10943,ALC Laboratories,Studio,,,,f
id-53721,Chateau Shanty Studios,Studio,,,,f
id-40939,Stabburet Studio,Studio,,,,f
id-23777,Bentleys carriage house,,,,,f
id-23776,Weller attic,,,,,f
id-53461,Annoying Sound Factory,Studio,,id-119068,,f
id-46465,TONEHOME Studios,Studio,,id-82783,,f
id-53046,Hamilton County Youth Prevention Center,,,,,f
id-57340,Acacia Village,,,id-13213,4.86873431.539189,f
id-11093,Blues Summit Studios,Studio,,id-100379,,f
id-32172,Residenzschloß,,,id-7500,,f
id-35237,Chapelle de Boyeux-Saint-Jérôme,Religious building,,id-58613,,f
id-7398,Philharmonie Haarlem Grote Zaal,Venue,,,,f
id-35542,Jokes Koeienverhuurbedrijf,Studio,Schellingwoude,id-94214,,t
id-9761,Studio du moulin,Studio,En Fraisse 81500 Montcabrier,id-66506,43.62331.732035,f
id-5997,Klosterkirche Muri,Religious building,,id-96007,47.275338.3379,f
id-19264,Studio Haga,Studio,,id-117931,,f
id-10365,April Base,Studio,,id-94156,,f
id-38022,L.A.M. Studios,Studio,,,,f
id-27185,Stadthalle,Venue,,id-70212,,f
id-9040,MUV STUDIO,Studio,,,,f
id-17877,West Central Events Centre,Indoor arena,500 2 St E Kindersley SK S0L 1S0,id-29858,,f
id-51475,Central University of Venezuela,,,,,f
id-20298,Studio Beep,Studio,,id-118287,,t
id-46684,Kirche Unserer Lieben Frau vom Rosenkranz,Religious building,,,48.0799367.810356,f
id-20425,Manganaros Recording Studio,Studio,,id-101688,,f
id-30807,Martinikerk,Religious building,Kerkstraat 4,id-92079,52.0144396.133889,f
id-1287,NMB48劇場,Venue,〒542-0075 大阪府大阪市中央区難波千日前12-7 YES NAMBAビルB1,id-118636,34.664611135.503056,f
id-56686,Hard Rock Café Punta Cana,Venue,,id-119778,,f
id-19118,Le Noize Maker Studio,Studio,,id-62102,,f
id-34474,Unstable Studios,Studio,Guillhams Farm Haslemere Surrey United Kingdom,id-9709,,f
id-48597,Studio Green Africa,Studio,,id-89955,,f
id-34849,MacPherson Stadium,Indoor arena,38 Nelson Street Mong Kok Kowloon Hong Kong,id-118508,22.318114.172,f
id-26946,Convento do Beato,Religious building,,id-117651,38.735-9.105889,f
id-16901,Repeatle Studios,,,,,f
id-33194,St. Mikaels kyrka,Religious building,,id-32603,60.263519.9308,f
id-10486,Abbaye de Saint-Michel,Religious building,6 rue du Chamiteau 02830 Saint-Michel,id-67727,49.9275794.134731,f
id-34326,Klubokawiarnia Kaaba,Venue,ul. Kilińszczaków 66,id-6227,,f
id-43112,Hoons Studio,Studio,,,,f
id-31756,Zamek w Bolkowie,Other,,id-7087,50.92166716.097778,f
id-28603,Arcade Studio Essex UK,Studio,10 St Leonards Hockley Essex SS5 5AD UK,id-8201,,f
id-55646,Plaza de Toros de Pedro Bernardo,Other,Plaza de Toros 14 05470 Pedro Bernardo Ávila Spain,id-109665,40.243331-4.910125,f
id-10767,Dallas International Motor Speedway,Other,,id-7736,,t
id-53812,JUZ Burladingen,Venue,,id-7518,,f
id-51084,Penny Lane Studios,Studio,,id-11953,,f
id-40847,Chiesa del Convento Francescano di Monte Mesma,Religious building,,id-15403,45.7768.4415,f
id-53596,The Decibel Foundry,Studio,,,,f
id-17221,Loko Studio,Studio,,id-52800,,f
id-22551,Domination Studio,Studio,,id-2159,,f
id-45142,intelsat jazz club,Venue,,id-11086,,f
rec-18492-dup-0,Shalin Liu Perf0rmance Center,Venue,,id-82621,,f
id-32303,SUPER Restaurant,,5 Norwich Quay Lyttelton Christchurch New Zealand 8082,id-116593,-43.604158172.722306,f
id-28800,Musikværket,,Gasværksvej 60 7900 Nykøbing Mors,id-115094,56.7930788.848088,f
id-12866,Wallroom,,,,,f
id-45498,摩耶観光ホテル,Other,,id-11724,34.727611135.21275,f
id-10318,University of Turin,Educational institution,,,,f
id-45149,Rush Hour Studio,Studio,,id-24468,,f
id-8564,静岡市民文化会館,Venue,〒420-0856 静岡市葵区駿府町2番90号,id-117756,34.98084138.386811,f
id-14141,Silvretta Ski and Funsport Arena,Other,,id-30679,,f
id-51942,Centro Studi Musicali Rosario Scalero,,,id-21199,,f
id-55860,Bellini Beach,Other,Strandweg 13 17373 Ueckermünde,id-70042,53.7385714.13924,f
id-22726,Red Robinson Show Theatre,Venue,,id-88597,49.282969-122.752619,f
id-48695,Worksop College Chapel,Religious building,,id-29668,,f
id-22041,Blaines Athens home studio,Studio,,,,f
id-25381,ExCeL London,Other,One Western Gateway Royal Victoria Dock London E16 1XL,id-3898,51.50750.029722,f
id-54343,Mobiles Tonstudio Peter Pfister,Studio,,,,f
id-49823,El Studio de Ortega,Studio,,,,f
id-47037,Théâtre du Cloître,Venue,,id-47828,46.12041.0457,f
id-3349,Party.San Open Air Festivalgelände,Venue,,id-68760,51.26722210.635278,t
id-9913,Zámek Žirovnice,Other,,id-4284,,f
id-38000,Revolution Studios,Studio,,id-99609,,f
id-36443,Eastwood Recoding Studio,Studio,1137 Oak Ridge Rd. Cana Virginia 24317,id-102647,,f
id-20229,Moulton Packhorse Bridge,Other,Moulton Suffolk CB8 8SP,id-91883,52.2527460.485514,f
id-29556,The Fieldwork Studio,Studio,,id-105442,,f
id-1618,Hong Kong Coliseum,Indoor arena,9 Cheong Wan Road Hung Hom Kowloon,id-118512,22.301481114.182008,f
id-7049,Schloss Amerongen,Other,,id-91628,,f
id-41091,Chamber Studios,Studio,,id-115061,,f
id-27445,Studio de la Côte Jaune,Studio,Saint-Côme,id-117390,,f
id-18535,Spot-On Sound,,,,,f
id-38564,Capela de São Vicente Araucária,Religious building,Rua São Vicente de Paulo 1060 Araucária,,,f
id-4893,True Busyness Studio,Studio,,id-68806,,t
