species,version,language,flavor_text
id-2,33,5,Son bulbe dorsal est devenu si gros qu’il ne peutplus se tenir sur ses pattes postérieures.
id-2,33,6,"Sobald die Knospe auf seinem Rücken groß wird,kann Bisaknosp nicht mehr auf zwei Beinenstehen."
id-2,33,7,"Cuando le crece bastante el bulbo del lomo,pierde la capacidad de erguirse sobre las patastraseras."
id-2,33,8,Il bulbo sulla schiena è cresciuto così tantoda impedirgli di alzarsi in piedi sulle zampeposteriori.
id-2,33,9,"When the bulb on its back grows large, itappears to lose the ability to stand on itshind legs."
id-2,33,11,背中の　つぼみが　大きく育ってくると　２本脚で立つことが　できなくなるらしい。
id-2,33,12,当背上的花苞长大之后，它似乎就无法再用两只脚站立起来了。
id-2,34,1,たいようの　ひかりを　あびるほどからだに　ちからが　わいて　せなかのつぼみが　そだっていく。
id-2,34,3,햇빛을 받을수록몸에 힘이 솟아나등의 꽃봉오리가 자라난다.
id-2,34,4,沐浴在陽光下越久，身體內會湧出越多力量，背上的花苞也會漸漸成長。
id-2,34,5,La lumière du soleil le rend plus fort et vigoureux.Le bulbe sur son dos grossit en conséquence.
id-2,34,6,Die Sonne macht es stärker. Die Knospe aufseinem Rücken wächst unter dem Einfluss vonSonnenlicht.
id-2,34,7,La luz del sol lo fortalece y hace que le crezca elcapullo que tiene en el lomo.
id-2,34,8,L’esposizione alla luce solare lo rafforzae fa crescere il bocciolo che ha sul dorso.
id-2,34,9,Exposure to sunlight adds to its strength.Sunlight also makes the bud on its backgrow larger.
id-2,34,11,太陽の　光を　浴びるほど体に　力が　わいて　背中のつぼみが　育っていく。
id-2,34,12,沐浴在阳光下越久，身体内会涌出越多力量，背上的花苞也会渐渐成长。
id-3,33,1,たいようエネルギーを　えいようにしておおきなハナが　ひらく。　ひなたにひきよせられるように　いどうする。
id-3,33,3,태양에너지를 양분으로큰 꽃을 피운다. 양지를 향해이끌려가듯이 이동한다.
id-3,33,4,把太陽的能源當成養分，開出碩大的花朵。總是朝著有陽光的地方移動。
id-3,33,5,Sa plante donne une grosse fleur quandelle absorbe les rayons du soleil. Il est toujoursà la recherche des endroits les plus ensoleillés.
id-3,33,6,"Es nutzt Solarenergie als Nahrung und bringt soseine große Blume zum Blühen. Es geht dorthin,wo die Sonne scheint."
id-3,33,7,"La planta florece cuando absorbe energía solar,lo cual le obliga a buscar siempre la luz del sol."
id-3,33,8,Il fiore sboccia assorbendo energia solare.Si muove continuamente in cerca di luce.
id-3,33,9,Its plant blooms when it is absorbing solarenergy. It stays on the move to seek sunlight.
id-3,33,11,太陽エネルギーを　栄養にして大きな花が　開く。　日なたに引き寄せられるように　移動する。
id-3,33,12,把太阳的能源当成养分，开出硕大的花朵。总是朝着有阳光的地方移动。
id-3,34,1,はなから　うっとりする　かおりがただよい　たたかうものの　きもちをなだめてしまう。
id-3,34,3,꽃에서 황홀한 향기가퍼져 나와 싸우는 자의기분을 달래준다.
id-3,34,4,花朵散發出的迷人香味，能安撫激動的心情，甚至消弭鬥爭。
id-3,34,5,Une douce senteur émane de sa plante.Cette fragrance calme tous ceux qui sontengagés dans un combat.
id-3,34,6,Die Blume verströmt einen zauberhaften Duft.Er beschwichtigt erhitzte Kämpfer.
id-3,34,7,"La flor que tiene en el lomo libera un delicadoaroma, que tiene un efecto relajante en combate."
id-3,34,8,Il suo fiore emana una fragranza inebriantecapace di placare l’animo di chi è impegnatonella lotta.
id-3,34,9,A bewitching aroma wafts from its flower.The fragrance becalms those engagedin a battle.
id-3,34,11,花から　うっとりする　香りがただよい　戦うものの　気持ちをなだめてしまう。
id-3,34,12,花朵散发出的迷人香味能安抚激动的心情，甚至消弭斗争。
id-4,33,1,あついものを　このむ　せいかく。あめにぬれると　しっぽの　さきからけむりが　でるという。
id-4,33,3,뜨거운 것을 좋아하는 성격이다.비에 젖으면 꼬리 끝에서연기가 난다고 한다.
id-4,33,4,天生喜歡熱熱的東西。據說當牠被雨淋濕的時候，尾巴的末端會冒出煙來。
id-4,33,5,"Il préfère ce qui est chaud.En cas de pluie, de la vapeur se forme autourde sa queue."
id-4,33,6,Dieses Pokémon bevorzugt heiße Dinge.Bei Regen soll seine Schwanzspitze dampfen.
id-4,33,7,Prefiere las cosas calientes. Dicen que cuandollueve le sale vapor de la punta de la cola.
id-4,33,8,Ama le cose calde. Si dice che quando piovegli esca vapore dalla punta della coda.
id-4,33,9,"It has a preference for hot things. When it rains,steam is said to spout from the tip of its tail."
id-4,33,11,熱いものを　好む　性格。雨に濡れると　しっぽの　先から煙が　出るという。
id-4,33,12,天生喜欢热热的东西。据说当它被雨淋湿的时候，尾巴的末端会冒出烟来。
id-4,34,1,うまれたときから　しっぽに　ほのおがともっている。　ほのおが　きえたときその　いのちは　おわって　しまう。
id-4,34,3,태어날 때부터 꼬리에 불꽃이타오르고 있다. 불꽃이 꺼지면생명도 다하고 만다.
id-4,34,4,從出生時開始尾巴上就有火焰在燃燒。火焰熄滅時，生命也會結束。
id-4,34,5,"Depuis sa naissance, une petite flamme brûleau bout de sa queue. Si cette flamme s’éteint,la vie de ce Pokémon s’éteindra elle aussi."
id-4,34,6,"Von Geburt an brennt die Flamme auf seinerSchwanzspitze. Sobald sie verglimmt, erlischtauch sein Lebenslicht."
id-4,34,7,"Este Pokémon nace con una llama en la punta dela cola. Si se le apagara, fallecería."
id-4,34,8,"Una fiamma gli arde sulla punta della codafin dalla nascita. Se si spegnesse, per luisarebbe la fine."
id-4,34,9,"From the time it is born, a flame burns at the tipof its tail. Its life would end if the flame were togo out."
id-4,34,11,生まれたときから　しっぽに　炎がともっている。　炎が　消えたときその　命は　終わって　しまう。
id-4,34,12,生下来的时候，尾巴上就有火焰在燃烧。火焰熄灭时，它的生命也会结束。
id-5,33,1,もえる　しっぽを　ふりまわしするどい　ツメで　あいてをきりさく　あらあらしい　せいかく。
id-5,33,3,불타는 꼬리를 휘두르며날카로운 발톱으로 상대를베어 가르는 몹시 거친 성격이다.
id-5,33,4,揮動燃燒著火焰的尾巴，用鋒利的爪子撕裂對手。性情十分粗暴。
id-5,33,5,"Il est très brutal. En combat, il se sert deses griffes acérées et de sa queue enflamméepour mettre en pièces ses adversaires."
id-5,33,6,Es ist brutal veranlagt. Im Kampf schlägt es mitseinem brennenden Schweif um sich und schlitztGegner mit seinen scharfen Klauen auf.
id-5,33,7,Este Pokémon de naturaleza agresiva ataca encombate con su cola llameante y hace trizas alrival con sus afiladas garras.
id-5,33,8,Ha un’indole feroce. Usa la coda fiammeggiantecome una frusta e lacera l’avversario con gliartigli affilati.
id-5,33,9,"It has a barbaric nature. In battle, it whips itsfiery tail around and slashes away with sharp claws."
id-5,33,11,燃える　しっぽを　振りまわしするどい　ツメで　相手を切り裂く　荒々しい　性格。
id-5,33,12,挥动燃烧着火焰的尾巴，用锋利的爪子撕裂对手。性格十分粗暴。
id-5,34,1,たたかいで　きもちが　たかぶるとしゃくねつの　ほのおを　ふきながらあたりを　もやしてまわる。
id-5,34,3,싸움으로 기분이 고조되면작열하는 불꽃을 뿜으며주변을 태워버린다.
id-5,34,4,如果牠在戰鬥中亢奮起來，就會噴出灼熱的火焰，把周圍的東西燒得一乾二淨。
id-5,34,5,"S’il s’excite pendant un combat, il crachede grandes flammes, brûlant tout ce quise trouve aux alentours."
id-5,34,6,"Steigert es sich in einen Kampf hinein, spuckt esFlammen, die alles in seiner Umgebungniederbrennen."
id-5,34,7,"Si se exalta en combate, expulsa intensasllamaradas que incineran todo a su alrededor."
id-5,34,8,"Se s’infervora nella lotta, sputa potenti fiammeche inceneriscono l’area circostante."
id-5,34,9,"If it becomes agitated during battle, it spoutsintense flames, incinerating its surroundings."
id-5,34,11,戦いで　気持ちが　たかぶると灼熱の　炎を　吹きながらあたりを　燃やしてまわる。
id-5,34,12,如果它在战斗中亢奋起来，就会喷出灼热的火焰，把周围的东西烧得一干二净。
id-6,33,1,がんせきも　やけるようなしゃくねつの　ほのおを　はいてやまかじを　おこすことが　ある。
id-6,33,3,암석도 태워버릴 정도로작열하는 화염을 뿜어산불을 일으킬 때가 있다.
id-6,33,4,會噴出彷彿連岩石都能燒焦的灼熱火焰。有時會引發森林火災。
id-6,33,5,Son souffle brûlant peut faire fondre la roche.Il est parfois la cause d’incendies de forêt.
id-6,33,6,Dieses Pokémon kann mit seinem FeueratemFelsen schmelzen. Es verursacht ab und zuWaldbrände.
id-6,33,7,Escupe un fuego tan caliente que funde las rocas.Causa incendios forestales sin querer.
id-6,33,8,Sputa fiamme incandescenti in grado di fonderele rocce. A volte causa incendi boschivi.
id-6,33,9,It spits fire that is hot enough to melt boulders.It may cause forest fires by blowing flames.
id-6,33,11,岩石も　焼けるような灼熱の　炎を　吐いて山火事を　起こすことが　ある。
id-6,33,12,能够喷出猛烈的火焰，仿佛连岩石都能烤焦。有时会引发森林火灾。
id-6,34,1,ちじょう　１４００メートル　までハネを　つかって　とぶことができる。こうねつの　ほのおを　はく。
id-6,34,3,지상 1400m까지날개를 사용해 날 수 있다.고열의 불꽃을 내뿜는다.
id-6,34,4,能用翅膀飛到距離地面１４００公尺的高度。會吐出高溫的火焰。
id-6,34,5,Ses ailes lui permettent de voler à plus de1 400 m d’altitude. Ce Pokémon crache du feuà des températures très élevées.
id-6,34,6,Dieses Pokémon kann mit seinen Flügeln eineHöhe von bis zu 1 400 m erreichen. Es spucktsehr heißes Feuer.
id-6,34,7,Sus potentes alas le permiten volar a una alturade 1400 m. Escupe llamaradas que llegan aalcanzar temperaturas elevadísimas.
id-6,34,8,Grazie alle possenti ali può volare fino a1.400 m d’altezza. Le fiamme che sputapossono raggiungere temperature altissime.
id-6,34,9,"Its wings can carry this Pokémon close to analtitude of 4,600 feet. It blows out fire at veryhigh temperatures."
id-6,34,11,地上　１４００メートル　まで羽を　使って　飛ぶことができる。高熱の　炎を　吐く。
id-6,34,12,能用翅膀飞到距地面１４００米的高度。会吐出高温火焰。
id-7,33,1,ながい　くびを　こうらのなかにひっこめるとき　いきおいよくみずでっぽうを　はっしゃする。
id-7,33,3,기다란 목을 등껍질 속에감춘 다음 기세 좋게물대포를 발사한다.
id-7,33,4,當牠把長長的脖子縮回殼裡時，會順勢發射力道強勁的水槍。
id-7,33,5,"Quand il rentre son cou dans sa carapace,il peut projeter de l’eau à haute pression."
id-7,33,6,"Zieht es seinen langen Hals in seinen Panzerzurück, verspritzt es Wasser mit unbändiger Kraft."
id-7,33,7,"Cuando retrae su largo cuello en el caparazón,dispara agua a una presión increíble."
id-7,33,8,Quando ritrae il lungo collo dentro la corazzasputa un vigoroso getto d’acqua.
id-7,33,9,"When it retracts its long neck into its shell, itsquirts out water with vigorous force."
id-7,33,11,長い　首を　甲羅のなかに引っこめるとき　勢いよく水鉄砲を　発射する。
id-7,33,12,当它把长长的脖子缩回壳里时，会顺势发射出力道强劲的水枪。
id-7,34,1,あぶなくなると　こうらに　てあしをひっこめて　みを　まもりながらくちから　みずを　ふきだしてくる。
id-7,34,3,위험해지면 등껍질에 손발을감추고 몸을 지키면서입에서 물을 내뿜는다.
id-7,34,4,當牠遇到危險的時候，會將四肢收回甲殼裡保護自己，同時從嘴裡噴出水來。
id-7,34,5,"S’il se sent menacé, il rétracte ses pattes danssa carapace pour se protéger et crache de l’eau."
id-7,34,6,"Fühlt es sich bedroht, verkriecht es sich in seinenPanzer und spuckt Wasser aus seinem Maul."
id-7,34,7,"Cuando se siente en peligro, se esconde en sucaparazón y escupe chorros de agua por la boca."
id-7,34,8,"Se si sente minacciato, ritira le zampe nel guscioe inizia a spruzzare acqua dalla bocca."
id-7,34,9,"When it feels threatened, it draws its limbs insideits shell and sprays water from its mouth."
id-7,34,11,危なくなると　甲羅に　手足を引っこめて　身を　守りながら口から　水を　吹き出している。
id-7,34,12,当它遇到危险的时候，会将四肢收回龟壳里保护自己，同时从嘴里喷出水来。
id-8,33,1,ながいきの　シンボルと　されている。こうらに　コケが　ついているのはとくに　ながいきの　カメールだ。
id-8,33,3,장수의 상징으로 여겨진다.등껍질에 이끼가 붙어 있는 것은특히 장수한 어니부기다.
id-8,33,4,被視為長壽的象徵。如果卡咪龜的殼上長著苔蘚，那就代表牠已經活了非常久。
id-8,33,5,Il est considéré comme un symbole de longévité.On reconnaît les spécimens les plus âgésà la mousse qui pousse sur leur carapace.
id-8,33,6,"Es gilt als Symbol für Langlebigkeit. Sehr alteExemplare erkennt man daran, dass ihr Panzermit Algen übersät ist."
id-8,33,7,Se lo considera un símbolo de longevidad. Losejemplares más ancianos tienen musgo sobre elcaparazón.
id-8,33,8,"È considerato un simbolo di longevità.Se c’è del muschio sul suo guscio, significache è molto anziano."
id-8,33,9,"It is recognized as a symbol of longevity. If itsshell has algae on it, that Wartortle is very old."
id-8,33,11,長生きの　シンボルと　されている。甲羅に　苔が　ついているのはとくに　長生きの　カメールだ。
id-8,33,12,被视为长寿的象征。如果卡咪龟的壳上长着苔藓，代表它已经活了非常久了。
id-8,34,1,ふさふさの　みみと　しっぽをたくみに　あやつって　すいちゅうでのバランスを　たもつ。
id-8,34,3,탐스러운 귀와 꼬리를능숙하게 다뤄서 수중에서의밸런스를 유지한다.
id-8,34,4,會靈巧地擺動自己毛茸茸的耳朵和尾巴，藉此在水中保持平衡。
id-8,34,5,Il se sert habilement de sa queue et de sesoreilles touffues pour garder son équilibresous l’eau.
id-8,34,6,"Es balanciert geschickt mit seinen buschigenOhren und dem Schweif, während es im Wasserschwimmt."
id-8,34,7,Utiliza hábilmente sus peludas orejas y la colapara mantener el equilibrio al nadar.
id-8,34,8,"Controlla abilmente le orecchie e la codacoperte di pelo, mantenendo l’assettomentre nuota."
id-8,34,9,It cleverly controls its furry ears and tail tomaintain its balance while swimming.
id-8,34,11,ふさふさの　耳と　しっぽをたくみに　操って　水中でのバランスを　たもつ。
id-8,34,12,会灵巧地摆动自己毛茸茸的耳朵和尾巴，借此在水中保持平衡。
id-9,33,1,からだが　おもたく　のしかかってあいてを　きぜつさせる。ピンチの　ときは　カラに　かくれる。
id-9,33,3,무거운 몸으로 상대를덮쳐서 기절시킨다.위기에 처하면 등껍질에 숨는다.
id-9,33,4,會用重量驚人的身體壓住對手使其昏厥。遇到危險時會躲進殼裡。
id-9,33,5,Il écrase ses adversaires de tout son poidspour leur faire perdre connaissance.Il rentre dans sa carapace s’il se sent en danger.
id-9,33,6,"Es begräbt seine Gegner mit seinem enormenKörpergewicht. Wenn es in einer aussichtslosenLage steckt, zieht es sich in seinen Panzer zurück."
id-9,33,7,"Para acabar con su enemigo, lo aplasta con elpeso de su cuerpo. En momentos de apuro, seesconde en el caparazón."
id-9,33,8,"Mette KO gli avversari schiacciandoli sottoil corpo possente. Se è in difficoltà, può ritrarsinella corazza."
id-9,33,9,"It crushes its foe under its heavy body to causefainting. In a pinch, it will withdraw inside its shell."
id-9,33,11,体が　重たく　のしかかって相手を　気絶させる。ピンチの　ときは　殻に　隠れる。
id-9,33,12,身体很重，压住对手后就能让对手昏厥。遇到危险时会躲进壳里。
id-9,34,1,こうらの　ロケットほう　からふきだした　ジェットすいりゅうはぶあつい　てっぱんも　つらぬく。
id-9,34,3,등껍질의 로켓포에서뿜어져 나오는 제트 수류는두꺼운 철판도 뚫는다.
id-9,34,4,從甲殼上的大炮裡放出的噴射水流足以貫穿厚實的鐵板。
id-9,34,5,Les canons sur sa carapace tirent des jets d’eaucapables de percer même de l’acier trempé.
id-9,34,6,"Die Wassersalven, die es mit den Wasserdüsenin seinem Panzer abfeuert, durchdringen sogardicke Stahlwände."
id-9,34,7,"Dispara chorros de agua a través de los cañonesde su caparazón, capaces de agujerear incluso elacero."
id-9,34,8,I cannoni sul suo guscio sparano getti d’acquacapaci di bucare l’acciaio.
id-9,34,9,The rocket cannons on its shell fire jets of watercapable of punching holes through thick steel.
id-9,34,11,甲羅の　ロケット砲　から噴き出した　ジェット水流はぶ厚い　鉄板も　つらぬく。
id-9,34,12,从龟壳上的大炮里放出的喷射水流足以贯穿厚实的铁板。
id-10,33,1,あたまの　しょっかくからきょうれつな　においを　だしててきを　おいはらい　みをまもる。
id-10,33,3,머리의 더듬이로부터강렬한 냄새를 내어적을 물리치고 몸을 보호한다.
id-10,33,4,會從頭部的觸角釋放出強烈的氣味來趕走敵人，藉此保護自己。
id-10,33,5,"Pour se protéger, il émet par ses antennesune odeur nauséabonde qui fait fuir ses ennemis."
id-10,33,6,Als Schutz vor Feinden sondert es einen übelriechenden Gestank mit seinen Antennen ab.
id-10,33,7,"Para protegerse, despide un hedor horrible porlas antenas con el que repele a sus enemigos."
id-10,33,8,"Per proteggersi emette un puzzo terribile dalleantenne sul capo, con cui tiene lontani i nemici."
id-10,33,9,"For protection, it releases a horrible stench fromthe antenna on its head to drive away enemies."
id-10,33,11,頭の　触角から強烈な　においを　だして敵を　追いはらい　身を守る。
id-10,33,12,会从头部的触角中释放出强烈的臭气，以此来赶走敌人保护自己。
id-10,34,1,あしは　みじかいが　きゅうばんになっているので　さかでも　かべでもくたびれることなく　すすんでいく。
id-10,34,3,다리는 짧지만 빨판으로되어 있어 비탈길이나 벽에서도지치지 않고 나아간다.
id-10,34,4,別看牠的腳很短，因為是吸盤，所以無論是斜坡還是牆壁都能輕鬆前進。
id-10,34,5,Ses petites pattes munies de ventouseslui permettent de monter les penteset de grimper aux murs sans se fatiguer.
id-10,34,6,"Es hat Saugnäpfe an den Beinchen, mit denen esmühelos Steigungen und Mauern erklimmen kann."
id-10,34,7,Sus cortas patas están recubiertas de ventosasque le permiten subir incansable por muros ycuestas.
id-10,34,8,Le ventose sulle sue corte zampe gli permettonodi affrontare ogni salita e di scalare senza faticaqualsiasi muro.
id-10,34,9,Its short feet are tipped with suction pads thatenable it to tirelessly climb slopes and walls.
id-10,34,11,脚は　短いが　吸盤になっているので　坂でも　壁でもくたびれることなく　進んでいく。
id-10,34,12,别看它的脚很短，因为是吸盘，所以无论是斜坡还是墙壁都能轻松前进。
id-11,33,1,しんかを　まっている　じょうたい。かたくなる　ことしか　できないのでおそわれないよう　じっとしている。
id-11,33,3,진화를 기다리고 있는 상태다.단단해지는 것밖에 할 수 없어서공격받지 않도록 꿈쩍 않고 있다.
id-11,33,4,正處於等待進化的狀態。除了變硬之外什麼都做不了，只能動也不動以免遭受攻擊。
id-11,33,5,"En attendant sa prochaine évolution, il ne peutque durcir sa carapace et rester immobilepour éviter de se faire attaquer."
id-11,33,6,"In diesem Zustand wartet es auf die Entwicklung.Es kann nur seinen Panzer erhärten, daher bewegtes sich nicht, um nicht angegriffen zu werden."
id-11,33,7,"Como en este estado solo puede endurecersu coraza, permanece inmóvil a la espera deevolucionar."
id-11,33,8,"In attesa di evolversi, l’unica cosa che può fareè indurire la sua corazza, quindi rimane immobileper evitare di essere attaccato."
id-11,33,9,"It is waiting for the moment to evolve. At thisstage, it can only harden, so it remainsmotionless to avoid attack."
id-11,33,11,進化を　待っている　状態。硬くなる　ことしか　できないので襲われないよう　じっとしている。
id-11,33,12,正处于等待进化的状态。除了变硬之外什么都做不了，只能动也不动以免引来袭击。
id-11,34,1,かたい　カラに　つつまれているがなかみは　やわらかいのでつよい　こうげきには　たえられない。
id-11,34,3,단단한 껍질로 둘러싸여 있지만안은 부드럽기 때문에강한 공격에는 버티지 못한다.
id-11,34,4,雖然有堅硬的外殼，但因為殼裡的身體很軟，所以無法抵抗強力的攻擊。
id-11,34,5,"Bien que son corps soit entouré d’une carapacesolide, l’intérieur est si mou qu’il ne résisteraitpas à une attaque violente."
id-11,34,6,In seiner harten Schale ist ein weicher Körper.Einem brutalen Angriff hat es nichtsentgegenzusetzen.
id-11,34,7,"Aunque cuenta con una coraza muy dura, tieneun cuerpo bastante blando. Un ataque violentopuede acabar con él."
id-11,34,8,La corazza esterna è robusta ma l’internoè molle. Per questo non è in grado di resisteread attacchi particolarmente veementi.
id-11,34,9,"Even though it is encased in a sturdy shell,the body inside is tender. It can’t withstand aharsh attack."
id-11,34,11,硬い　殻に　包まれているが中身は　軟らかいので強い　攻撃には　耐えられない。
id-11,34,12,虽然有坚硬的外壳，因为壳里的身体很软，所以无法抵抗强力的攻击。
id-12,33,1,こまかく　はやく　はばたいたらもうどくの　りんぷんがかぜに　のって　とんでくるぞ。
id-12,33,3,매우 빠르게 날갯짓하면맹독성의 인분이바람을 타고 날아간다.
id-12,33,4,當牠飛快地拍動翅膀，帶有劇毒的鱗粉就會隨著風向這裡飄過來。
id-12,33,5,"En combat, il bat des ailes très rapidement pourprojeter de la poudre toxique sur ses ennemis."
id-12,33,6,"Wenn es sehr schnell mit den Flügeln schlägt,setzt es hochgiftigen Flügelstaub frei."
id-12,33,7,Aletea a gran velocidad para lanzar al aire susescamas extremadamente tóxicas.
id-12,33,8,Sbatte le ali a gran velocità per liberarele sue polveri tossiche nell’aria.
id-12,33,9,"In battle, it flaps its wings at great speed torelease highly toxic dust into the air."
id-12,33,11,こまかく　速く　羽ばたいたら猛毒の　りんぷんが風に　のって　飛んでくるぞ。
id-12,33,12,当它飞快地扑打翅膀，带有剧毒的鳞粉就会随着风向这里飘过来。
id-12,34,1,まいにち　ミツを　あつめまわる。あしの　うぶげに　ミツを　ぬりこんですに　もちかえる　しゅうせいをもつ。
id-12,34,3,매일 꿀을 모으러 다닌다.다리의 솜털에 꿀을 발라둥지로 가지고 가는 습성이 있다.
id-12,34,4,每天都忙著採集花蜜。習慣在腿部的細毛上塗滿花蜜，然後帶回巢穴裡。
id-12,34,5,Il ramasse du nectar chaque jour et l’agglutinesur les poils de ses pattes pour le transporterjusqu’à son nid.
id-12,34,6,"Es sammelt täglich Honig. Es reibt ihn in seineBeinhaare, um ihn in sein Nest zu transportieren."
id-12,34,7,Recoge néctar a diario y se lo adhiere al pelo delas patas para llevarlo a su nido.
id-12,34,8,Raccoglie nettare tutti i giorni e lo spalma sullapeluria che ricopre le sue zampe per trasportarloal nido.
id-12,34,9,It collects honey every day. It rubs honey ontothe hairs on its legs to carry it back to its nest.
id-12,34,11,毎日　ミツを　集めまわる。脚の　産毛に　ミツを　塗りこんで巣に　持ち帰る　習性をもつ。
id-12,34,12,每天都忙着采集花蜜。习惯往腿部的细毛上涂满花蜜，然后带回巢穴里。
id-25,33,1,つくる　でんきが　きょうりょくなピカチュウほど　ほっぺの　ふくろはやわらかく　よく　のびるぞ。
id-25,33,3,만들어 내는 전기가 강력한피카츄일수록 볼의 주머니가부드럽고 잘 늘어난다.
id-25,33,4,越是能製造出強大電流的皮卡丘，臉頰上的囊就越柔軟，同時也越有伸展性。
id-25,33,5,"Plus la puissance électrique de Pikachu est élevée,plus les poches de ses joues sont extensibles."
id-25,33,6,"Je stärker die Elektrizität ist, die Pikachuproduziert, desto weicher und elastischersind seine Backentaschen."
id-25,33,7,"Cuanto más potente es la energía eléctrica quegenera este Pokémon, más suaves y elásticas sevuelven las bolsas de sus mejillas."
id-25,33,8,"Più potente è l’energia elettrica prodotta dalPokémon, più le sacche sulle sue guance sonomorbide ed elastiche."
id-25,33,9,Pikachu that can generate powerful electricityhave cheek sacs that are extra soft andsuper stretchy.
id-25,33,11,つくる　電気が　強力なピカチュウほど　ほっぺの　袋は軟らかく　よく　伸びるぞ。
id-25,33,12,越是能制造出强大电流的皮卡丘，脸颊上的囊就越柔软，同时也越有伸展性。
id-25,34,1,おたがいの　しっぽを　くっつけてでんきを　ながしあうのがピカチュウ　どうしの　あいさつだ。
id-25,34,3,서로의 꼬리를 붙여서전기를 흐르게 하는 게피카츄 사이의 인사법이다.
id-25,34,4,皮卡丘們把尾巴貼在一起交換電流，其實是在互相打招呼。
id-25,34,5,Les Pikachu se disent bonjour en se frottantla queue et en y faisant passer du courantélectrique.
id-25,34,6,"Pikachu begrüßen einander, indem sie ihreSchweife aneinanderreiben und eine LadungStrom durch diese gleiten lassen."
id-25,34,7,Los miembros de esta especie se saludan entresí uniendo sus colas y transmitiéndose corrienteeléctrica.
id-25,34,8,I Pikachu si salutano fra loro unendo le codee facendovi passare elettricità attraverso.
id-25,34,9,"When Pikachu meet, they’ll touch their tailstogether and exchange electricity through themas a form of greeting."
id-25,34,11,おたがいの　しっぽを　くっつけて電気を　流しあうのがピカチュウ　同士の　挨拶だ。
id-25,34,12,皮卡丘们把尾巴贴在一起交换电流，其实是在互相打招呼。
id-26,33,1,ながい　しっぽが　アースになってみを　まもるため　じぶんじしんはこうでんあつにも　しびれないのだ。
id-26,33,3,긴 꼬리가 어스가 되어몸을 지키기 때문에 자신은고전압에도 마비되지 않는다.
id-26,33,4,長長的尾巴能夠像接地線一樣保護自己，因此即使是高壓電也不會讓牠麻痺。
id-26,33,5,Sa longue queue agit comme une prise de terrequi l’empêche d’être affecté par le courantà haute tension accumulé dans son corps.
id-26,33,6,Sein langer Schweif dient ihm zur Erdung.So bleibt es von der lähmenden Wirkung vonHochspannung selbst verschont.
id-26,33,7,Su larga cola le sirve como toma de tierra paraprotegerse a sí mismo del alto voltaje que generasu cuerpo.
id-26,33,8,La sua lunga coda serve da messa a terra perproteggerlo dalla sua stessa alta tensione.
id-26,33,9,Its long tail serves as a ground to protect itselffrom its own high-voltage power.
id-26,33,11,長い　しっぽが　アースになって身を　守るため　自分自身は高電圧にも　痺れないのだ。
id-26,33,12,长长的尾巴能够像接地线一样保护自己，因此即使是高压电也不会让它麻痹。
id-26,34,1,でんきぶくろが　からっぽに　なるとしっぽを　まっすぐ　たててくうきちゅうの　でんきを　あつめる。
id-26,34,3,전기 주머니가 텅 비면꼬리를 똑바로 세워서공기 중의 전기를 모은다.
id-26,34,4,如果電囊空了，牠就會直直地豎起尾巴，收集空氣中的電流。
id-26,34,5,"Si ses joues sont à court d’énergie, il lève la queueet capte l’électricité contenue dans l’atmosphère."
