pokemon,ability,is_hidden,slot
id-41,id-39,0,1
id-41,id-151,1,3
id-42,id-39,0,1
id-42,id-151,1,3
id-43,id-34,0,1
id-43,id-50,1,3
id-44,id-34,0,1
id-44,id-1,1,3
id-45,id-34,0,1
id-45,id-27,1,3
id-46,id-27,0,1
id-46,id-87,0,2
id-46,id-6,1,3
id-47,id-27,0,1
id-47,id-87,0,2
id-47,id-6,1,3
id-48,id-14,0,1
id-48,id-110,0,2
id-48,id-50,1,3
id-49,id-19,0,1
id-49,id-110,0,2
id-49,id-147,1,3
id-50,id-8,0,1
id-50,id-71,0,2
id-50,id-159,1,3
id-51,id-8,0,1
id-51,id-71,0,2
id-51,id-159,1,3
id-52,id-53,0,1
id-52,id-101,0,2
id-52,id-127,1,3
id-53,id-7,0,1
id-53,id-101,0,2
id-53,id-127,1,3
id-54,id-6,0,1
id-54,id-13,0,2
id-54,id-33,1,3
id-55,id-6,0,1
id-55,id-13,0,2
id-55,id-33,1,3
id-56,id-72,0,1
id-56,id-83,0,2
id-56,id-128,1,3
id-57,id-72,0,1
id-57,id-83,0,2
id-57,id-128,1,3
id-58,id-22,0,1
id-58,id-18,0,2
id-58,id-154,1,3
id-59,id-22,0,1
id-59,id-18,0,2
id-59,id-154,1,3
id-60,id-11,0,1
id-60,id-6,0,2
id-60,id-33,1,3
id-61,id-11,0,1
id-61,id-6,0,2
id-61,id-33,1,3
id-62,id-11,0,1
id-62,id-6,0,2
id-62,id-33,1,3
id-63,id-28,0,1
id-63,id-39,0,2
id-63,id-98,1,3
id-64,id-28,0,1
id-64,id-39,0,2
id-64,id-98,1,3
id-65,id-28,0,1
id-65,id-39,0,2
id-65,id-98,1,3
id-66,id-62,0,1
id-66,id-99,0,2
id-66,id-80,1,3
id-67,id-62,0,1
id-67,id-99,0,2
id-67,id-80,1,3
id-68,id-62,0,1
id-68,id-99,0,2
id-68,id-80,1,3
id-69,id-34,0,1
id-69,id-82,1,3
id-70,id-34,0,1
id-70,id-82,1,3
id-71,id-34,0,1
id-71,id-82,1,3
id-72,id-29,0,1
id-72,id-64,0,2
id-72,id-44,1,3
id-73,id-29,0,1
id-73,id-64,0,2
id-73,id-44,1,3
id-74,id-69,0,1
id-74,id-5,0,2
id-74,id-8,1,3
id-75,id-69,0,1
id-75,id-5,0,2
id-75,id-8,1,3
id-76,id-69,0,1
id-76,id-5,0,2
id-76,id-8,1,3
id-77,id-50,0,1
id-77,id-18,0,2
id-77,id-49,1,3
id-78,id-50,0,1
id-78,id-18,0,2
id-78,id-49,1,3
id-79,id-12,0,1
id-79,id-20,0,2
id-79,id-144,1,3
id-80,id-12,0,1
id-80,id-20,0,2
id-80,id-144,1,3
id-81,id-42,0,1
id-81,id-5,0,2
id-81,id-148,1,3
id-82,id-42,0,1
id-82,id-5,0,2
id-82,id-148,1,3
id-83,id-51,0,1
id-83,id-39,0,2
id-83,id-128,1,3
id-84,id-50,0,1
id-84,id-48,0,2
id-84,id-77,1,3
id-85,id-50,0,1
id-85,id-48,0,2
id-85,id-77,1,3
id-86,id-47,0,1
id-86,id-93,0,2
id-86,id-115,1,3
id-87,id-47,0,1
id-87,id-93,0,2
id-87,id-115,1,3
id-88,id-1,0,1
id-88,id-60,0,2
id-88,id-143,1,3
id-89,id-1,0,1
id-89,id-60,0,2
id-89,id-143,1,3
id-90,id-75,0,1
id-90,id-92,0,2
id-90,id-142,1,3
id-91,id-75,0,1
id-91,id-92,0,2
id-91,id-142,1,3
id-92,id-26,0,1
id-93,id-26,0,1
id-94,id-130,0,1
id-95,id-69,0,1
id-95,id-5,0,2
id-95,id-133,1,3
id-96,id-15,0,1
id-96,id-108,0,2
id-96,id-39,1,3
id-97,id-15,0,1
id-97,id-108,0,2
id-97,id-39,1,3
id-98,id-52,0,1
id-98,id-75,0,2
id-98,id-125,1,3
id-99,id-52,0,1
id-99,id-75,0,2
id-99,id-125,1,3
id-100,id-43,0,1
id-100,id-9,0,2
id-100,id-106,1,3
id-101,id-43,0,1
id-101,id-9,0,2
id-101,id-106,1,3
id-102,id-34,0,1
id-102,id-139,1,3
id-103,id-34,0,1
id-103,id-139,1,3
id-104,id-69,0,1
id-104,id-31,0,2
id-104,id-4,1,3
id-105,id-69,0,1
id-105,id-31,0,2
id-105,id-4,1,3
id-106,id-7,0,1
id-106,id-120,0,2
id-106,id-84,1,3
id-107,id-51,0,1
id-107,id-89,0,2
id-107,id-39,1,3
id-108,id-20,0,1
id-108,id-12,0,2
id-108,id-13,1,3
id-109,id-26,0,1
id-109,id-256,0,2
id-109,id-1,1,3
id-110,id-26,0,1
id-110,id-256,0,2
id-110,id-1,1,3
id-111,id-31,0,1
id-111,id-69,0,2
id-111,id-120,1,3
id-112,id-31,0,1
id-112,id-69,0,2
id-112,id-120,1,3
id-113,id-30,0,1
id-113,id-32,0,2
id-113,id-131,1,3
id-114,id-34,0,1
id-114,id-102,0,2
id-114,id-144,1,3
id-115,id-48,0,1
id-115,id-113,0,2
id-115,id-39,1,3
id-116,id-33,0,1
id-116,id-97,0,2
id-116,id-6,1,3
id-117,id-38,0,1
id-117,id-97,0,2
id-117,id-6,1,3
id-118,id-33,0,1
id-118,id-41,0,2
id-118,id-31,1,3
id-119,id-33,0,1
id-119,id-41,0,2
id-119,id-31,1,3
id-120,id-35,0,1
id-120,id-30,0,2
id-120,id-148,1,3
id-121,id-35,0,1
id-121,id-30,0,2
id-121,id-148,1,3
id-122,id-43,0,1
id-122,id-111,0,2
id-122,id-101,1,3
id-123,id-68,0,1
id-123,id-101,0,2
id-123,id-80,1,3
id-124,id-12,0,1
id-124,id-108,0,2
id-124,id-87,1,3
id-125,id-9,0,1
id-125,id-72,1,3
id-126,id-49,0,1
id-126,id-72,1,3
id-127,id-52,0,1
id-127,id-104,0,2
id-127,id-153,1,3
id-128,id-22,0,1
id-128,id-83,0,2
id-128,id-125,1,3
id-129,id-33,0,1
id-129,id-155,1,3
id-130,id-22,0,1
id-130,id-153,1,3
id-131,id-11,0,1
id-131,id-75,0,2
id-131,id-93,1,3
id-132,id-7,0,1
id-132,id-150,1,3
id-133,id-50,0,1
id-133,id-91,0,2
id-133,id-107,1,3
id-134,id-11,0,1
id-134,id-93,1,3
id-135,id-10,0,1
id-135,id-95,1,3
id-136,id-18,0,1
id-136,id-62,1,3
id-137,id-36,0,1
id-137,id-88,0,2
id-137,id-148,1,3
id-138,id-33,0,1
id-138,id-75,0,2
id-138,id-133,1,3
id-139,id-33,0,1
id-139,id-75,0,2
id-139,id-133,1,3
id-140,id-33,0,1
id-140,id-4,0,2
id-140,id-133,1,3
id-141,id-33,0,1
id-141,id-4,0,2
id-141,id-133,1,3
id-142,id-69,0,1
id-142,id-46,0,2
id-142,id-127,1,3
id-143,id-17,0,1
id-143,id-47,0,2
id-143,id-82,1,3
id-144,id-46,0,1
id-144,id-81,1,3
id-145,id-46,0,1
id-145,id-9,1,3
id-146,id-46,0,1
id-146,id-49,1,3
id-147,id-61,0,1
id-147,id-63,1,3
id-148,id-61,0,1
id-148,id-63,1,3
id-149,id-39,0,1
id-149,id-136,1,3
id-150,id-46,0,1
id-150,id-127,1,3
id-151,id-28,0,1
id-152,id-65,0,1
id-152,id-102,1,3
id-153,id-65,0,1
id-153,id-102,1,3
id-154,id-65,0,1
id-154,id-102,1,3
id-155,id-66,0,1
id-155,id-18,1,3
id-156,id-66,0,1
id-156,id-18,1,3
id-157,id-66,0,1
id-157,id-18,1,3
id-158,id-67,0,1
id-158,id-125,1,3
id-159,id-67,0,1
id-159,id-125,1,3
id-160,id-67,0,1
id-160,id-125,1,3
id-161,id-50,0,1
id-161,id-51,0,2
id-161,id-119,1,3
id-162,id-50,0,1
id-162,id-51,0,2
id-162,id-119,1,3
id-163,id-15,0,1
id-163,id-51,0,2
id-163,id-110,1,3
id-164,id-15,0,1
id-164,id-51,0,2
id-164,id-110,1,3
id-165,id-68,0,1
id-165,id-48,0,2
id-165,id-155,1,3
id-166,id-68,0,1
id-166,id-48,0,2
id-166,id-89,1,3
id-167,id-68,0,1
id-167,id-15,0,2
id-167,id-97,1,3
id-168,id-68,0,1
id-168,id-15,0,2
id-168,id-97,1,3
id-169,id-39,0,1
id-169,id-151,1,3
id-170,id-10,0,1
id-170,id-35,0,2
id-170,id-11,1,3
id-171,id-10,0,1
id-171,id-35,0,2
id-171,id-11,1,3
id-172,id-9,0,1
id-172,id-31,1,3
id-173,id-56,0,1
id-173,id-98,0,2
id-173,id-132,1,3
id-174,id-56,0,1
id-174,id-172,0,2
id-174,id-132,1,3
id-175,id-55,0,1
id-175,id-32,0,2
id-175,id-105,1,3
id-176,id-55,0,1
id-176,id-32,0,2
id-176,id-105,1,3
id-177,id-28,0,1
id-177,id-48,0,2
id-177,id-156,1,3
id-178,id-28,0,1
id-178,id-48,0,2
id-178,id-156,1,3
id-179,id-9,0,1
id-179,id-57,1,3
id-180,id-9,0,1
id-180,id-57,1,3
id-181,id-9,0,1
id-181,id-57,1,3
id-182,id-34,0,1
id-182,id-131,1,3
id-183,id-47,0,1
id-183,id-37,0,2
id-183,id-157,1,3
id-184,id-47,0,1
id-184,id-37,0,2
id-184,id-157,1,3
id-185,id-5,0,1
id-185,id-69,0,2
id-185,id-155,1,3
id-186,id-11,0,1
id-186,id-6,0,2
id-186,id-2,1,3
id-187,id-34,0,1
id-187,id-102,0,2
id-187,id-151,1,3
id-188,id-34,0,1
id-188,id-102,0,2
id-188,id-151,1,3
id-189,id-34,0,1
id-189,id-102,0,2
id-189,id-151,1,3
id-190,id-50,0,1
id-190,id-53,0,2
id-190,id-92,1,3
id-191,id-34,0,1
id-191,id-94,0,2
id-191,id-48,1,3
id-192,id-34,0,1
id-192,id-94,0,2
id-192,id-48,1,3
id-193,id-3,0,1
id-193,id-14,0,2
id-193,id-119,1,3
id-194,id-6,0,1
id-194,id-11,0,2
id-194,id-109,1,3
id-195,id-6,0,1
id-195,id-11,0,2
id-195,id-109,1,3
id-196,id-28,0,1
id-196,id-156,1,3
id-197,id-28,0,1
id-197,id-39,1,3
id-198,id-15,0,1
id-198,id-105,0,2
id-198,id-158,1,3
id-199,id-12,0,1
id-199,id-20,0,2
id-199,id-144,1,3
id-200,id-26,0,1
id-201,id-26,0,1
id-202,id-23,0,1
id-202,id-140,1,3
id-203,id-39,0,1
id-203,id-48,0,2
id-203,id-157,1,3
id-204,id-5,0,1
id-204,id-142,1,3
id-205,id-5,0,1
id-205,id-142,1,3
id-206,id-32,0,1
id-206,id-50,0,2
id-206,id-155,1,3
id-207,id-52,0,1
id-207,id-8,0,2
id-207,id-17,1,3
id-208,id-69,0,1
id-208,id-5,0,2
id-208,id-125,1,3
id-209,id-22,0,1
id-209,id-50,0,2
id-209,id-155,1,3
id-210,id-22,0,1
id-210,id-95,0,2
id-210,id-155,1,3
id-211,id-38,0,1
id-211,id-33,0,2
id-211,id-22,1,3
id-212,id-68,0,1
id-212,id-101,0,2
id-212,id-135,1,3
id-213,id-5,0,1
id-213,id-82,0,2
id-213,id-126,1,3
id-214,id-68,0,1
id-214,id-62,0,2
id-214,id-153,1,3
id-215,id-39,0,1
id-215,id-51,0,2
id-215,id-124,1,3
id-216,id-53,0,1
id-216,id-95,0,2
id-216,id-118,1,3
id-217,id-62,0,1
id-217,id-95,0,2
id-217,id-127,1,3
id-218,id-40,0,1
id-218,id-49,0,2
id-218,id-133,1,3
id-219,id-40,0,1
id-219,id-49,0,2
id-219,id-133,1,3
id-220,id-12,0,1
id-220,id-81,0,2
id-220,id-47,1,3
id-221,id-12,0,1
id-221,id-81,0,2
id-221,id-47,1,3
id-222,id-55,0,1
id-222,id-30,0,2
id-222,id-144,1,3
id-223,id-55,0,1
id-223,id-97,0,2
id-223,id-141,1,3
id-224,id-21,0,1
id-224,id-97,0,2
id-224,id-141,1,3
id-225,id-72,0,1
id-225,id-55,0,2
id-225,id-15,1,3
id-226,id-33,0,1
id-226,id-11,0,2
id-226,id-41,1,3
id-227,id-51,0,1
id-227,id-5,0,2
id-227,id-133,1,3
id-228,id-48,0,1
id-228,id-18,0,2
id-228,id-127,1,3
id-229,id-48,0,1
id-229,id-18,0,2
id-229,id-127,1,3
id-230,id-33,0,1
id-230,id-97,0,2
id-230,id-6,1,3
id-231,id-53,0,1
id-231,id-8,1,3
id-232,id-5,0,1
id-232,id-8,1,3
id-233,id-36,0,1
id-233,id-88,0,2
id-233,id-148,1,3
id-234,id-22,0,1
id-234,id-119,0,2
id-234,id-157,1,3
id-235,id-20,0,1
id-235,id-101,0,2
id-235,id-141,1,3
id-236,id-62,0,1
id-236,id-80,0,2
id-236,id-72,1,3
id-237,id-22,0,1
id-237,id-101,0,2
id-237,id-80,1,3
id-238,id-12,0,1
id-238,id-108,0,2
id-238,id-93,1,3
id-239,id-9,0,1
id-239,id-72,1,3
id-240,id-49,0,1
id-240,id-72,1,3
id-241,id-47,0,1
id-241,id-113,0,2
id-241,id-157,1,3
id-242,id-30,0,1
id-242,id-32,0,2
id-242,id-131,1,3
id-243,id-46,0,1
id-243,id-39,1,3
id-244,id-46,0,1
id-244,id-39,1,3
id-245,id-46,0,1
id-245,id-39,1,3
id-246,id-62,0,1
id-246,id-8,1,3
id-247,id-61,0,1
id-248,id-45,0,1
id-248,id-127,1,3
id-249,id-46,0,1
id-249,id-136,1,3
id-250,id-46,0,1
id-250,id-144,1,3
id-251,id-30,0,1
id-252,id-65,0,1
id-252,id-84,1,3
id-253,id-65,0,1
id-253,id-84,1,3
id-254,id-65,0,1
id-254,id-84,1,3
id-255,id-66,0,1
id-255,id-3,1,3
id-256,id-66,0,1
id-256,id-3,1,3
id-257,id-66,0,1
id-257,id-3,1,3
id-258,id-67,0,1
id-258,id-6,1,3
id-259,id-67,0,1
id-259,id-6,1,3
id-260,id-67,0,1
id-260,id-6,1,3
id-261,id-50,0,1
id-261,id-95,0,2
id-261,id-155,1,3
id-262,id-22,0,1
id-262,id-95,0,2
id-262,id-153,1,3
id-263,id-53,0,1
id-263,id-82,0,2
id-263,id-95,1,3
id-264,id-53,0,1
id-264,id-82,0,2
id-264,id-95,1,3
id-265,id-19,0,1
id-265,id-50,1,3
id-266,id-61,0,1
id-267,id-68,0,1
id-267,id-79,1,3
id-268,id-61,0,1
id-269,id-19,0,1
id-269,id-14,1,3
id-270,id-33,0,1
id-270,id-44,0,2
id-270,id-20,1,3
id-271,id-33,0,1
id-271,id-44,0,2
id-271,id-20,1,3
id-272,id-33,0,1
id-272,id-44,0,2
id-272,id-20,1,3
id-273,id-34,0,1
id-273,id-48,0,2
id-273,id-124,1,3
id-274,id-34,0,1
id-274,id-48,0,2
id-274,id-124,1,3
id-275,id-34,0,1
id-275,id-48,0,2
id-275,id-124,1,3
id-276,id-62,0,1
id-276,id-113,1,3
id-277,id-62,0,1
id-277,id-113,1,3
id-278,id-51,0,1
id-278,id-93,0,2
id-278,id-44,1,3
id-279,id-51,0,1
id-279,id-2,0,2
id-279,id-44,1,3
id-280,id-28,0,1
id-280,id-36,0,2
id-280,id-140,1,3
id-281,id-28,0,1
id-281,id-36,0,2
id-281,id-140,1,3
id-282,id-28,0,1
id-282,id-36,0,2
id-282,id-140,1,3
id-283,id-33,0,1
id-283,id-44,1,3
id-284,id-22,0,1
id-284,id-127,1,3
id-285,id-27,0,1
id-285,id-90,0,2
id-285,id-95,1,3
id-286,id-27,0,1
id-286,id-90,0,2
id-286,id-101,1,3
id-287,id-54,0,1
id-288,id-72,0,1
id-289,id-54,0,1
id-290,id-14,0,1
id-290,id-50,1,3
id-291,id-3,0,1
id-291,id-151,1,3
id-292,id-25,0,1
id-293,id-43,0,1
id-293,id-155,1,3
id-294,id-43,0,1
id-294,id-113,1,3
id-295,id-43,0,1
id-295,id-113,1,3
id-296,id-47,0,1
id-296,id-62,0,2
id-296,id-125,1,3
id-297,id-47,0,1
id-297,id-62,0,2
id-297,id-125,1,3
id-298,id-47,0,1
id-298,id-37,0,2
id-298,id-157,1,3
id-299,id-5,0,1
id-299,id-42,0,2
id-299,id-159,1,3
id-300,id-56,0,1
id-300,id-96,0,2
id-300,id-147,1,3
id-301,id-56,0,1
id-301,id-96,0,2
id-301,id-147,1,3
id-302,id-51,0,1
id-302,id-100,0,2
id-302,id-158,1,3
id-303,id-52,0,1
id-303,id-22,0,2
id-303,id-125,1,3
id-304,id-5,0,1
id-304,id-69,0,2
id-304,id-134,1,3
id-305,id-5,0,1
id-305,id-69,0,2
id-305,id-134,1,3
id-306,id-5,0,1
id-306,id-69,0,2
id-306,id-134,1,3
id-307,id-74,0,1
id-307,id-140,1,3
id-308,id-74,0,1
id-308,id-140,1,3
id-309,id-9,0,1
id-309,id-31,0,2
id-309,id-58,1,3
id-310,id-9,0,1
id-310,id-31,0,2
id-310,id-58,1,3
id-311,id-57,0,1
id-311,id-31,1,3
id-312,id-58,0,1
id-312,id-10,1,3
id-313,id-35,0,1
id-313,id-68,0,2
id-313,id-158,1,3
id-314,id-12,0,1
id-314,id-110,0,2
id-314,id-158,1,3
id-315,id-30,0,1
id-315,id-38,0,2
id-315,id-102,1,3
id-316,id-64,0,1
id-316,id-60,0,2
id-316,id-82,1,3
id-317,id-64,0,1
id-317,id-60,0,2
id-317,id-82,1,3
id-318,id-24,0,1
id-318,id-3,1,3
id-319,id-24,0,1
id-319,id-3,1,3
id-320,id-41,0,1
id-320,id-12,0,2
id-320,id-46,1,3
id-321,id-41,0,1
id-321,id-12,0,2
id-321,id-46,1,3
id-322,id-12,0,1
id-322,id-86,0,2
id-322,id-20,1,3
id-323,id-40,0,1
id-323,id-116,0,2
id-323,id-83,1,3
id-324,id-73,0,1
id-324,id-70,0,2
id-324,id-75,1,3
id-325,id-47,0,1
id-325,id-20,0,2
id-325,id-82,1,3
id-326,id-47,0,1
id-326,id-20,0,2
id-326,id-82,1,3
id-327,id-20,0,1
id-327,id-77,0,2
id-327,id-126,1,3
id-328,id-52,0,1
id-328,id-71,0,2
id-328,id-125,1,3
id-329,id-26,0,1
id-330,id-26,0,1
id-331,id-8,0,1
id-331,id-11,1,3
id-332,id-8,0,1
id-332,id-11,1,3
id-333,id-30,0,1
id-333,id-13,1,3
id-334,id-30,0,1
id-334,id-13,1,3
id-335,id-17,0,1
id-335,id-137,1,3
id-336,id-61,0,1
id-336,id-151,1,3
id-337,id-26,0,1
id-338,id-26,0,1
id-339,id-12,0,1
id-339,id-107,0,2
id-339,id-93,1,3
id-340,id-12,0,1
id-340,id-107,0,2
id-340,id-93,1,3
id-341,id-52,0,1
id-341,id-75,0,2
id-341,id-91,1,3
id-342,id-52,0,1
id-342,id-75,0,2
id-342,id-91,1,3
id-343,id-26,0,1
id-344,id-26,0,1
id-345,id-21,0,1
id-345,id-114,1,3
id-346,id-21,0,1
id-346,id-114,1,3
id-347,id-4,0,1
id-347,id-33,1,3
id-348,id-4,0,1
id-348,id-33,1,3
id-349,id-33,0,1
id-349,id-12,0,2
id-349,id-91,1,3
id-350,id-63,0,1
id-350,id-172,0,2
id-350,id-56,1,3
id-351,id-59,0,1
id-352,id-16,0,1
id-352,id-168,1,3
id-353,id-15,0,1
id-353,id-119,0,2
id-353,id-130,1,3
id-354,id-15,0,1
id-354,id-119,0,2
id-354,id-130,1,3
id-355,id-26,0,1
id-355,id-119,1,3
id-356,id-46,0,1
id-356,id-119,1,3
id-357,id-34,0,1
id-357,id-94,0,2
id-357,id-139,1,3
id-358,id-26,0,1
id-359,id-46,0,1
id-359,id-105,0,2
id-359,id-154,1,3
id-360,id-23,0,1
id-360,id-140,1,3
id-361,id-39,0,1
id-361,id-115,0,2
id-361,id-141,1,3
id-362,id-39,0,1
id-362,id-115,0,2
id-362,id-141,1,3
id-363,id-47,0,1
id-363,id-115,0,2
id-363,id-12,1,3
id-364,id-47,0,1
id-364,id-115,0,2
id-364,id-12,1,3
id-365,id-47,0,1
id-365,id-115,0,2
id-365,id-12,1,3
id-366,id-75,0,1
id-366,id-155,1,3
id-367,id-33,0,1
id-367,id-41,1,3
id-368,id-33,0,1
id-368,id-93,1,3
id-369,id-33,0,1
id-369,id-69,0,2
id-369,id-5,1,3
id-370,id-33,0,1
id-370,id-93,1,3
id-371,id-69,0,1
id-371,id-125,1,3
id-372,id-69,0,1
id-372,id-142,1,3
id-373,id-22,0,1
id-373,id-153,1,3
id-374,id-29,0,1
id-374,id-135,1,3
id-375,id-29,0,1
id-375,id-135,1,3
id-376,id-29,0,1
id-376,id-135,1,3
id-377,id-29,0,1
id-377,id-5,1,3
id-378,id-29,0,1
id-378,id-115,1,3
id-379,id-29,0,1
id-379,id-135,1,3
id-380,id-26,0,1
id-381,id-26,0,1
id-382,id-2,0,1
id-383,id-70,0,1
id-384,id-76,0,1
id-385,id-32,0,1
id-386,id-46,0,1
id-387,id-65,0,1
id-387,id-75,1,3
id-388,id-65,0,1
id-388,id-75,1,3
id-389,id-65,0,1
id-389,id-75,1,3
id-390,id-66,0,1
id-390,id-89,1,3
id-391,id-66,0,1
id-391,id-89,1,3
id-392,id-66,0,1
id-392,id-89,1,3
id-393,id-67,0,1
id-393,id-128,1,3
id-394,id-67,0,1
id-394,id-128,1,3
id-395,id-67,0,1
id-395,id-128,1,3
id-396,id-51,0,1
id-396,id-120,1,3
id-397,id-22,0,1
id-397,id-120,1,3
id-398,id-22,0,1
id-398,id-120,1,3
id-399,id-86,0,1
id-399,id-109,0,2
id-399,id-141,1,3
id-400,id-86,0,1
id-400,id-109,0,2
id-400,id-141,1,3
id-401,id-61,0,1
id-401,id-50,1,3
id-402,id-68,0,1
id-402,id-101,1,3
id-403,id-79,0,1
id-403,id-22,0,2
id-403,id-62,1,3
id-404,id-79,0,1
id-404,id-22,0,2
id-404,id-62,1,3
id-405,id-79,0,1
id-405,id-22,0,2
id-405,id-62,1,3
id-406,id-30,0,1
id-406,id-38,0,2
id-406,id-102,1,3
id-407,id-30,0,1
id-407,id-38,0,2
id-407,id-101,1,3
id-408,id-104,0,1
id-408,id-125,1,3
id-409,id-104,0,1
id-409,id-125,1,3
id-410,id-5,0,1
id-410,id-43,1,3
id-411,id-5,0,1
id-411,id-43,1,3
id-412,id-61,0,1
id-412,id-142,1,3
id-413,id-107,0,1
id-413,id-142,1,3
id-414,id-68,0,1
id-414,id-110,1,3
id-415,id-118,0,1
id-415,id-55,1,3
id-416,id-46,0,1
id-416,id-127,1,3
id-417,id-50,0,1
id-417,id-53,0,2
id-417,id-10,1,3
id-418,id-33,0,1
id-418,id-41,1,3
id-419,id-33,0,1
id-419,id-41,1,3
id-420,id-34,0,1
id-421,id-122,0,1
id-422,id-60,0,1
id-422,id-114,0,2
id-422,id-159,1,3
id-423,id-60,0,1
id-423,id-114,0,2
id-423,id-159,1,3
id-424,id-101,0,1
id-424,id-53,0,2
id-424,id-92,1,3
id-425,id-106,0,1
id-425,id-84,0,2
id-425,id-138,1,3
id-426,id-106,0,1
id-426,id-84,0,2
id-426,id-138,1,3
id-427,id-50,0,1
id-427,id-103,0,2
id-427,id-7,1,3
id-428,id-56,0,1
id-428,id-103,0,2
id-428,id-7,1,3
id-429,id-26,0,1
id-430,id-15,0,1
id-430,id-105,0,2
id-430,id-153,1,3
id-431,id-7,0,1
id-431,id-20,0,2
id-431,id-51,1,3
id-432,id-47,0,1
id-432,id-20,0,2
id-432,id-128,1,3
id-433,id-26,0,1
id-434,id-1,0,1
id-434,id-106,0,2
id-434,id-51,1,3
id-435,id-1,0,1
id-435,id-106,0,2
id-435,id-51,1,3
id-436,id-26,0,1
id-436,id-85,0,2
id-436,id-134,1,3
id-437,id-26,0,1
id-437,id-85,0,2
id-437,id-134,1,3
id-438,id-5,0,1
id-438,id-69,0,2
id-438,id-155,1,3
id-439,id-43,0,1
id-439,id-111,0,2
id-439,id-101,1,3
id-440,id-30,0,1
id-440,id-32,0,2
id-440,id-132,1,3
id-441,id-51,0,1
id-441,id-77,0,2
id-441,id-145,1,3
id-442,id-46,0,1
id-442,id-151,1,3
id-443,id-8,0,1
id-443,id-24,1,3
id-444,id-8,0,1
id-444,id-24,1,3
id-445,id-8,0,1
id-445,id-24,1,3
id-446,id-53,0,1
id-446,id-47,0,2
id-446,id-82,1,3
id-447,id-80,0,1
id-447,id-39,0,2
id-447,id-158,1,3
id-448,id-80,0,1
id-448,id-39,0,2
id-448,id-154,1,3
id-449,id-45,0,1
id-449,id-159,1,3
id-450,id-45,0,1
id-450,id-159,1,3
id-451,id-4,0,1
id-451,id-97,0,2
id-451,id-51,1,3
id-452,id-4,0,1
id-452,id-97,0,2
id-452,id-51,1,3
id-453,id-107,0,1
id-453,id-87,0,2
id-453,id-143,1,3
id-454,id-107,0,1
id-454,id-87,0,2
id-454,id-143,1,3
id-455,id-26,0,1
id-456,id-33,0,1
id-456,id-114,0,2
id-456,id-41,1,3
id-457,id-33,0,1
id-457,id-114,0,2
id-457,id-41,1,3
id-458,id-33,0,1
id-458,id-11,0,2
id-458,id-41,1,3
id-459,id-117,0,1
id-459,id-43,1,3
id-460,id-117,0,1
id-460,id-43,1,3
id-461,id-46,0,1
id-461,id-124,1,3
id-462,id-42,0,1
id-462,id-5,0,2
id-462,id-148,1,3
id-463,id-20,0,1
id-463,id-12,0,2
id-463,id-13,1,3
id-464,id-31,0,1
id-464,id-116,0,2
id-464,id-120,1,3
id-465,id-34,0,1
id-465,id-102,0,2
id-465,id-144,1,3
id-466,id-78,0,1
id-466,id-72,1,3
id-467,id-49,0,1
id-467,id-72,1,3
id-468,id-55,0,1
