pokemon,version,item,rarity
id-402,25,rec-254-dup-0,5
rec-296-dup-0,25,id-218,5
rec-10109-dup-1,28,id-589,5
id-400,13,rec-135-dup-1,5
rec-414-dup-0,23,id-199,5
rec-372-dup-0,14,rec-227-dup-1,5
id-301,21,rec-128-dup-0,50
id-162,15,rec-135-dup-0,5
id-25,16,rec-132-dup-0,50
rec-104-dup-0,8,rec-235-dup-0,5
rec-35-dup-0,14,rec-131-dup-0,50
rec-583-dup-0,28,id-223,5
rec-10132-dup-0,27,id-91,5
rec-466-dup-0,24,rec-299-dup-0,5
rec-370-dup-0,17,rec-93-dup-1,50
rec-524-dup-0,21,id-215,5
id-371,28,rec-227-dup-1,5
id-125,29,rec-299-dup-0,5
id-590,17,rec-87-dup-1,5
rec-122-dup-0,12,rec-131-dup-0,5
rec-294-dup-0,16,id-127,5
id-10014,17,rec-220-dup-0,100
id-557,21,rec-106-dup-1,1
rec-753-dup-1,29,id-216,5
id-353,15,rec-224-dup-0,5
id-173,21,rec-624-dup-1,1
id-336,28,rec-272-dup-0,5
rec-186-dup-1,16,id-198,5
rec-10092-dup-0,27,rec-128-dup-0,5
rec-416-dup-1,17,id-222,5
rec-441-dup-0,14,rec-254-dup-1,5
id-10014,25,rec-220-dup-1,100
rec-543-dup-0,18,id-222,5
rec-120-dup-0,12,id-90,50
rec-215-dup-0,29,rec-194-dup-0,5
rec-211-dup-1,27,id-222,5
rec-462-dup-0,17,id-210,5
id-407,22,rec-588-dup-0,1
rec-215-dup-0,16,rec-263-dup-0,50
rec-148-dup-1,9,id-212,5
rec-215-dup-1,28,rec-194-dup-0,5
rec-296-dup-0,27,id-218,5
id-151,22,rec-134-dup-0,100
rec-344-dup-0,29,id-246,5
rec-562-dup-1,22,rec-224-dup-0,5
id-313,30,rec-190-dup-0,5
rec-435-dup-1,16,rec-128-dup-0,5
rec-269-dup-1,27,rec-272-dup-0,5
id-303,15,rec-161-dup-0,5
rec-238-dup-0,17,id-130,100
rec-753-dup-0,29,id-216,5
rec-63-dup-0,25,rec-225-dup-0,5
rec-331-dup-1,22,id-265,5
id-621,17,rec-227-dup-1,5
rec-437-dup-0,29,id-210,5
rec-52-dup-0,27,rec-194-dup-0,5
id-276,15,rec-172-dup-0,5
id-560,28,rec-272-dup-0,5
rec-26-dup-1,12,rec-132-dup-0,5
id-10013,28,rec-220-dup-1,5
rec-366-dup-1,11,id-73,5
id-10013,17,rec-220-dup-1,100
id-277,18,rec-172-dup-0,5
rec-232-dup-0,15,rec-162-dup-0,5
rec-10109-dup-1,30,id-589,5
id-351,15,rec-220-dup-0,100
rec-121-dup-1,22,id-90,50
rec-782-dup-0,30,rec-303-dup-0,5
id-10153,29,rec-220-dup-0,5
rec-457-dup-0,18,rec-164-dup-0,5
rec-326-dup-0,22,id-133,50
rec-251-dup-0,28,rec-134-dup-0,5
rec-435-dup-0,22,rec-128-dup-0,5
rec-556-dup-0,21,id-216,5
rec-215-dup-0,29,rec-194-dup-0,5
rec-305-dup-0,9,id-215,5
id-732,27,rec-135-dup-0,5
rec-10130-dup-0,28,id-91,5
id-418,12,rec-163-dup-1,5
rec-437-dup-0,25,id-210,5
rec-64-dup-0,10,rec-225-dup-0,5
id-161,15,rec-132-dup-0,5
rec-121-dup-1,27,id-91,5
rec-434-dup-0,22,rec-128-dup-1,5
id-10089,30,rec-227-dup-0,5
rec-416-dup-0,13,id-222,5
rec-251-dup-0,11,rec-134-dup-0,100
rec-358-dup-1,27,id-201,5
rec-416-dup-0,18,id-222,5
id-200,7,rec-224-dup-0,5
rec-568-dup-0,24,id-258,5
id-47,22,rec-87-dup-1,5
rec-75-dup-0,25,id-206,5
rec-215-dup-1,22,rec-194-dup-0,5
rec-131-dup-0,27,rec-220-dup-0,5
id-769,29,rec-224-dup-0,5
id-440,13,rec-233-dup-0,5
id-419,14,rec-163-dup-1,5
rec-568-dup-0,22,id-92,1
id-173,18,rec-131-dup-0,50
rec-539-dup-0,17,id-218,5
rec-10107-dup-0,29,rec-194-dup-0,5
id-47,14,rec-87-dup-1,5
rec-269-dup-1,25,rec-272-dup-0,5
rec-19-dup-0,14,id-177,5
rec-466-dup-0,22,rec-299-dup-0,5
id-264,10,rec-132-dup-0,50
id-193,18,rec-242-dup-1,5
rec-426-dup-1,22,rec-584-dup-0,1
rec-748-dup-0,28,id-222,5
rec-743-dup-1,28,id-94,5
rec-10032-dup-0,25,id-216,100
rec-208-dup-0,8,id-210,5
rec-757-dup-0,28,rec-205-dup-0,5
id-335,27,rec-194-dup-0,5
rec-328-dup-0,22,id-214,5
rec-250-dup-0,16,rec-44-dup-0,100
rec-121-dup-0,22,id-90,50
rec-117-dup-0,14,id-212,5
id-758,30,rec-205-dup-0,5
rec-295-dup-0,17,id-127,5
rec-251-dup-0,9,rec-134-dup-0,100
rec-355-dup-0,16,id-173,5
rec-104-dup-0,12,rec-235-dup-0,5
rec-513-dup-1,21,rec-162-dup-0,5
id-356,7,rec-224-dup-0,5
rec-83-dup-0,14,rec-236-dup-0,5
id-400,15,rec-135-dup-0,5
id-161,21,rec-132-dup-0,5
rec-43-dup-0,29,rec-588-dup-0,5
rec-10076-dup-1,30,id-210,5
id-91,17,rec-89-dup-0,5
rec-26-dup-0,15,rec-132-dup-0,5
rec-757-dup-0,29,rec-205-dup-0,5
id-514,21,rec-132-dup-0,50
rec-401-dup-0,30,rec-254-dup-1,5
rec-414-dup-1,27,id-199,5
id-433,22,rec-175-dup-1,5
id-265,30,rec-190-dup-0,5
id-353,21,rec-224-dup-0,5
rec-542-dup-0,18,id-196,5
rec-143-dup-0,24,rec-211-dup-0,100
rec-261-dup-0,12,rec-128-dup-0,5
rec-414-dup-1,12,id-199,5
rec-354-dup-0,25,rec-224-dup-0,5
rec-562-dup-0,24,rec-224-dup-0,5
rec-49-dup-0,24,rec-272-dup-0,5
rec-513-dup-1,21,rec-132-dup-0,50
rec-90-dup-0,24,rec-89-dup-0,5
rec-434-dup-0,12,rec-128-dup-1,5
rec-269-dup-1,22,rec-272-dup-0,5
rec-208-dup-0,25,id-210,5
id-621,27,rec-227-dup-1,5
rec-305-dup-0,28,id-215,5
rec-78-dup-0,14,rec-168-dup-0,5
rec-83-dup-0,15,rec-236-dup-0,5
rec-358-dup-0,15,rec-175-dup-1,5
rec-344-dup-0,27,id-246,5
rec-104-dup-0,11,rec-235-dup-0,5
rec-369-dup-0,29,id-204,5
rec-366-dup-1,15,rec-89-dup-0,5
rec-35-dup-0,16,id-81,5
rec-53-dup-0,24,rec-194-dup-0,5
rec-539-dup-0,28,id-218,5
id-47,13,rec-87-dup-0,5
rec-524-dup-1,28,id-215,5
rec-524-dup-1,23,id-206,50
id-110,13,rec-205-dup-0,5
id-65,22,rec-225-dup-0,5
rec-10112-dup-1,27,id-258,5
id-469,24,rec-242-dup-0,5
id-27,27,rec-263-dup-0,5
id-193,27,rec-242-dup-1,5
rec-319-dup-0,23,id-203,5
id-764,28,rec-900-dup-0,5
id-193,21,rec-242-dup-1,5
rec-261-dup-1,8,rec-128-dup-0,5
id-262,22,rec-128-dup-0,5
rec-121-dup-1,14,id-91,5
rec-251-dup-0,29,rec-134-dup-0,5
id-28,16,rec-194-dup-0,5
rec-75-dup-1,10,id-215,5
rec-591-dup-0,28,id-86,50
rec-90-dup-0,16,id-88,50
id-461,14,rec-194-dup-0,5
rec-217-dup-0,10,rec-135-dup-0,5
id-276,12,rec-172-dup-0,5
rec-126-dup-0,8,id-129,100
rec-84-dup-0,26,id-221,5
rec-90-dup-0,8,rec-89-dup-0,5
rec-148-dup-0,9,id-212,5
rec-370-dup-0,28,rec-93-dup-1,50
id-28,26,rec-263-dup-0,5
rec-49-dup-0,15,rec-272-dup-0,5
id-267,13,rec-272-dup-0,5
id-132,12,rec-234-dup-0,5
rec-366-dup-1,30,rec-89-dup-0,5
id-300,8,rec-131-dup-0,5
rec-232-dup-0,13,rec-162-dup-0,5
rec-370-dup-0,22,rec-93-dup-1,50
rec-770-dup-0,28,rec-224-dup-0,5
rec-74-dup-0,8,id-206,5
id-400,12,rec-135-dup-0,5
rec-250-dup-0,12,rec-44-dup-0,100
rec-10107-dup-1,30,rec-194-dup-0,5
rec-370-dup-0,17,rec-93-dup-1,50
rec-68-dup-0,28,id-207,5
rec-441-dup-0,12,rec-254-dup-0,5
rec-531-dup-0,28,rec-135-dup-0,5
id-302,30,rec-242-dup-1,5
rec-117-dup-0,27,id-212,5
rec-50-dup-1,28,id-214,5
rec-354-dup-1,10,rec-224-dup-0,5
rec-143-dup-0,17,rec-211-dup-0,100
rec-80-dup-0,14,id-198,5
rec-401-dup-1,28,rec-254-dup-1,5
rec-217-dup-0,10,rec-132-dup-0,50
rec-568-dup-1,28,id-228,5
rec-10056-dup-0,30,rec-224-dup-0,5
rec-148-dup-0,27,id-212,5
rec-35-dup-0,18,rec-131-dup-0,50
id-560,25,rec-272-dup-0,5
rec-10083-dup-0,26,id-213,5
rec-563-dup-0,24,rec-224-dup-0,5
rec-331-dup-0,26,id-265,5
id-10013,21,rec-220-dup-1,100
rec-215-dup-0,15,rec-194-dup-0,5
rec-90-dup-0,11,rec-89-dup-0,5
rec-35-dup-0,12,rec-131-dup-0,50
rec-316-dup-1,30,rec-132-dup-0,50
rec-52-dup-0,25,rec-194-dup-0,5
rec-51-dup-0,26,id-214,5
rec-120-dup-0,29,id-91,5
rec-558-dup-0,18,rec-106-dup-0,1
id-317,23,rec-132-dup-0,5
rec-49-dup-0,25,rec-272-dup-0,5
rec-286-dup-0,13,id-167,5
id-113,17,rec-233-dup-1,50
rec-372-dup-0,22,rec-227-dup-0,5
rec-49-dup-0,17,rec-272-dup-0,5
id-46,12,rec-87-dup-1,5
id-590,23,rec-87-dup-1,5
rec-558-dup-0,18,id-215,5
id-560,30,rec-272-dup-0,5
id-461,23,rec-263-dup-0,50
rec-63-dup-0,17,rec-225-dup-0,5
id-356,29,rec-224-dup-0,5
id-264,11,rec-135-dup-0,5
rec-416-dup-1,22,id-222,5
id-239,30,rec-299-dup-0,5
rec-121-dup-0,23,id-90,50
id-547,28,rec-588-dup-0,5
rec-10093-dup-0,29,rec-128-dup-0,5
id-263,28,rec-28-dup-0,5
rec-316-dup-0,27,rec-135-dup-0,5
rec-316-dup-1,27,rec-132-dup-0,50
rec-261-dup-1,11,rec-128-dup-1,5
id-751,28,rec-220-dup-1,5
id-162,9,rec-135-dup-0,5
rec-674-dup-0,28,id-196,5
rec-435-dup-0,18,rec-128-dup-0,5
rec-401-dup-0,14,rec-254-dup-0,5
rec-121-dup-1,9,id-90,50
rec-524-dup-0,30,id-215,5
rec-331-dup-0,7,id-222,5
id-10015,16,rec-220-dup-0,100
id-10013,30,rec-220-dup-1,5
rec-369-dup-0,25,id-204,5
rec-531-dup-0,17,rec-135-dup-1,5
id-263,13,rec-132-dup-0,5
rec-753-dup-1,30,id-216,5
rec-370-dup-0,13,rec-93-dup-0,50
rec-401-dup-1,13,rec-254-dup-0,5
rec-536-dup-0,22,rec-128-dup-1,50
id-402,12,rec-254-dup-1,5
rec-305-dup-0,27,id-215,5
rec-536-dup-0,21,rec-128-dup-1,50
rec-553-dup-0,28,id-217,50
id-193,16,rec-242-dup-0,5
rec-562-dup-1,17,rec-224-dup-0,5
rec-90-dup-0,21,rec-89-dup-0,5
rec-416-dup-0,15,id-222,5
rec-143-dup-0,7,rec-211-dup-0,100
rec-441-dup-0,23,rec-254-dup-0,5
rec-373-dup-0,24,rec-227-dup-1,5
id-264,13,rec-135-dup-0,5
rec-562-dup-1,18,rec-224-dup-0,5
rec-416-dup-1,21,id-222,5
rec-232-dup-0,16,rec-162-dup-0,5
id-621,27,rec-227-dup-0,5
id-469,16,rec-242-dup-1,5
rec-269-dup-1,28,rec-272-dup-0,5
rec-75-dup-1,16,id-206,5
rec-53-dup-0,15,rec-194-dup-0,5
rec-457-dup-0,17,rec-164-dup-0,5
id-28,18,rec-194-dup-0,5
rec-531-dup-0,29,rec-135-dup-0,5
rec-215-dup-1,17,rec-194-dup-0,5
rec-373-dup-0,29,rec-227-dup-0,5
rec-10121-dup-0,29,rec-128-dup-1,5
rec-233-dup-0,11,id-229,100
rec-143-dup-0,18,rec-211-dup-0,100
id-276,13,rec-172-dup-0,5
rec-227-dup-1,25,id-210,5
id-758,28,rec-205-dup-0,5
rec-251-dup-0,17,rec-134-dup-0,100
id-10015,22,rec-220-dup-0,100
rec-434-dup-0,12,rec-128-dup-0,5
rec-68-dup-0,11,id-207,5
rec-416-dup-1,12,id-222,5
rec-539-dup-0,22,rec-245-dup-0,1
rec-362-dup-0,7,id-223,5
rec-401-dup-1,29,rec-254-dup-1,5
rec-104-dup-0,7,rec-235-dup-0,5
rec-73-dup-0,29,id-222,5
rec-186-dup-1,15,id-198,5
rec-743-dup-0,27,id-94,5
rec-10092-dup-0,29,rec-128-dup-1,5
id-10015,14,rec-220-dup-0,100
id-47,28,rec-87-dup-1,5
rec-53-dup-0,12,rec-194-dup-0,5
rec-261-dup-0,9,rec-128-dup-0,5
id-751,27,rec-220-dup-0,5
rec-64-dup-0,16,rec-225-dup-0,5
rec-441-dup-0,21,rec-254-dup-0,5
rec-558-dup-0,18,rec-106-dup-1,1
rec-539-dup-0,18,rec-245-dup-0,1
id-400,22,rec-132-dup-0,50
rec-370-dup-0,25,rec-93-dup-1,50
id-285,27,rec-87-dup-1,5
rec-10132-dup-0,29,id-91,5
rec-757-dup-0,28,rec-205-dup-0,5
id-10014,13,rec-220-dup-0,100
rec-269-dup-1,25,rec-272-dup-0,5
rec-118-dup-0,25,rec-220-dup-0,5
id-351,24,rec-220-dup-0,100
rec-261-dup-1,21,rec-128-dup-1,5
rec-591-dup-0,23,rec-87-dup-1,5
rec-64-dup-0,11,rec-225-dup-0,5
rec-325-dup-0,13,id-171,5
rec-75-dup-0,18,id-206,5
rec-215-dup-1,22,rec-263-dup-0,50
id-477,28,rec-224-dup-0,5
rec-366-dup-1,12,rec-89-dup-0,5
rec-10128-dup-0,30,id-216,5
rec-75-dup-1,11,id-215,5
rec-286-dup-0,29,id-86,50
rec-441-dup-0,13,rec-254-dup-1,5
id-433,12,rec-175-dup-0,5
rec-701-dup-0,29,id-198,5
rec-74-dup-0,18,id-206,5
id-46,27,rec-87-dup-0,5
rec-26-dup-0,15,rec-132-dup-0,5
rec-117-dup-0,18,id-212,5
id-433,14,rec-175-dup-1,5
rec-414-dup-1,17,id-199,5
rec-740-dup-1,27,id-126,5
id-47,12,rec-87-dup-0,5
rec-251-dup-0,21,rec-134-dup-0,100
rec-524-dup-1,25,id-215,5
id-338,17,rec-624-dup-0,1
rec-584-dup-1,28,id-223,50
rec-434-dup-0,17,rec-128-dup-1,5
rec-523-dup-0,21,id-126,50
rec-232-dup-0,16,rec-162-dup-0,5
rec-286-dup-0,29,rec-87-dup-0,5
rec-121-dup-1,13,id-91,5
id-317,27,rec-135-dup-1,5
rec-556-dup-0,22,id-216,5
id-313,29,rec-190-dup-0,5
rec-562-dup-1,27,rec-224-dup-0,5
rec-74-dup-0,30,id-206,5
rec-531-dup-0,27,rec-135-dup-0,5
rec-543-dup-0,30,id-222,5
rec-562-dup-1,17,rec-224-dup-0,5
id-193,24,rec-242-dup-0,5
rec-466-dup-0,26,rec-299-dup-0,5
id-301,21,rec-128-dup-1,50
rec-552-dup-0,29,id-217,5
id-263,7,rec-132-dup-0,5
id-402,30,rec-254-dup-0,5
rec-312-dup-0,30,id-589,5
rec-83-dup-0,29,rec-236-dup-0,5
id-277,15,rec-172-dup-0,5
rec-131-dup-0,30,rec-220-dup-1,5
rec-319-dup-0,27,id-203,5
id-91,30,rec-89-dup-0,5
rec-35-dup-0,15,rec-131-dup-0,50
id-47,29,rec-87-dup-0,5
rec-544-dup-0,17,rec-128-dup-1,50
rec-354-dup-1,29,rec-224-dup-0,5
rec-316-dup-1,26,rec-132-dup-0,50
rec-441-dup-0,12,rec-254-dup-0,5
rec-75-dup-0,17,id-206,5
rec-531-dup-0,28,rec-132-dup-0,50
id-512,22,rec-161-dup-0,5
rec-35-dup-0,13,rec-131-dup-0,50
rec-90-dup-0,30,rec-89-dup-0,5
rec-372-dup-0,24,rec-227-dup-1,5
rec-370-dup-0,10,rec-93-dup-1,50
id-173,22,rec-131-dup-0,50
id-590,24,rec-87-dup-1,5
rec-26-dup-0,14,rec-132-dup-0,5
rec-358-dup-0,22,rec-175-dup-0,5
rec-562-dup-0,28,rec-224-dup-0,5
rec-90-dup-1,22,rec-89-dup-0,5
rec-35-dup-0,24,id-81,5
rec-147-dup-0,29,id-212,5
rec-121-dup-1,7,id-91,5
rec-148-dup-1,10,rec-227-dup-0,5
id-351,25,rec-220-dup-0,100
rec-591-dup-0,18,rec-621-dup-0,1
rec-328-dup-0,26,id-214,5
rec-367-dup-0,18,id-203,5
rec-466-dup-0,30,rec-299-dup-0,5
rec-524-dup-0,23,id-215,5
id-46,16,rec-87-dup-0,5
id-151,18,rec-134-dup-0,100
rec-562-dup-0,24,rec-224-dup-0,5
id-161,10,rec-132-dup-0,5
rec-147-dup-0,13,id-212,5
id-439,15,rec-131-dup-0,5
rec-52-dup-0,13,rec-194-dup-0,5
id-77,13,rec-168-dup-0,5
id-46,17,rec-87-dup-1,5
id-621,23,rec-227-dup-0,5
rec-352-dup-0,15,id-133,5
id-110,28,rec-205-dup-0,5
id-461,25,rec-194-dup-0,5
rec-354-dup-0,28,rec-224-dup-0,5
id-262,10,rec-128-dup-0,5
rec-35-dup-0,30,id-81,5
id-265,27,rec-128-dup-1,50
id-113,23,rec-233-dup-0,50
rec-427-dup-0,18,rec-166-dup-0,5
rec-75-dup-1,12,id-206,5
rec-52-dup-0,30,rec-194-dup-0,5
rec-64-dup-0,14,rec-225-dup-0,5
rec-83-dup-0,24,rec-236-dup-0,5
rec-366-dup-1,29,rec-89-dup-0,5
rec-250-dup-0,18,rec-44-dup-0,100
id-10014,28,rec-220-dup-1,5
rec-79-dup-0,25,id-256,5
id-621,22,rec-227-dup-0,5
id-351,9,rec-220-dup-0,100
rec-118-dup-0,28,rec-220-dup-1,5
rec-120-dup-0,7,id-91,5
rec-367-dup-0,12,id-203,5
rec-269-dup-0,26,rec-272-dup-0,5
rec-373-dup-0,16,rec-227-dup-1,5
rec-120-dup-0,27,id-91,5
rec-269-dup-1,17,rec-272-dup-0,5
rec-366-dup-0,30,rec-89-dup-0,5
rec-316-dup-0,10,rec-89-dup-0,5
rec-121-dup-1,18,id-90,50
id-10013,17,rec-220-dup-0,100
rec-734-dup-0,29,rec-128-dup-1,5
rec-211-dup-1,15,id-222,5
rec-444-dup-0,13,id-174,5
rec-478-dup-1,14,id-176,5
rec-319-dup-0,18,id-203,5
id-590,22,rec-621-dup-0,1
rec-370-dup-0,9,rec-93-dup-0,50
id-300,22,rec-128-dup-0,50
rec-437-dup-1,15,id-210,5
id-317,21,rec-89-dup-0,5
rec-50-dup-0,23,id-214,5
rec-83-dup-0,8,rec-236-dup-0,5
id-548,28,rec-588-dup-0,5
id-105,23,rec-235-dup-0,5
id-433,15,rec-175-dup-1,5
id-161,18,rec-132-dup-0,5
rec-233-dup-0,10,id-229,100
rec-80-dup-0,21,id-198,5
id-36,21,rec-624-dup-0,1
rec-478-dup-0,12,id-176,5
rec-367-dup-1,28,id-203,5
rec-372-dup-0,12,rec-227-dup-0,5
rec-261-dup-1,18,rec-128-dup-1,5
id-102,27,rec-899-dup-0,5
rec-26-dup-1,13,rec-132-dup-0,5
rec-49-dup-0,22,rec-272-dup-0,5
rec-26-dup-1,7,rec-132-dup-0,5
rec-238-dup-0,12,id-130,100
rec-457-dup-0,13,rec-164-dup-0,5
rec-553-dup-0,30,id-217,50
rec-215-dup-0,27,rec-194-dup-0,5
rec-427-dup-1,18,rec-166-dup-0,5
rec-90-dup-1,9,id-88,50
rec-261-dup-0,10,rec-128-dup-1,5
rec-563-dup-0,17,rec-224-dup-0,5
rec-286-dup-0,18,id-167,5
id-91,8,rec-89-dup-0,5
id-402,26,rec-254-dup-1,5
rec-75-dup-0,7,id-206,5
rec-513-dup-0,22,rec-162-dup-0,5
rec-316-dup-0,8,rec-89-dup-0,5
id-755,28,rec-87-dup-1,5
rec-10121-dup-1,30,rec-128-dup-1,5
rec-208-dup-0,22,id-210,5
id-371,12,rec-227-dup-0,5
rec-10093-dup-0,27,rec-128-dup-1,5
rec-316-dup-0,16,rec-89-dup-0,5
rec-143-dup-0,11,id-127,100
rec-120-dup-0,8,id-91,5
rec-354-dup-1,18,rec-224-dup-0,5
rec-401-dup-1,30,rec-254-dup-0,5
rec-251-dup-0,30,rec-134-dup-0,5
rec-121-dup-1,29,id-91,5
rec-90-dup-1,28,rec-89-dup-0,5
id-119,29,rec-220-dup-0,5
id-10091,29,rec-128-dup-1,5
id-65,18,rec-225-dup-0,5
rec-50-dup-1,14,id-214,5
rec-366-dup-0,28,id-88,50
rec-361-dup-0,26,id-689,5
rec-84-dup-0,8,id-221,5
rec-52-dup-0,25,rec-194-dup-0,5
rec-143-dup-0,25,rec-211-dup-0,100
id-10013,12,rec-220-dup-1,100
id-162,16,rec-135-dup-1,5
rec-544-dup-0,17,rec-128-dup-0,50
rec-215-dup-1,7,rec-194-dup-0,5
rec-435-dup-0,18,rec-128-dup-1,5
id-10037,26,rec-225-dup-0,5
rec-316-dup-1,24,rec-132-dup-0,5
id-10069,28,rec-132-dup-0,50
rec-10076-dup-1,26,id-210,5
id-762,29,rec-901-dup-0,5
id-492,16,rec-134-dup-0,100
rec-354-dup-1,25,rec-224-dup-0,5
rec-10107-dup-0,30,rec-194-dup-0,5
id-65,25,rec-225-dup-0,5
id-557,22,rec-106-dup-1,1
id-10013,18,rec-220-dup-1,100
rec-63-dup-0,13,rec-225-dup-0,5
id-125,13,rec-299-dup-0,5
rec-286-dup-0,27,id-86,50
rec-35-dup-0,18,rec-624-dup-0,1
id-559,17,rec-272-dup-0,5
id-193,28,rec-242-dup-0,5
rec-441-dup-0,21,rec-254-dup-1,5
rec-10112-dup-0,30,id-258,5
id-10037,25,rec-225-dup-0,5
rec-52-dup-0,10,id-92,5
id-590,17,rec-87-dup-0,5
rec-10112-dup-0,27,id-258,5
rec-10093-dup-0,28,rec-128-dup-1,5
rec-401-dup-1,15,rec-254-dup-0,5
id-535,21,rec-128-dup-1,50
rec-67-dup-0,11,id-207,5
rec-370-dup-0,12,rec-93-dup-1,50
rec-369-dup-0,8,id-75,5
