item,version_group,language,flavor_text
rec-1318-dup-0,20,1,キャンプの　りょうりに　つかうしょくざいの　いっしゅかんせい　されたレトルトカレーを　つかって　ミスをふせぐ
rec-1318-dup-0,20,3,캠프 요리에 사용되는식재료 중 하나. 완성된 레토르트카레를사용해서 실패를 막는다.
rec-1318-dup-0,20,6,Eine Zutat für PokéCamping-Mahlzeiten. Da bei einemFertigcurry der Name Programm ist kann beim Kochennichts schiefgehen.
rec-1318-dup-0,20,9,One of the many ingredients that can be used forcooking at your camp. Using packaged curry helpsmake sure there are no slipups when cooking.
rec-1318-dup-0,20,11,キャンプの　料理に　使う食材の　一種完成　されたレトルトカレーを　使って　ミスを防ぐ
rec-1318-dup-0,20,12,在露营营地制作料理时会使用的一种食材使用这种成品速食咖喱可以有效预防失误
rec-1318-dup-0,20,4,製作露營料理時使用的食材之一使用現成的即食咖哩可以避免失敗
rec-1318-dup-0,20,7,Un ingrediente para cocinar en el campamento. Estecurri precocinado nunca falla.
rec-542-dup-0,20,3,보이지 않는 포켓몬에반응하여 소리를 내는데봉의 특제품.
rec-542-dup-0,20,12,会对看不见的宝可梦起反应并发出声音的得文特制产品
rec-542-dup-0,20,4,會對看不見的寶可夢起反應並發出聲音的得文特製產品
rec-542-dup-0,20,9,A special device made by Devon Corporation thatsignals the presence of any unseen Pokémon.
rec-542-dup-0,20,5,Ce produit en série limitée de Devon émet un signalsonore pour signaler la présence de Pokémon invisibles.
rec-542-dup-0,20,7,Artilugio creado por Devon S. A. que reacciona a lapresencia de Pokémon invisibles emitiendo sonidos.
rec-542-dup-0,20,11,見えない　ポケモンに反応して　音をだすデボンの　特製品
rec-542-dup-0,20,6,Ein von der Devon Corporation hergestelltes Gerätdas mit einem Signalton auf unsichtbare Pokémonreagiert.
rec-542-dup-0,20,8,Congegno prodotto dalla Devon che rilevala presenza di Pokémon nascosti emettendoun segnale sonoro.
rec-542-dup-0,20,1,みえない　ポケモンにはんのうして　おとをだすデボンの　とくせいひん
rec-1420-dup-1,20,11,使った　日に　ワイルドエリアの見張り塔のダイ巣穴　からVAR 0000が　現れる
rec-1420-dup-1,20,5,Un objet faisant apparaître un VAR 0000dans lantre géant de la Tour en ruinesdes Terres Sauvages jusquà la fin de la journée.
rec-1420-dup-1,20,4,使用後的當天VAR 0000會出現在曠野地帶的瞭望塔巨巢
rec-1420-dup-1,20,9,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.
rec-1420-dup-1,20,3,사용한 당일에만 와일드에리어에 있는감시탑의 다이맥스굴에서VAR 0000VAR 0003 나타난다.
rec-1420-dup-1,20,12,使用后的当天旷野地带的瞭望塔巨巢中会出现VAR 0000
rec-1420-dup-1,20,1,つかった　ひに　ワイルドエリアのみはりとうのダイすあな　からVAR 0000が　あらわれる
rec-1420-dup-1,20,7,Posibilita la aparición de VAR 0000 en el nidoDinamax de la Atalaya del Área Silvestre hasta finalizarel día en que se ha usado.
rec-1420-dup-1,20,6,Dieses Item bewirkt dass im Wachturm-Nest in derNaturzone ein VAR 0000 bis zum Ende des Tageserscheint an dem das Item eingesetzt wurde.
rec-1420-dup-1,20,8,Strumento che fa apparire VAR 0000 nelladynatana della Torre Diroccata nelle Terre Selvaggefino alla fine del giorno in cui viene usato.
rec-194-dup-0,20,8,Strumento da dare a un Pokémon.Leggero e affilato ogni tanto permette di farela prima mossa.
rec-194-dup-0,20,1,かるくて　するどい　ツメもたせると　あいてより　さきにこうどう　できることが　ある
rec-194-dup-0,20,4,又輕又尖銳的爪子攜帶後有時能比對手先一步行動
rec-194-dup-0,20,11,軽くて　鋭い　ツメ持たせると　相手より　先に行動できることが　ある
rec-194-dup-0,20,7,Garra ligera y afilada que permite que el Pokémon quela lleve ataque a veces el primero.
rec-194-dup-0,20,12,又轻又尖锐的爪子携带后有时能比对手先一步行动
rec-194-dup-0,20,5,Objet à tenir. Une griffe légère mais tranchantequi permet parfois de frapper en priorité.
rec-194-dup-0,20,9,An item to be held by a Pokémon. This light sharpclaw lets the bearer move first occasionally.
rec-194-dup-0,20,6,Ein Item das einem Pokémon zum Tragen gegebenwerden kann. Es ermöglicht gelegentlich den Erstschlag.
rec-194-dup-0,20,3,가볍고 날카로운 손톱.지니게 하면 상대보다 먼저행동할 수도 있다.
rec-943-dup-1,20,5,Permet de concentrer la Force Z en un cristalqui autorise son porteur à transformer ses capacitésde type Glace en capacité Z.
rec-943-dup-1,20,12,可用它来制造用于对战并能将冰属性招式升级成Ｚ招式的Ｚ力量结晶
rec-943-dup-1,20,3,얼음타입 기술을Z기술로 업그레이드하는Z파워의 결정을 만들어 낸다.
rec-943-dup-1,20,8,Permette di creare cristalli carichi di Potere Z checonsentono ai Pokémon di trasformare le mossedi tipo Ghiaccio in mosse Z.
rec-943-dup-1,20,9,It converts Z-Power into crystals that upgradeIce-type moves to Ice-type Z-Moves.
rec-943-dup-1,20,1,こおりタイプの　わざをＺワザに　グレードアップするＺパワーの　けっしょうを　つくりだす
rec-943-dup-1,20,11,こおりタイプの　技をＺワザに　グレードアップするＺパワーの　結晶を　作りだす
rec-943-dup-1,20,6,Kristallisierte Z-Kraft die Eis-Attacken zu Z-Attackenaufstuft. Wird bei Bedarf automatisch vervielfacht.
rec-943-dup-1,20,4,會製造出把冰屬性招式升級為Ｚ招式的Ｚ力量結晶
rec-943-dup-1,20,7,Concentra el Poder Z en cristales que permiten a losportadores convertir sus movimientos de tipo Hielo enmovimientos Z.
rec-678-dup-0,20,12,能强行让宝可梦的能力觉醒的特殊装置但由于是试制品功能尚未完善
rec-678-dup-0,20,1,ポケモンの　のうりょくを　むりやりめざめさせる　とくしゅな　そうちだが　しさくひんのため　ふかんぜん
rec-678-dup-0,20,9,A special device that wrings out the potential ofPokémon. Its an imperfect prototype.
rec-678-dup-0,20,3,포켓몬의 능력을 강제로눈뜨게 만드는 특수 장치.그러나 시작품이기에 불완전하다.
rec-678-dup-0,20,8,Prototipo imperfetto di un dispositivo specialeideato per risvegliare in modo forzato le capacitàdei Pokémon.
rec-678-dup-0,20,4,能強行讓寶可夢的能力覺醒的特殊裝置但由於是試作品功能還不完全
rec-678-dup-0,20,7,Dispositivo que permite aumentar forzadamente lascaracterísticas de los Pokémon. Es un prototipoimperfecto.
rec-678-dup-0,20,5,Un appareil spécial qui permet déveiller de forcela puissance des Pokémon. Mais il ne sagit quedun prototype.
rec-678-dup-0,20,6,Eine Vorrichtung die verborgene Kräfte in denPokémon weckt. Es handelt sich dabei um einenunfertigen Prototyp.
rec-678-dup-0,20,11,ポケモンの　能力を　無理やり目覚めさせる　特殊な　装置だが　試作品のため　不完全
rec-1525-dup-0,20,1,つかった　ひに　ワイルドエリアのみはりとうのダイすあな　からVAR 0000が　あらわれる
rec-1525-dup-0,20,7,Posibilita la aparición de VAR 0000 en el nidoDinamax de la Atalaya del Área Silvestre hasta finalizarel día en que se ha usado.
rec-1525-dup-0,20,8,Strumento che fa apparire VAR 0000 nelladynatana della Torre Diroccata nelle Terre Selvaggefino alla fine del giorno in cui viene usato.
rec-1525-dup-0,20,3,사용한 당일에만 와일드에리어에 있는감시탑의 다이맥스굴에서VAR 0000VAR 0003 나타난다.
rec-1525-dup-0,20,5,Un objet faisant apparaître un VAR 0000dans lantre géant de la Tour en ruinesdes Terres Sauvages jusquà la fin de la journée.
rec-1525-dup-0,20,4,使用後的當天VAR 0000會出現在曠野地帶的瞭望塔巨巢
rec-1525-dup-0,20,9,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.
rec-1525-dup-0,20,6,Dieses Item bewirkt dass im Wachturm-Nest in derNaturzone ein VAR 0000 bis zum Ende des Tageserscheint an dem das Item eingesetzt wurde.
rec-1525-dup-0,20,12,使用后的当天旷野地带的瞭望塔巨巢中会出现VAR 0000
rec-1525-dup-0,20,11,使った　日に　ワイルドエリアの見張り塔のダイ巣穴　からVAR 0000が　現れる
rec-327-dup-0,20,8,Chi la usa attacca il bersaglio e può rubarglilo strumento se non ne ha già uno.
rec-327-dup-0,20,6,Ermöglicht es das Item des Zieles zu stehlen solangder Anwender selbst keins bei sich trägt.
rec-327-dup-0,20,5,Le lanceur attaque la cible et vole son objet.Le lanceur ne peut rien voler sil tient déjà un objet.
rec-327-dup-0,20,4,在攻擊的同時偷取道具當寶可夢自己有攜帶道具時則無法偷取
rec-327-dup-0,20,9,The user attacks and steals the targets held itemsimultaneously. The user cant steal anything if italready holds an item.
rec-327-dup-0,20,11,攻撃と　同時に　道具を　盗む自分が　道具を　持っている　場合は盗めない
rec-327-dup-0,20,12,攻击的同时盗取道具当自己携带道具时不会去盗取
rec-327-dup-0,20,1,こうげきと　どうじに　どうぐを　ぬすむじぶんが　どうぐを　もっている　ばあいはぬすめない
rec-327-dup-0,20,3,공격과 동시에 도구를 훔친다.자신이 도구를 지니고 있을 경우에는훔칠 수 없다.
rec-327-dup-0,20,7,El agresor ataca y le quita el objeto al objetivo siemprey cuando no lleve ninguno.
rec-233-dup-1,20,5,Objet à faire tenir à Leveinard.Une paire de gants qui augmente son taux de critiques.
rec-233-dup-1,20,7,Un par de guantes que debe llevar Chansey. Potencianmucho su índice de golpe crítico.
rec-233-dup-1,20,12,能带来幸运的拳套让吉利蛋携带后招式会变得容易击中要害
rec-233-dup-1,20,6,Ein Item das von Chaneira getragen werden kann.Diese Handschuhe erhöhen die Volltrefferquote desTrägers.
rec-233-dup-1,20,1,こううんを　よぶ　グローブラッキーに　もたせると　わざがきゅうしょに　あたりやすくなる
rec-233-dup-1,20,3,행운을 부르는 글러브다.럭키에게 지니게 하면 기술이급소에 맞기 쉬워진다.
rec-233-dup-1,20,8,Strumento da dare a Chansey.Guanti che aumentano molto la probabilitàdi sferrare brutti colpi.
rec-233-dup-1,20,11,幸運を　よぶ　グローブラッキーに　持たせると　技が急所に　当たりやすくなる
rec-233-dup-1,20,9,An item to be held by Chansey. This pair of luckyboxing gloves will boost Chanseys critical-hit ratio.
rec-233-dup-1,20,4,能帶來幸運的拳套讓吉利蛋攜帶後招式會變得容易擊中要害
rec-650-dup-0,20,11,戦闘中の　ポケモンの攻撃を　ものすごく　あげるひっこめると　元に　戻る
rec-650-dup-0,20,3,배틀 중인 포켓몬의 공격을엄청나게 올린다. 포켓몬을 볼에넣어버리면 원래대로 되돌아간다.
rec-650-dup-0,20,9,It raises the Attack stat of a Pokémon in battleimmensely. It wears off if the Pokémonis withdrawn.
rec-650-dup-0,20,12,能极大提高战斗中宝可梦的攻击离场后效果便会消失
rec-650-dup-0,20,6,Hebt den Angriffs-Wert eines Pokémon im Kampfenorm an. Die Wirkung endet mit dem Austausch desPokémon.
rec-650-dup-0,20,4,能極大幅提高戰鬥中寶可夢的攻擊離場後效果便會消失
rec-650-dup-0,20,1,せんとうちゅうの　ポケモンのこうげきを　ものすごく　あげるひっこめると　もとに　もどる
rec-650-dup-0,20,8,Aumenta incredibilmente lAttacco di un Pokémonin una lotta. Leffetto svanisce se il Pokémonè sostituito.
rec-650-dup-0,20,5,Augmente fortement lAttaque pendant un combat.Leffet se dissipe si le Pokémon est retiré.
rec-650-dup-0,20,7,Aumenta mucho el Ataque en combate. Al cambiar dePokémon el efecto desaparece.
rec-783-dup-1,20,3,아쿠아단이 과학기술을결집하여 만든 슈트다.어떠한 충격에도 견딜 수 있다.
rec-783-dup-1,20,12,集海洋队科学技术于一身的服装能承受任何冲击
rec-783-dup-1,20,7,Este traje es el resultado de las arduas investigacionescientíficas del Equipo Aqua. Es capaz de soportarcualquier impacto.
rec-783-dup-1,20,6,Ein Anzug der unter Einsatz des gesamten technischenWissens von Team Aqua entstand. Hält jeder Art vonErschütterung stand.
rec-783-dup-1,20,1,アクアだんの　かがくぎじゅつをけっしゅうして　つくられた　スーツどんな　しょうげき　にも　たえられる
rec-783-dup-1,20,8,Tuta altamente tecnologica costruita dalTeam Idro in grado di resistere a qualunqueshock.
rec-783-dup-1,20,11,アクア団の　科学技術を結集して　つくられた　スーツどんな　衝撃にも　耐えられる
rec-783-dup-1,20,9,A suit made with the collective technologicalknow-how of Team Aqua. It can withstandany impact.
rec-783-dup-1,20,5,Une combinaison créée à partir des méthodesscientifiques de la Team Aqua.Elle résiste à tous les chocs.
rec-783-dup-1,20,4,集結了海洋隊的科學技術製造的服裝能承受任何衝擊
rec-1134-dup-1,20,5,Un bonbon plein dénergie.Il augmente toutes les stats dun certain Pokémon.
rec-1134-dup-1,20,1,エネルギーの　つまった　アメとくていの　ポケモンの　のうりょくをすべて　あげる
rec-1134-dup-1,20,6,Ein Bonbon das voller Energie steckt. Erhöht dauerhaftsämtliche Statuswerte eines bestimmten Pokémon.
rec-1134-dup-1,20,3,에너지가 가득한 사탕.특정 포켓몬의모든 능력을 올린다.
rec-1134-dup-1,20,8,Una caramella piena zeppa di energia.Aumenta tutte le statistiche di determinati Pokémon.
rec-1134-dup-1,20,11,エネルギーの　つまった　アメ特定の　ポケモンの　能力をすべて　上げる
rec-1134-dup-1,20,12,充满能量的糖果能让特定宝可梦的所有能力上升
rec-1134-dup-1,20,7,Caramelo energético que aumenta todas lascaracterísticas de cierto Pokémon.
rec-1134-dup-1,20,4,充滿能量的糖果能提高特定寶可夢的所有能力
rec-1134-dup-1,20,9,A candy that is packed with energy. When given tocertain Pokémon it will increase all their stats at once.
rec-718-dup-0,20,12,让胡地携带后在战斗时就能进行超级进化的一种神奇超级石
rec-718-dup-0,20,11,フーディンに　持たせておくと戦いのとき　メガシンカが　できる不思議な　メガストーンの　一種
rec-718-dup-0,20,9,One of a variety of mysterious Mega Stones.Have Alakazam hold it and this stone will enable itto Mega Evolve during battle.
rec-718-dup-0,20,1,フーディンに　もたせておくとたたかいのとき　メガシンカが　できるふしぎな　メガストーンの　いっしゅ
rec-718-dup-0,20,4,讓胡地攜帶後在戰鬥時就能進行超級進化的一種神奇超級石
rec-718-dup-0,20,7,Una de las misteriosas Megapiedras. Permitemegaevolucionar a Alakazam en combate.
rec-718-dup-0,20,6,Einer der mysteriösen Mega-Steine. Wird er voneinem Simsala getragen kann es im Kampf eineMega-Entwicklung durchführen.
rec-718-dup-0,20,8,Un esemplare delle misteriose Megapietre.Data ad Alakazam gli permette di megaevolversidurante la lotta.
rec-718-dup-0,20,3,후딘에게 지니게 하면배틀할 때 메가진화할 수 있는신비한 메가스톤의 일종.
rec-718-dup-0,20,5,Une variété de Méga-Gemme.Tenue par un Alakazam elle lui permet deméga-évoluer durant un combat.
rec-151-dup-0,20,4,如果把它餵給寶可夢寶可夢會非常容易和訓練家變得友好但速度的基礎點數會降低
rec-151-dup-0,20,6,Isst ein Pokémon diese Beere stärkt dies seineZutraulichkeit verringert aber seinenInitiative-Basiswert.
rec-151-dup-0,20,8,Usata su un Pokémon ne aumenta il livello di amiciziama ne diminuisce i punti base della Velocità.
rec-151-dup-0,20,7,Al usarla con un Pokémon se gana su amistad perotambién reduce su Velocidad de base.
rec-151-dup-0,20,9,A Berry to be consumed by Pokémon. Using it on aPokémon makes it more friendly but lowers itsSpeed base points.
rec-151-dup-0,20,12,如果把它交给宝可梦宝可梦就会变得非常容易和训练家亲密但速度的基础点数会降低
rec-151-dup-0,20,11,ポケモンに　あげるととても　なかよく　なりやすくなるが素早さの　基礎ポイントは　さがる
rec-151-dup-0,20,3,포켓몬에게 주면매우 친밀해지기 쉬워지지만스피드의 기초 포인트가 떨어진다.
rec-151-dup-0,20,5,Une Baie qui rend les Pokémon plus amicauxmais baisse leur Vitesse de base.
rec-151-dup-0,20,1,ポケモンに　あげるととても　なかよく　なりやすくなるがすばやさの　きそポイントは　さがる
rec-975-dup-0,20,1,ソルガレオか　ルナアーラとがったいした　ネクロズマをあらたな　すがたにする　けっしょう
rec-975-dup-0,20,3,솔가레오나 루나아라와합체한 네크로즈마를새로운 모습으로 만드는 결정.
rec-975-dup-0,20,7,Cristal que permite a Necrozma una vez fusionadocon Solgaleo o Lunala adoptar una nueva forma.
rec-975-dup-0,20,11,ソルガレオか　ルナアーラと合体した　ネクロズマを新たな　姿にする　結晶
rec-975-dup-0,20,5,Un cristal permettant de donner une nouvelle formeà Necrozma quand il a fusionné avec Solgaleo ou Lunala.
rec-975-dup-0,20,4,可讓和索爾迦雷歐或露奈雅拉合體後的奈克洛茲瑪展現出全新樣子的結晶
rec-975-dup-0,20,12,能让和索尔迦雷欧或露奈雅拉合体的奈克洛兹玛变成崭新样子的结晶
rec-975-dup-0,20,6,Kristallisierte Z-Kraft die bei Necrozma nach der Fusionmit Solgaleo oder Lunala bewirkt dass es eine neueForm annimmt.
rec-975-dup-0,20,9,Its a crystal that turns Necrozma fused withSolgaleo or Lunala into a new form.
rec-975-dup-0,20,8,Cristallo che permette a Necrozma di assumere unanuova forma quando è fuso con Lunala o Solgaleo.
rec-1313-dup-0,20,9,Strange earbuds that allow you to freely control thevolume of various sounds.
rec-1313-dup-0,20,8,Tappi per le orecchie misteriosi che permettonoa chi li indossa di regolare a proprio piacimentoil volume di diversi suoni.
rec-1313-dup-0,20,5,Cet objet incroyable permet de contrôler librementle volume sonore de divers éléments.
rec-1313-dup-0,20,11,さまざまな　音の　ボリュームを自由自在に　コントロール　できる不思議で　すごいみみせん
rec-1313-dup-0,20,12,这个神奇又厉害的耳塞可以自由调节各种声音的音量
rec-1313-dup-0,20,1,さまざまな　おとの　ボリュームをじゆうじざいに　コントロール　できるふしぎで　すごいみみせん
rec-1313-dup-0,20,7,Curiosos auriculares que permiten ajustar de formaindependiente el volumen de distintos elementossonoros.
rec-1313-dup-0,20,6,Mit diesen rätselhaften Ohrenstöpseln kann man dieLautstärke verschiedener Geräuschquellen regulieren.
rec-1313-dup-0,20,4,神奇又厲害的耳塞可以自由調節各種聲音的音量
rec-1313-dup-0,20,3,다양한 소리의 볼륨을자유자재로 조절할 수 있는신기하고 대단한 귀마개.
rec-1440-dup-0,20,6,Dieses Item bewirkt dass im Wachturm-Nest in derNaturzone ein VAR 0000 bis zum Ende des Tageserscheint an dem das Item eingesetzt wurde.
rec-1440-dup-0,20,9,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.
rec-1440-dup-0,20,7,Posibilita la aparición de VAR 0000 en el nidoDinamax de la Atalaya del Área Silvestre hasta finalizarel día en que se ha usado.
rec-1440-dup-0,20,4,使用後的當天VAR 0000會出現在曠野地帶的瞭望塔巨巢
rec-1440-dup-0,20,3,사용한 당일에만 와일드에리어에 있는감시탑의 다이맥스굴에서VAR 0000VAR 0003 나타난다.
rec-1440-dup-0,20,1,つかった　ひに　ワイルドエリアのみはりとうのダイすあな　からVAR 0000が　あらわれる
rec-1440-dup-0,20,12,使用后的当天旷野地带的瞭望塔巨巢中会出现VAR 0000
rec-1440-dup-0,20,11,使った　日に　ワイルドエリアの見張り塔のダイ巣穴　からVAR 0000が　現れる
rec-1440-dup-0,20,5,Un objet faisant apparaître un VAR 0000dans lantre géant de la Tour en ruinesdes Terres Sauvages jusquà la fin de la journée.
rec-1440-dup-0,20,8,Strumento che fa apparire VAR 0000 nelladynatana della Torre Diroccata nelle Terre Selvaggefino alla fine del giorno in cui viene usato.
rec-1653-dup-0,20,11,豊穣の王の　愛馬が好んで　食べる　作物雪深い　畑で　育った
rec-1653-dup-0,20,8,Un ortaggio molto apprezzato dal fedele destrierodel Re dellabbondanza. Cresce in campi copertidi neve.
rec-1653-dup-0,20,3,풍요의 왕의 애마가즐겨 먹는 작물.눈 덮인 밭에서 자랐다.
rec-1653-dup-0,20,9,Produce that the King of Bountiful Harvests belovedsteed likes to eat. It grew in a field covered in snow.
rec-1653-dup-0,20,1,ほうじょうのおうの　あいばがこのんで　たべる　さくもつゆきぶかい　はたけで　そだった
rec-1653-dup-0,20,12,丰饶之王的爱马喜欢吃的农作物生长于白雪皑皑的田地
rec-1653-dup-0,20,5,Un légume très apprécié du fidèle destrierdu Seigneur des récoltes. Il a été cultivédans un champ entouré dune neige épaisse.
rec-1653-dup-0,20,6,Eine Karotte die auf einem tief verschneiten Feldheranwuchs. Das treue Ross des Königs der reichenErnte mag sie besonders gern.
rec-1653-dup-0,20,4,豐饒之王的愛馬喜歡吃的農作物生長在積雪深厚的田地
rec-1653-dup-0,20,7,Una zanahoria cultivada en un huerto rebosante denieve. Es la hortaliza preferida del amado corcel delRey de las Cosechas.
rec-1478-dup-0,20,1,つかった　ひに　ワイルドエリアのみはりとうのダイすあな　からVAR 0000が　あらわれる
rec-1478-dup-0,20,5,Un objet faisant apparaître un VAR 0000dans lantre géant de la Tour en ruinesdes Terres Sauvages jusquà la fin de la journée.
rec-1478-dup-0,20,12,使用后的当天旷野地带的瞭望塔巨巢中会出现VAR 0000
rec-1478-dup-0,20,9,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.
rec-1478-dup-0,20,8,Strumento che fa apparire VAR 0000 nelladynatana della Torre Diroccata nelle Terre Selvaggefino alla fine del giorno in cui viene usato.
rec-1478-dup-0,20,6,Dieses Item bewirkt dass im Wachturm-Nest in derNaturzone ein VAR 0000 bis zum Ende des Tageserscheint an dem das Item eingesetzt wurde.
rec-1478-dup-0,20,11,使った　日に　ワイルドエリアの見張り塔のダイ巣穴　からVAR 0000が　現れる
rec-1478-dup-0,20,3,사용한 당일에만 와일드에리어에 있는감시탑의 다이맥스굴에서VAR 0000VAR 0003 나타난다.
rec-1478-dup-0,20,4,使用後的當天VAR 0000會出現在曠野地帶的瞭望塔巨巢
rec-1478-dup-0,20,7,Posibilita la aparición de VAR 0000 en el nidoDinamax de la Atalaya del Área Silvestre hasta finalizarel día en que se ha usado.
