pokemon,stat,base_stat,effort
rec-147-dup-0,5,50,0
rec-565-dup-0,1,74,0
rec-565-dup-0,5,65,0
rec-565-dup-0,3,133,2
rec-565-dup-0,2,108,0
rec-565-dup-0,4,83,0
rec-565-dup-0,6,32,0
rec-17-dup-1,2,60,0
rec-17-dup-1,5,50,0
rec-17-dup-1,1,63,0
rec-17-dup-1,4,50,0
rec-17-dup-1,3,55,0
rec-17-dup-1,6,71,2
rec-602-dup-0,5,40,0
rec-602-dup-0,2,55,0
rec-602-dup-0,1,35,0
rec-602-dup-0,4,45,0
rec-602-dup-0,6,60,1
rec-602-dup-0,3,40,0
rec-344-dup-0,6,75,0
rec-344-dup-0,4,70,0
rec-344-dup-0,1,60,0
rec-344-dup-0,3,105,0
rec-344-dup-0,2,70,0
rec-344-dup-0,5,120,2
rec-453-dup-0,5,40,0
rec-453-dup-0,4,61,0
rec-453-dup-0,2,61,1
rec-453-dup-0,6,50,0
rec-453-dup-0,1,48,0
rec-453-dup-0,3,40,0
rec-498-dup-0,5,45,0
rec-498-dup-0,3,45,0
rec-498-dup-0,1,65,1
rec-498-dup-0,2,63,0
rec-498-dup-0,6,45,0
rec-498-dup-0,4,45,0
rec-10113-dup-0,2,105,1
rec-10113-dup-0,5,100,0
rec-10113-dup-0,1,105,1
rec-10113-dup-0,4,65,0
rec-10113-dup-0,6,50,0
rec-10113-dup-0,3,75,0
rec-227-dup-1,4,40,0
rec-227-dup-1,2,80,0
rec-227-dup-1,1,65,0
rec-227-dup-1,6,70,0
rec-227-dup-1,5,70,0
rec-227-dup-1,3,140,2
rec-235-dup-1,4,20,0
rec-235-dup-1,2,20,0
rec-235-dup-1,1,55,0
rec-235-dup-1,6,75,1
rec-235-dup-1,3,35,0
rec-235-dup-1,5,45,0
rec-340-dup-0,4,76,0
rec-340-dup-0,6,60,0
rec-340-dup-0,3,73,0
rec-340-dup-0,1,110,2
rec-340-dup-0,2,78,0
rec-340-dup-0,5,71,0
rec-589-dup-1,4,60,0
rec-589-dup-1,6,20,0
rec-589-dup-1,2,135,2
rec-589-dup-1,1,70,0
rec-589-dup-1,5,105,0
rec-589-dup-1,3,105,0
rec-332-dup-1,5,60,0
rec-332-dup-1,6,55,0
rec-332-dup-1,4,115,1
rec-332-dup-1,2,115,1
rec-332-dup-1,1,70,0
rec-332-dup-1,3,60,0
rec-584-dup-0,6,79,0
rec-584-dup-0,5,95,0
rec-584-dup-0,1,71,0
rec-584-dup-0,4,110,3
rec-584-dup-0,2,95,0
rec-584-dup-0,3,85,0
rec-770-dup-0,2,75,0
rec-770-dup-0,5,75,0
rec-770-dup-0,3,110,2
rec-770-dup-0,4,100,0
rec-770-dup-0,6,35,0
rec-770-dup-0,1,85,0
rec-773-dup-0,4,95,0
rec-773-dup-0,5,95,0
rec-773-dup-0,6,95,0
rec-773-dup-0,1,95,3
rec-773-dup-0,3,95,0
rec-773-dup-0,2,95,0
rec-542-dup-0,2,103,3
rec-542-dup-0,3,80,0
rec-542-dup-0,1,75,0
rec-542-dup-0,4,70,0
rec-542-dup-0,6,92,0
rec-542-dup-0,5,80,0
rec-444-dup-0,3,65,0
rec-444-dup-0,4,50,0
rec-444-dup-0,2,90,2
rec-444-dup-0,1,68,0
rec-444-dup-0,6,82,0
rec-444-dup-0,5,55,0
rec-17-dup-0,2,60,0
rec-17-dup-0,5,50,0
rec-17-dup-0,1,63,0
rec-17-dup-0,4,50,0
rec-17-dup-0,3,55,0
rec-17-dup-0,6,71,2
rec-678-dup-1,5,81,0
rec-678-dup-1,2,48,0
rec-678-dup-1,3,76,0
rec-678-dup-1,4,83,0
rec-678-dup-1,6,104,2
rec-678-dup-1,1,74,0
rec-343-dup-1,6,55,0
rec-343-dup-1,2,40,0
rec-343-dup-1,5,70,1
rec-343-dup-1,1,40,0
rec-343-dup-1,4,40,0
rec-343-dup-1,3,55,0
rec-292-dup-0,4,30,0
rec-292-dup-0,6,40,0
rec-292-dup-0,2,90,0
rec-292-dup-0,1,1,2
rec-292-dup-0,3,45,0
rec-292-dup-0,5,30,0
rec-429-dup-0,4,105,1
rec-429-dup-0,6,105,0
rec-429-dup-0,2,60,0
rec-429-dup-0,1,60,0
rec-429-dup-0,5,105,1
rec-429-dup-0,3,60,0
rec-75-dup-0,5,45,0
rec-75-dup-0,1,55,0
rec-75-dup-0,4,45,0
rec-75-dup-0,2,95,0
rec-75-dup-0,6,35,0
rec-75-dup-0,3,115,2
rec-238-dup-1,5,65,0
rec-238-dup-1,4,85,1
rec-238-dup-1,3,15,0
rec-238-dup-1,2,30,0
rec-238-dup-1,1,45,0
rec-238-dup-1,6,65,0
rec-753-dup-1,3,35,0
rec-753-dup-1,5,35,0
rec-753-dup-1,1,40,0
rec-753-dup-1,2,55,1
rec-753-dup-1,6,35,0
rec-753-dup-1,4,50,0
rec-10025-dup-0,1,74,0
rec-10025-dup-0,2,48,0
rec-10025-dup-0,3,76,0
rec-10025-dup-0,5,81,0
rec-10025-dup-0,6,104,2
rec-10025-dup-0,4,83,0
rec-321-dup-1,3,45,0
rec-321-dup-1,1,170,2
rec-321-dup-1,4,90,0
rec-321-dup-1,5,45,0
rec-321-dup-1,6,60,0
rec-321-dup-1,2,90,0
rec-70-dup-0,6,55,0
rec-70-dup-0,4,85,0
rec-70-dup-0,5,45,0
rec-70-dup-0,1,65,0
rec-70-dup-0,3,50,0
rec-70-dup-0,2,90,2
rec-534-dup-0,3,95,0
rec-534-dup-0,5,65,0
rec-534-dup-0,6,45,0
rec-534-dup-0,1,105,0
rec-534-dup-0,2,140,3
rec-534-dup-0,4,55,0
rec-10030-dup-1,3,122,2
rec-10030-dup-1,5,75,0
rec-10030-dup-1,2,85,0
rec-10030-dup-1,1,55,0
rec-10030-dup-1,6,99,0
rec-10030-dup-1,4,58,0
rec-50-dup-1,2,55,0
rec-50-dup-1,4,35,0
rec-50-dup-1,1,10,0
rec-50-dup-1,3,25,0
rec-50-dup-1,5,45,0
rec-50-dup-1,6,95,1
rec-238-dup-0,5,65,0
rec-238-dup-0,4,85,1
rec-238-dup-0,3,15,0
rec-238-dup-0,2,30,0
rec-238-dup-0,1,45,0
rec-238-dup-0,6,65,0
rec-10032-dup-0,5,75,0
rec-10032-dup-0,3,122,2
rec-10032-dup-0,1,85,0
rec-10032-dup-0,4,58,0
rec-10032-dup-0,2,100,0
rec-10032-dup-0,6,54,0
rec-450-dup-1,2,112,0
rec-450-dup-1,3,118,2
rec-450-dup-1,6,47,0
rec-450-dup-1,1,108,0
rec-450-dup-1,5,72,0
rec-450-dup-1,4,68,0
rec-316-dup-0,1,70,1
rec-316-dup-0,6,40,0
rec-316-dup-0,4,43,0
rec-316-dup-0,5,53,0
rec-316-dup-0,2,43,0
rec-316-dup-0,3,53,0
rec-55-dup-0,1,80,0
rec-55-dup-0,4,95,2
rec-55-dup-0,2,82,0
rec-55-dup-0,6,85,0
rec-55-dup-0,3,78,0
rec-55-dup-0,5,80,0
rec-10133-dup-1,1,60,0
rec-10133-dup-1,2,60,0
rec-10133-dup-1,5,100,1
rec-10133-dup-1,4,60,0
rec-10133-dup-1,6,60,0
rec-10133-dup-1,3,100,1
rec-18-dup-0,2,80,0
rec-18-dup-0,1,83,0
rec-18-dup-0,3,75,0
rec-18-dup-0,6,101,3
rec-18-dup-0,4,70,0
rec-18-dup-0,5,70,0
rec-97-dup-0,2,73,0
rec-97-dup-0,3,70,0
rec-97-dup-0,6,67,0
rec-97-dup-0,1,85,0
rec-97-dup-0,5,115,2
rec-97-dup-0,4,73,0
rec-552-dup-0,5,45,0
rec-552-dup-0,1,60,0
rec-552-dup-0,4,45,0
rec-552-dup-0,6,74,0
rec-552-dup-0,2,82,2
rec-552-dup-0,3,45,0
rec-10161-dup-0,6,40,0
rec-10161-dup-0,4,40,0
rec-10161-dup-0,1,50,0
rec-10161-dup-0,2,65,1
rec-10161-dup-0,5,40,0
rec-10161-dup-0,3,55,0
rec-414-dup-1,4,94,1
rec-414-dup-1,6,66,0
rec-414-dup-1,5,50,0
rec-414-dup-1,1,70,0
rec-414-dup-1,2,94,1
rec-414-dup-1,3,50,0
rec-830-dup-0,1,60,0
rec-830-dup-0,5,120,2
rec-830-dup-0,3,90,0
rec-830-dup-0,4,80,0
rec-830-dup-0,2,50,0
rec-830-dup-0,6,60,0
rec-188-dup-0,5,65,0
rec-188-dup-0,2,45,0
rec-188-dup-0,6,80,2
rec-188-dup-0,1,55,0
rec-188-dup-0,4,45,0
rec-188-dup-0,3,50,0
rec-215-dup-0,3,55,0
rec-215-dup-0,1,55,0
rec-215-dup-0,6,115,1
rec-215-dup-0,4,35,0
rec-215-dup-0,5,75,0
rec-215-dup-0,2,95,0
rec-530-dup-0,3,60,0
rec-530-dup-0,2,135,2
rec-530-dup-0,4,50,0
rec-530-dup-0,1,110,0
rec-530-dup-0,5,65,0
rec-530-dup-0,6,88,0
rec-787-dup-1,1,70,0
rec-787-dup-1,3,115,0
rec-787-dup-1,4,85,0
rec-787-dup-1,5,95,0
rec-787-dup-1,2,130,3
rec-787-dup-1,6,75,0
rec-10190-dup-0,1,255,3
rec-10190-dup-0,6,130,0
rec-10190-dup-0,3,250,0
rec-10190-dup-0,2,115,0
rec-10190-dup-0,4,125,0
rec-10190-dup-0,5,250,0
rec-749-dup-0,2,100,1
rec-749-dup-0,5,55,0
rec-749-dup-0,1,70,0
rec-749-dup-0,4,45,0
rec-749-dup-0,6,45,0
rec-749-dup-0,3,70,0
rec-96-dup-0,1,60,0
rec-96-dup-0,6,42,0
rec-96-dup-0,3,45,0
rec-96-dup-0,5,90,1
rec-96-dup-0,4,43,0
rec-96-dup-0,2,48,0
rec-326-dup-0,6,80,0
rec-326-dup-0,2,45,0
rec-326-dup-0,3,65,0
rec-326-dup-0,5,110,2
rec-326-dup-0,1,80,0
rec-326-dup-0,4,90,0
rec-760-dup-0,5,60,0
rec-760-dup-0,3,80,0
rec-760-dup-0,2,125,2
rec-760-dup-0,1,120,0
rec-760-dup-0,6,60,0
rec-760-dup-0,4,55,0
rec-122-dup-1,1,40,0
rec-122-dup-1,5,120,2
rec-122-dup-1,2,45,0
rec-122-dup-1,4,100,0
rec-122-dup-1,3,65,0
rec-122-dup-1,6,90,0
rec-208-dup-0,6,30,0
rec-208-dup-0,2,85,0
rec-208-dup-0,3,200,2
rec-208-dup-0,1,75,0
rec-208-dup-0,5,65,0
rec-208-dup-0,4,55,0
rec-10025-dup-1,1,74,0
rec-10025-dup-1,2,48,0
rec-10025-dup-1,3,76,0
rec-10025-dup-1,5,81,0
rec-10025-dup-1,6,104,2
rec-10025-dup-1,4,83,0
rec-142-dup-0,5,75,0
rec-142-dup-0,2,105,0
rec-142-dup-0,4,60,0
rec-142-dup-0,3,65,0
rec-142-dup-0,6,130,2
rec-142-dup-0,1,80,0
rec-10142-dup-0,3,60,0
rec-10142-dup-0,2,100,1
rec-10142-dup-0,6,120,0
rec-10142-dup-0,4,100,1
rec-10142-dup-0,1,60,0
rec-10142-dup-0,5,60,0
rec-201-dup-1,6,48,0
rec-201-dup-1,2,72,1
rec-201-dup-1,5,48,0
rec-201-dup-1,3,48,0
rec-201-dup-1,1,48,0
rec-201-dup-1,4,72,1
rec-630-dup-0,6,80,0
rec-630-dup-0,2,65,0
rec-630-dup-0,1,110,0
rec-630-dup-0,5,95,0
rec-630-dup-0,3,105,0
rec-630-dup-0,4,55,2
rec-563-dup-1,2,50,0
rec-563-dup-1,1,58,0
rec-563-dup-1,5,105,0
rec-563-dup-1,3,145,2
rec-563-dup-1,4,95,0
rec-563-dup-1,6,30,0
rec-372-dup-0,3,100,2
rec-372-dup-0,5,50,0
rec-372-dup-0,4,60,0
rec-372-dup-0,2,95,0
rec-372-dup-0,1,65,0
rec-372-dup-0,6,50,0
rec-596-dup-1,6,108,2
rec-596-dup-1,3,60,0
rec-596-dup-1,1,70,0
rec-596-dup-1,2,77,0
rec-596-dup-1,4,97,0
rec-596-dup-1,5,60,0
rec-20-dup-1,5,70,0
rec-20-dup-1,6,97,2
rec-20-dup-1,4,50,0
rec-20-dup-1,2,81,0
rec-20-dup-1,1,55,0
rec-20-dup-1,3,60,0
rec-204-dup-0,1,50,0
rec-204-dup-0,3,90,1
rec-204-dup-0,5,35,0
rec-204-dup-0,4,35,0
rec-204-dup-0,6,15,0
rec-204-dup-0,2,65,0
rec-279-dup-0,2,50,0
rec-279-dup-0,4,95,0
rec-279-dup-0,5,70,0
rec-279-dup-0,1,60,0
rec-279-dup-0,3,100,2
rec-279-dup-0,6,65,0
rec-584-dup-1,6,79,0
rec-584-dup-1,5,95,0
rec-584-dup-1,1,71,0
rec-584-dup-1,4,110,3
rec-584-dup-1,2,95,0
rec-584-dup-1,3,85,0
rec-447-dup-0,2,70,1
rec-447-dup-0,4,35,0
rec-447-dup-0,5,40,0
rec-447-dup-0,6,60,0
rec-447-dup-0,1,40,0
rec-447-dup-0,3,40,0
rec-659-dup-0,2,36,0
rec-659-dup-0,1,38,0
rec-659-dup-0,5,36,0
rec-659-dup-0,3,38,0
rec-659-dup-0,6,57,1
rec-659-dup-0,4,32,0
rec-279-dup-1,2,50,0
rec-279-dup-1,4,95,0
rec-279-dup-1,5,70,0
rec-279-dup-1,1,60,0
rec-279-dup-1,3,100,2
rec-279-dup-1,6,65,0
rec-80-dup-0,4,100,0
rec-80-dup-0,6,30,0
rec-80-dup-0,5,80,0
rec-80-dup-0,2,75,0
rec-80-dup-0,1,95,0
rec-80-dup-0,3,110,2
rec-10167-dup-0,2,90,0
rec-10167-dup-0,5,70,0
rec-10167-dup-0,1,65,0
rec-10167-dup-0,6,60,0
rec-10167-dup-0,3,120,2
rec-10167-dup-0,4,85,0
rec-358-dup-1,6,65,0
rec-358-dup-1,5,90,1
rec-358-dup-1,2,50,0
rec-358-dup-1,3,80,0
rec-358-dup-1,4,95,1
rec-358-dup-1,1,75,0
rec-508-dup-0,5,90,0
rec-508-dup-0,3,90,0
rec-508-dup-0,6,80,0
rec-508-dup-0,1,85,0
rec-508-dup-0,2,110,3
rec-508-dup-0,4,45,0
rec-740-dup-1,1,97,0
rec-740-dup-1,2,132,2
rec-740-dup-1,3,77,0
rec-740-dup-1,6,43,0
rec-740-dup-1,5,67,0
rec-740-dup-1,4,62,0
rec-601-dup-0,4,70,0
rec-601-dup-0,3,115,3
rec-601-dup-0,5,85,0
rec-601-dup-0,6,90,0
rec-601-dup-0,1,60,0
rec-601-dup-0,2,100,0
rec-369-dup-0,4,45,0
rec-369-dup-0,3,130,1
rec-369-dup-0,1,100,1
rec-369-dup-0,2,90,0
rec-369-dup-0,5,65,0
rec-369-dup-0,6,55,0
rec-67-dup-1,4,50,0
rec-67-dup-1,3,70,0
rec-67-dup-1,6,45,0
rec-67-dup-1,1,80,0
rec-67-dup-1,5,60,0
rec-67-dup-1,2,100,2
rec-10007-dup-0,4,120,0
rec-10007-dup-0,1,150,3
rec-10007-dup-0,5,100,0
rec-10007-dup-0,6,90,0
rec-10007-dup-0,3,100,0
rec-10007-dup-0,2,120,0
rec-103-dup-1,6,55,0
rec-103-dup-1,5,75,0
rec-103-dup-1,3,85,0
rec-103-dup-1,2,95,0
rec-103-dup-1,4,125,2
rec-103-dup-1,1,95,0
rec-54-dup-1,5,50,0
rec-54-dup-1,4,65,1
rec-54-dup-1,2,52,0
rec-54-dup-1,3,48,0
rec-54-dup-1,6,55,0
rec-54-dup-1,1,50,0
rec-192-dup-0,1,75,0
rec-192-dup-0,4,105,2
rec-192-dup-0,3,55,0
rec-192-dup-0,5,85,0
rec-192-dup-0,6,30,0
rec-192-dup-0,2,75,0
rec-312-dup-0,3,50,0
rec-312-dup-0,6,95,1
rec-312-dup-0,1,60,0
rec-312-dup-0,4,75,0
rec-312-dup-0,2,40,0
rec-312-dup-0,5,85,0
rec-93-dup-0,1,45,0
rec-93-dup-0,4,115,2
rec-93-dup-0,6,95,0
rec-93-dup-0,2,50,0
rec-93-dup-0,5,55,0
rec-93-dup-0,3,45,0
rec-641-dup-0,1,79,0
rec-641-dup-0,4,125,0
rec-641-dup-0,5,80,0
rec-641-dup-0,6,111,0
rec-641-dup-0,2,115,3
rec-641-dup-0,3,70,0
rec-673-dup-0,2,100,0
rec-673-dup-0,4,97,0
rec-673-dup-0,6,68,0
rec-673-dup-0,3,62,0
rec-673-dup-0,1,123,2
rec-673-dup-0,5,81,0
rec-660-dup-1,5,77,0
rec-660-dup-1,4,50,0
rec-660-dup-1,6,78,0
rec-660-dup-1,1,85,2
rec-660-dup-1,3,77,0
rec-660-dup-1,2,56,0
rec-21-dup-0,3,30,0
rec-21-dup-0,1,40,0
rec-21-dup-0,6,70,1
rec-21-dup-0,5,31,0
rec-21-dup-0,2,60,0
rec-21-dup-0,4,31,0
rec-441-dup-0,3,45,0
rec-441-dup-0,2,65,1
rec-441-dup-0,1,76,0
rec-441-dup-0,6,91,0
rec-441-dup-0,5,42,0
rec-441-dup-0,4,92,0
rec-226-dup-0,1,85,0
rec-226-dup-0,5,140,2
rec-226-dup-0,2,40,0
rec-226-dup-0,3,70,0
rec-226-dup-0,4,80,0
rec-226-dup-0,6,70,0
rec-601-dup-1,4,70,0
rec-601-dup-1,3,115,3
rec-601-dup-1,5,85,0
rec-601-dup-1,6,90,0
rec-601-dup-1,1,60,0
rec-601-dup-1,2,100,0
rec-10030-dup-0,3,122,2
rec-10030-dup-0,5,75,0
rec-10030-dup-0,2,85,0
rec-10030-dup-0,1,55,0
rec-10030-dup-0,6,99,0
rec-10030-dup-0,4,58,0
rec-144-dup-0,4,95,0
rec-144-dup-0,1,90,0
rec-144-dup-0,2,85,0
rec-144-dup-0,6,85,0
rec-144-dup-0,3,100,0
rec-144-dup-0,5,125,3
rec-392-dup-0,1,76,0
rec-392-dup-0,5,71,0
rec-392-dup-0,3,71,0
rec-392-dup-0,6,108,1
rec-392-dup-0,2,104,1
rec-392-dup-0,4,104,1
rec-10009-dup-0,1,50,0
rec-10009-dup-0,5,107,0
rec-10009-dup-0,6,86,1
rec-10009-dup-0,3,107,0
rec-10009-dup-0,4,105,1
rec-10009-dup-0,2,65,0
rec-531-dup-0,4,60,0
rec-531-dup-0,5,86,0
rec-531-dup-0,3,86,0
rec-531-dup-0,2,60,0
rec-531-dup-0,6,50,0
rec-531-dup-0,1,103,2
rec-705-dup-0,4,83,0
rec-705-dup-0,1,68,0
rec-705-dup-0,2,75,0
rec-705-dup-0,5,113,2
rec-705-dup-0,3,53,0
rec-705-dup-0,6,60,0
rec-811-dup-0,2,85,2
rec-811-dup-0,6,80,0
rec-811-dup-0,4,55,0
rec-811-dup-0,1,70,0
rec-811-dup-0,3,70,0
rec-811-dup-0,5,60,0
rec-10-dup-0,6,45,0
rec-10-dup-0,4,20,0
rec-10-dup-0,2,30,0
rec-10-dup-0,5,20,0
rec-10-dup-0,1,45,1
rec-10-dup-0,3,35,0
rec-10077-dup-0,2,150,0
rec-10077-dup-0,1,100,0
rec-10077-dup-0,6,90,0
rec-10077-dup-0,5,160,0
rec-10077-dup-0,4,180,3
rec-10077-dup-0,3,90,0
rec-725-dup-1,6,70,1
rec-725-dup-1,1,45,0
rec-725-dup-1,2,65,0
rec-725-dup-1,3,40,0
rec-725-dup-1,5,40,0
rec-725-dup-1,4,60,0
rec-324-dup-0,4,85,0
rec-324-dup-0,3,140,2
rec-324-dup-0,2,85,0
rec-324-dup-0,5,70,0
rec-324-dup-0,1,70,0
rec-324-dup-0,6,20,0
rec-811-dup-1,2,85,2
rec-811-dup-1,6,80,0
rec-811-dup-1,4,55,0
rec-811-dup-1,1,70,0
rec-811-dup-1,3,70,0
rec-811-dup-1,5,60,0
rec-568-dup-1,2,50,0
rec-568-dup-1,3,62,0
rec-568-dup-1,6,65,1
rec-568-dup-1,4,40,0
rec-568-dup-1,1,50,0
rec-568-dup-1,5,62,0
rec-10164-dup-1,2,65,0
rec-10164-dup-1,5,40,0
rec-10164-dup-1,6,15,0
rec-10164-dup-1,1,90,1
rec-10164-dup-1,3,65,0
