pokemon,version_group,move,pokemon_move_method,level,order
rec-53-dup-0,20,rec-103-dup-0,1,36,
rec-674-dup-0,20,id-9,4,0,
rec-34-dup-0,20,rec-421-dup-0,4,0,
id-526,20,rec-408-dup-0,4,0,
id-815,20,rec-526-dup-1,4,0,
rec-215-dup-1,20,id-364,2,0,
rec-483-dup-0,20,id-433,4,0,
rec-528-dup-0,20,rec-213-dup-0,4,0,
rec-749-dup-0,20,id-707,4,0,
id-468,20,rec-19-dup-1,4,0,
rec-707-dup-0,20,id-577,1,24,
rec-131-dup-1,20,rec-63-dup-0,4,0,
rec-427-dup-1,20,rec-313-dup-1,4,0,
rec-478-dup-1,20,id-577,1,20,
rec-780-dup-0,20,rec-219-dup-1,4,0,
id-876,20,rec-495-dup-1,1,25,
rec-717-dup-0,20,rec-164-dup-0,4,0,
rec-640-dup-1,20,rec-428-dup-0,4,0,
rec-295-dup-0,20,rec-103-dup-0,1,54,
id-617,20,rec-71-dup-0,1,1,8.0
rec-416-dup-0,20,rec-179-dup-0,4,0,
rec-862-dup-0,20,id-555,1,9,
rec-114-dup-0,20,id-402,4,0,
rec-634-dup-0,20,rec-428-dup-0,4,0,
id-454,20,rec-157-dup-1,4,0,
id-873,20,rec-270-dup-0,1,1,4.0
rec-126-dup-0,20,id-43,1,1,2.0
rec-10147-dup-0,20,id-280,4,0,
rec-583-dup-0,20,id-106,1,1,2.0
rec-660-dup-1,20,id-24,1,18,
rec-434-dup-0,20,id-562,1,39,
rec-709-dup-0,20,rec-203-dup-0,4,0,
id-715,20,rec-200-dup-0,4,0,
id-257,20,rec-369-dup-1,4,0,
id-303,20,rec-313-dup-0,4,0,
rec-83-dup-0,20,rec-241-dup-0,4,0,
rec-704-dup-0,20,rec-174-dup-0,1,41,
rec-163-dup-0,20,id-18,2,0,
id-60,20,rec-213-dup-0,4,0,
rec-6-dup-1,20,rec-251-dup-0,4,0,
rec-877-dup-0,20,id-263,4,0,
rec-444-dup-0,20,rec-442-dup-0,4,0,
rec-244-dup-0,20,rec-53-dup-1,4,0,
rec-321-dup-0,20,id-323,1,54,
id-72,20,rec-321-dup-0,2,0,
id-124,20,rec-122-dup-0,1,1,2.0
id-280,20,rec-374-dup-0,4,0,
id-140,20,rec-203-dup-0,4,0,
rec-139-dup-1,20,rec-213-dup-0,4,0,
rec-6-dup-1,20,id-815,3,0,
rec-416-dup-0,20,rec-163-dup-1,1,1,1.0
rec-10023-dup-0,20,rec-444-dup-0,4,0,
id-28,20,rec-219-dup-0,4,0,
rec-634-dup-0,20,id-156,4,0,
id-77,20,rec-76-dup-1,4,0,
rec-10103-dup-0,20,id-420,1,8,
rec-783-dup-0,20,id-523,4,0,
rec-10190-dup-0,20,rec-474-dup-0,1,16,
rec-524-dup-0,20,id-484,4,0,
rec-630-dup-0,20,id-260,1,1,6.0
rec-10032-dup-1,20,id-567,1,36,1.0
rec-579-dup-0,20,rec-359-dup-0,1,1,1.0
rec-126-dup-0,20,id-315,4,0,
rec-553-dup-0,20,id-67,4,0,
id-385,20,rec-409-dup-0,4,0,
rec-533-dup-0,20,rec-444-dup-0,1,48,
rec-381-dup-0,20,rec-200-dup-1,4,0,
id-578,20,rec-113-dup-1,1,24,1.0
id-224,20,rec-331-dup-0,1,30,
rec-544-dup-0,20,rec-474-dup-0,4,0,
rec-591-dup-0,20,rec-76-dup-1,4,0,
rec-630-dup-0,20,rec-19-dup-0,4,0,
id-727,20,rec-675-dup-0,1,1,3.0
rec-584-dup-0,20,id-58,1,44,
id-291,20,rec-28-dup-0,1,1,9.0
rec-253-dup-0,20,rec-447-dup-0,4,0,
id-858,20,rec-791-dup-1,1,1,5.0
rec-10031-dup-1,20,rec-693-dup-0,4,0,
id-856,20,rec-113-dup-0,4,0,
rec-787-dup-0,20,id-173,4,0,
rec-462-dup-0,20,rec-209-dup-0,1,20,
rec-243-dup-0,20,id-242,1,42,
rec-10164-dup-1,20,id-94,1,36,
rec-348-dup-0,20,id-67,4,0,
id-445,20,rec-200-dup-1,4,0,
rec-862-dup-0,20,rec-129-dup-0,4,0,
id-612,20,rec-374-dup-0,4,0,
rec-660-dup-1,20,id-14,4,0,
id-10026,20,rec-241-dup-0,4,0,
rec-372-dup-0,20,rec-164-dup-0,4,0,
id-645,20,rec-359-dup-1,1,55,
rec-139-dup-1,20,id-242,1,0,
rec-10107-dup-1,20,rec-253-dup-0,4,0,
rec-622-dup-0,20,rec-310-dup-0,1,1,2.0
rec-625-dup-0,20,rec-673-dup-0,1,50,
rec-610-dup-0,20,id-116,4,0,
rec-823-dup-0,20,id-417,4,0,
rec-494-dup-0,20,id-261,4,0,
id-59,20,rec-219-dup-1,4,0,
rec-363-dup-0,20,rec-62-dup-0,1,28,
rec-328-dup-0,20,rec-89-dup-1,1,40,
id-138,20,rec-34-dup-0,4,0,
rec-373-dup-0,20,id-406,4,0,
rec-10166-dup-0,20,rec-38-dup-0,2,0,
rec-619-dup-0,20,rec-241-dup-0,4,0,
rec-753-dup-1,20,id-348,1,40,
rec-206-dup-0,20,id-355,1,40,
id-10016,20,rec-279-dup-0,4,0,
id-573,20,rec-241-dup-0,4,0,
rec-150-dup-1,20,id-285,4,0,
id-136,20,rec-28-dup-0,1,5,
rec-211-dup-0,20,id-565,1,12,
id-138,20,rec-321-dup-0,2,0,
rec-684-dup-0,20,id-204,4,0,
rec-561-dup-1,20,id-94,4,0,
id-892,20,rec-369-dup-0,4,0,
id-616,20,rec-385-dup-0,1,32,
rec-164-dup-1,20,id-417,4,0,
rec-344-dup-0,20,id-334,4,0,
id-592,20,rec-503-dup-0,4,0,
id-576,20,rec-157-dup-1,4,0,
rec-659-dup-0,20,rec-57-dup-0,4,0,
id-675,20,rec-514-dup-0,4,0,
rec-104-dup-0,20,rec-34-dup-0,4,0,
rec-225-dup-0,20,rec-211-dup-1,4,0,
rec-482-dup-0,20,id-416,4,0,
rec-139-dup-1,20,id-156,4,0,
id-303,20,rec-706-dup-1,4,0,
id-280,20,rec-213-dup-0,4,0,
rec-896-dup-0,20,rec-59-dup-0,4,0,
rec-426-dup-0,20,id-85,4,0,
rec-811-dup-0,20,id-372,4,0,
id-636,20,rec-369-dup-0,4,0,
rec-10032-dup-1,20,id-806,3,0,
rec-444-dup-0,20,rec-530-dup-0,1,1,1.0
rec-227-dup-1,20,rec-211-dup-0,4,0,
id-797,20,rec-157-dup-1,4,0,
rec-787-dup-0,20,rec-428-dup-0,4,0,
id-274,20,rec-157-dup-1,4,0,
id-110,20,rec-810-dup-0,3,0,
rec-897-dup-0,20,id-156,4,0,
rec-890-dup-0,20,rec-19-dup-0,4,0,
rec-649-dup-1,20,id-412,4,0,
rec-54-dup-1,20,id-173,4,0,
rec-150-dup-1,20,rec-164-dup-0,4,0,
rec-426-dup-0,20,id-247,1,20,
rec-373-dup-0,20,id-225,1,1,7.0
rec-791-dup-0,20,id-248,4,0,
rec-233-dup-1,20,rec-76-dup-0,4,0,
rec-552-dup-0,20,rec-374-dup-0,4,0,
rec-705-dup-0,20,rec-241-dup-0,4,0,
rec-625-dup-0,20,rec-213-dup-0,4,0,
id-77,20,rec-39-dup-0,1,5,
rec-743-dup-1,20,rec-113-dup-0,4,0,
id-778,20,rec-163-dup-1,1,36,
rec-717-dup-0,20,rec-366-dup-1,1,25,
rec-251-dup-0,20,id-412,4,0,
rec-381-dup-1,20,rec-366-dup-0,1,20,
rec-343-dup-0,20,rec-328-dup-1,4,0,
rec-854-dup-0,20,id-247,1,48,
id-694,20,rec-490-dup-0,4,0,
rec-10143-dup-0,20,rec-164-dup-0,4,0,
rec-10118-dup-0,20,rec-304-dup-1,4,0,
id-128,20,rec-514-dup-0,4,0,
rec-294-dup-0,20,id-48,1,36,
id-442,20,rec-514-dup-0,4,0,
id-727,20,rec-6-dup-0,4,0,
rec-730-dup-0,20,id-227,4,0,
rec-32-dup-0,20,rec-36-dup-0,2,0,
rec-54-dup-1,20,rec-39-dup-0,1,1,2.0
rec-10170-dup-1,20,rec-811-dup-0,3,0,
rec-886-dup-1,20,rec-53-dup-0,4,0,
id-681,20,rec-63-dup-0,4,0,
rec-536-dup-0,20,id-330,1,48,
id-744,20,rec-28-dup-0,1,4,
rec-10143-dup-0,20,rec-421-dup-0,4,0,
rec-404-dup-0,20,rec-113-dup-0,4,0,
rec-556-dup-0,20,rec-304-dup-1,4,0,
rec-753-dup-1,20,rec-164-dup-0,4,0,
id-851,20,rec-474-dup-0,4,0,
id-272,20,rec-282-dup-0,1,1,3.0
rec-862-dup-0,20,rec-526-dup-0,4,0,
rec-596-dup-0,20,rec-103-dup-0,4,0,
id-882,20,rec-63-dup-0,4,0,
rec-244-dup-0,20,id-91,4,0,
id-10024,20,rec-63-dup-0,4,0,
rec-521-dup-0,20,rec-257-dup-1,4,0,
rec-273-dup-0,20,rec-203-dup-0,4,0,
rec-426-dup-0,20,id-254,1,24,1.0
rec-10161-dup-1,20,rec-442-dup-1,4,0,
rec-677-dup-0,20,rec-321-dup-1,2,0,
id-810,20,rec-74-dup-1,2,0,
rec-883-dup-0,20,id-173,4,0,
rec-568-dup-0,20,rec-203-dup-0,4,0,
rec-447-dup-0,20,rec-157-dup-0,4,0,
id-421,20,rec-241-dup-0,1,1,1.0
rec-660-dup-1,20,id-280,4,0,
id-572,20,rec-526-dup-0,4,0,
id-264,20,rec-447-dup-0,4,0,
rec-350-dup-0,20,rec-129-dup-0,4,0,
rec-828-dup-0,20,rec-63-dup-0,4,0,
id-872,20,rec-405-dup-0,4,0,
rec-10161-dup-0,20,id-168,4,0,
rec-6-dup-1,20,rec-157-dup-0,4,0,
id-881,20,rec-573-dup-0,1,42,
id-10028,20,rec-213-dup-0,4,0,
rec-10023-dup-0,20,rec-304-dup-0,1,40,
rec-717-dup-0,20,id-94,1,45,
rec-552-dup-0,20,rec-5-dup-0,4,0,
rec-634-dup-1,20,rec-526-dup-0,1,24,
rec-484-dup-0,20,rec-408-dup-1,1,56,
rec-10143-dup-0,20,rec-219-dup-0,4,0,
rec-211-dup-0,20,id-196,4,0,
rec-347-dup-1,20,rec-241-dup-0,4,0,
id-248,20,rec-514-dup-0,4,0,
rec-568-dup-0,20,id-220,1,37,
id-555,20,rec-595-dup-0,4,0,
id-822,20,rec-369-dup-1,4,0,
rec-143-dup-0,20,id-118,1,1,7.0
id-663,20,rec-211-dup-1,4,0,
rec-552-dup-0,20,rec-253-dup-0,4,0,
rec-864-dup-0,20,rec-807-dup-1,3,0,
rec-575-dup-1,20,rec-502-dup-0,4,0,
rec-369-dup-0,20,rec-89-dup-0,4,0,
rec-10020-dup-0,20,id-156,4,0,
id-125,20,rec-213-dup-0,4,0,
rec-659-dup-0,20,id-205,2,0,
rec-660-dup-1,20,id-182,4,0,
rec-321-dup-0,20,rec-57-dup-0,4,0,
rec-886-dup-0,20,rec-310-dup-0,1,1,2.0
rec-143-dup-0,20,rec-667-dup-0,1,40,
rec-10189-dup-0,20,rec-279-dup-0,4,0,
rec-250-dup-0,20,rec-304-dup-0,4,0,
rec-225-dup-0,20,id-194,2,0,
rec-347-dup-1,20,id-229,2,0,
id-737,20,rec-11-dup-0,1,1,2.0
rec-697-dup-0,20,rec-157-dup-0,4,0,
rec-552-dup-0,20,id-555,4,0,
rec-880-dup-0,20,id-182,4,0,
rec-103-dup-1,20,id-797,3,0,
id-151,20,rec-421-dup-0,4,0,
id-10016,20,rec-213-dup-0,4,0,
id-881,20,rec-5-dup-0,4,0,
rec-596-dup-1,20,rec-86-dup-0,1,16,
rec-787-dup-0,20,id-212,1,50,
rec-427-dup-0,20,id-322,4,0,
id-106,20,rec-253-dup-0,4,0,
rec-131-dup-1,20,id-182,4,0,
rec-479-dup-1,20,id-182,4,0,
id-115,20,rec-514-dup-0,4,0,
rec-487-dup-1,20,id-432,1,1,2.0
rec-783-dup-0,20,rec-203-dup-0,4,0,
id-10027,20,rec-310-dup-0,1,1,2.0
id-646,20,rec-157-dup-0,4,0,
rec-51-dup-0,20,rec-502-dup-0,4,0,
rec-438-dup-0,20,id-263,4,0,
rec-820-dup-0,20,rec-331-dup-1,4,0,
rec-114-dup-1,20,rec-447-dup-0,4,0,
rec-437-dup-1,20,rec-472-dup-0,4,0,
id-345,20,rec-800-dup-0,3,0,
id-839,20,rec-257-dup-0,4,0,
id-867,20,rec-203-dup-0,4,0,
rec-10007-dup-1,20,id-196,4,0,
id-762,20,rec-203-dup-0,4,0,
rec-139-dup-0,20,id-250,4,0,
rec-404-dup-0,20,id-43,1,1,2.0
id-687,20,rec-63-dup-0,4,0,
rec-437-dup-0,20,rec-219-dup-1,1,24,
rec-435-dup-0,20,id-398,4,0,
id-898,20,rec-76-dup-1,4,0,
rec-596-dup-0,20,id-97,4,0,
rec-749-dup-0,20,rec-89-dup-1,4,0,
id-224,20,rec-331-dup-1,1,30,
rec-416-dup-0,20,id-403,4,0,
rec-147-dup-0,20,id-21,1,25,
rec-227-dup-1,20,id-413,1,52,
rec-10032-dup-0,20,id-809,3,0,
rec-483-dup-1,20,rec-129-dup-0,4,0,
rec-104-dup-0,20,rec-103-dup-0,4,0,
rec-600-dup-0,20,rec-86-dup-0,4,0,
rec-447-dup-0,20,rec-68-dup-0,1,12,
id-850,20,rec-257-dup-0,4,0,
rec-6-dup-0,20,rec-163-dup-1,1,24,
rec-888-dup-1,20,id-370,4,0,
rec-114-dup-1,20,id-438,4,0,
rec-10118-dup-0,20,rec-304-dup-1,4,0,
rec-83-dup-0,20,rec-297-dup-0,2,0,
rec-215-dup-1,20,rec-252-dup-0,2,0,
rec-43-dup-0,20,id-173,4,0,
rec-251-dup-0,20,id-417,4,0,
id-763,20,rec-230-dup-0,1,16,
rec-561-dup-0,20,rec-211-dup-1,4,0,
id-113,20,rec-217-dup-0,2,0,
rec-479-dup-1,20,rec-304-dup-0,4,0,
rec-697-dup-0,20,id-406,4,0,
rec-589-dup-1,20,id-416,1,48,
rec-643-dup-0,20,id-286,4,0,
id-10148,20,rec-164-dup-0,4,0,
id-485,20,rec-253-dup-0,4,0,
rec-294-dup-0,20,rec-304-dup-1,1,57,
rec-886-dup-0,20,id-362,4,0,
rec-121-dup-0,20,rec-408-dup-1,4,0,
id-576,20,rec-490-dup-0,4,0,
rec-206-dup-0,20,id-182,4,0,
id-185,20,rec-457-dup-1,1,48,
rec-10167-dup-1,20,rec-103-dup-0,4,0,
id-365,20,rec-442-dup-0,4,0,
id-876,20,rec-595-dup-0,4,0,
rec-83-dup-0,20,rec-203-dup-0,4,0,
rec-861-dup-0,20,id-438,4,0,
rec-601-dup-0,20,id-20,1,1,5.0
rec-243-dup-0,20,id-214,4,0,
id-485,20,rec-463-dup-1,1,72,
rec-103-dup-0,20,rec-76-dup-0,4,0,
id-291,20,rec-189-dup-0,1,1,6.0
rec-7-dup-0,20,id-323,2,0,
rec-131-dup-0,20,rec-270-dup-0,4,0,
rec-674-dup-0,20,rec-157-dup-0,4,0,
id-547,20,rec-164-dup-0,4,0,
rec-630-dup-0,20,rec-63-dup-0,4,0,
id-182,20,rec-409-dup-0,4,0,
id-10177,20,rec-83-dup-0,4,0,
rec-369-dup-0,20,id-130,2,0,
rec-753-dup-0,20,id-432,2,0,
rec-348-dup-0,20,id-206,4,0,
rec-404-dup-0,20,id-528,4,0,
id-303,20,rec-45-dup-0,1,1,2.0
rec-340-dup-0,20,rec-328-dup-1,4,0,
id-745,20,rec-336-dup-1,1,16,
rec-79-dup-0,20,rec-428-dup-0,1,24,
rec-831-dup-0,20,id-29,1,21,
id-471,20,rec-311-dup-1,4,0,
id-140,20,rec-62-dup-0,2,0,
rec-820-dup-0,20,id-231,4,0,
id-10163,20,rec-472-dup-1,4,0,
id-272,20,rec-331-dup-0,4,0,
rec-587-dup-0,20,id-263,4,0,
rec-10161-dup-0,20,rec-207-dup-0,1,24,
rec-544-dup-0,20,id-342,1,12,
id-468,20,rec-428-dup-0,4,0,
rec-863-dup-1,20,id-269,1,20,
rec-830-dup-0,20,rec-203-dup-0,4,0,
id-259,20,rec-526-dup-0,4,0,
rec-238-dup-0,20,id-94,1,32,
rec-862-dup-0,20,rec-468-dup-1,1,15,
rec-343-dup-1,20,id-384,4,0,
rec-852-dup-0,20,id-496,4,0,
rec-536-dup-0,20,rec-304-dup-1,4,0,
rec-539-dup-0,20,id-240,4,0,
rec-281-dup-0,20,id-115,4,0,
id-81,20,rec-103-dup-0,1,24,
rec-773-dup-1,20,id-196,4,0,
rec-599-dup-0,20,rec-63-dup-0,1,48,
rec-487-dup-1,20,rec-163-dup-0,1,28,
rec-684-dup-0,20,rec-164-dup-0,4,0,
rec-434-dup-0,20,rec-129-dup-0,4,0,
rec-434-dup-0,20,id-263,4,0,
rec-426-dup-0,20,id-566,1,1,1.0
rec-10168-dup-0,20,id-85,4,0,
id-870,20,rec-103-dup-0,4,0,
rec-738-dup-0,20,rec-113-dup-0,4,0,
id-10114,20,rec-76-dup-0,4,0,
rec-10019-dup-0,20,rec-19-dup-0,4,0,
rec-43-dup-0,20,id-80,1,40,
id-134,20,rec-28-dup-0,1,5,
rec-563-dup-0,20,rec-50-dup-0,1,12,
rec-319-dup-0,20,id-43,1,1,4.0
id-115,20,rec-53-dup-1,4,0,
rec-10007-dup-1,20,id-432,1,1,2.0
rec-478-dup-1,20,rec-164-dup-0,4,0,
rec-6-dup-0,20,id-261,4,0,
rec-10019-dup-0,20,rec-326-dup-1,1,45,
id-475,20,rec-409-dup-1,4,0,
rec-770-dup-0,20,id-362,4,0,
rec-35-dup-0,20,id-87,4,0,
rec-704-dup-0,20,rec-157-dup-1,4,0,
id-175,20,rec-595-dup-1,4,0,
rec-176-dup-0,20,rec-129-dup-0,4,0,
rec-677-dup-1,20,id-115,1,30,2.0
rec-10170-dup-1,20,rec-823-dup-0,1,45,
id-10179,20,rec-428-dup-0,4,0,
rec-363-dup-0,20,rec-59-dup-0,4,0,
rec-428-dup-1,20,rec-253-dup-0,4,0,
rec-746-dup-0,20,id-330,4,0,
id-639,20,rec-157-dup-1,1,35,
id-249,20,rec-472-dup-0,4,0,
rec-73-dup-1,20,rec-57-dup-0,4,0,
rec-625-dup-0,20,id-400,1,40,
rec-589-dup-1,20,id-412,4,0,
id-448,20,rec-383-dup-0,1,1,9.0
id-40,20,rec-164-dup-0,4,0,
rec-10168-dup-0,20,rec-213-dup-0,4,0,
id-174,20,rec-53-dup-1,4,0,
rec-10118-dup-0,20,id-411,4,0,
rec-599-dup-1,20,rec-84-dup-0,1,1,1.0
id-28,20,rec-328-dup-1,1,31,
rec-478-dup-0,20,id-247,4,0,
rec-10190-dup-0,20,rec-19-dup-1,4,0,
rec-482-dup-1,20,id-605,4,0,
rec-176-dup-0,20,id-584,1,0,
rec-112-dup-0,20,id-263,4,0,
id-255,20,rec-163-dup-1,1,21,
id-197,20,rec-39-dup-0,1,1,13.0
id-405,20,rec-604-dup-0,4,0,
rec-494-dup-1,20,id-94,4,0,
id-171,20,rec-86-dup-0,1,1,8.0
rec-321-dup-0,20,rec-63-dup-0,4,0,
rec-746-dup-0,20,rec-89-dup-0,4,0,
id-796,20,rec-76-dup-1,4,0,
rec-479-dup-0,20,rec-86-dup-0,4,0,
id-173,20,rec-472-dup-0,4,0,
rec-697-dup-0,20,id-231,4,0,
rec-50-dup-0,20,id-414,1,36,
rec-833-dup-0,20,id-423,4,0,
rec-95-dup-0,20,rec-328-dup-1,1,28,
id-10024,20,rec-36-dup-0,1,42,
rec-465-dup-0,20,rec-447-dup-0,4,0,
rec-176-dup-1,20,id-115,4,0,
rec-562-dup-0,20,rec-313-dup-0,4,0,
id-598,20,rec-442-dup-1,4,0,
rec-619-dup-0,20,rec-279-dup-1,4,0,
rec-208-dup-0,20,rec-157-dup-1,4,0,
rec-10098-dup-0,20,rec-6-dup-0,4,0,
rec-701-dup-0,20,id-67,4,0,
rec-544-dup-0,20,id-182,4,0,
rec-328-dup-0,20,rec-164-dup-0,4,0,
rec-51-dup-0,20,rec-241-dup-0,4,0,
id-249,20,rec-211-dup-1,4,0,
id-58,20,rec-234-dup-0,2,0,
rec-164-dup-1,20,id-138,1,53,
rec-176-dup-0,20,rec-270-dup-0,4,0,
rec-447-dup-1,20,id-371,4,0,
rec-738-dup-0,20,id-334,4,0,
id-764,20,rec-495-dup-1,2,0,
rec-533-dup-0,20,rec-157-dup-0,1,20,
rec-64-dup-0,20,rec-374-dup-0,4,0,
id-10097,20,rec-213-dup-0,4,0,
rec-63-dup-0,20,rec-470-dup-0,2,0,
id-236,20,rec-5-dup-0,4,0,
rec-640-dup-0,20,id-24,1,21,
rec-832-dup-0,20,rec-470-dup-1,1,12,
rec-482-dup-1,20,id-512,4,0,
rec-864-dup-0,20,rec-219-dup-0,4,0,
id-879,20,rec-667-dup-0,4,0,
id-10172,20,rec-53-dup-1,4,0,
rec-273-dup-0,20,rec-74-dup-0,1,9,
rec-131-dup-1,20,id-196,4,0,
id-223,20,rec-270-dup-0,1,1,2.0
rec-640-dup-1,20,rec-669-dup-0,4,0,
