ability,version_group,language,flavor_text
rec-91-dup-0,20,8,Potenzia di molto le mosse dello stesso tipodel Pokémon.
rec-221-dup-1,20,1,こうげきで　じぶんに　ふれた　あいてのすばやさを　さげる
rec-221-dup-1,20,6,Senkt bei Berührung im Zuge eines Angriffs dieInitiative des Angreifers.
rec-221-dup-1,20,3,공격으로 자신과 접촉한 상대의스피드를 떨어뜨린다.
rec-221-dup-1,20,12,对于用攻击接触到自己的对手会降低其速度
rec-221-dup-1,20,8,Se il Pokémon viene colpito da un attacco direttola Velocità di chi lha colpito diminuisce.
rec-221-dup-1,20,9,Contact with the Pokémon lowers the attackersSpeed stat.
rec-221-dup-1,20,7,Baja la Velocidad del rival cuando este le ataca con unmovimiento de contacto.
rec-221-dup-1,20,11,攻撃で　自分に　触れた　相手の素早さを　下げる
rec-221-dup-1,20,5,Baisse la Vitesse de lattaquant lorsque le Pokémonsubit une attaque directe.
rec-221-dup-1,20,4,對手用攻擊接觸到自己時降低此對手的速度
rec-22-dup-1,20,9,The Pokémon intimidates opposing Pokémon uponentering battle lowering their Attack stat.
rec-22-dup-1,20,3,등장했을 때 위협해서상대를 위축시켜상대의 공격을 떨어뜨린다.
rec-22-dup-1,20,12,出场时威吓对手让其退缩降低对手的攻击
rec-22-dup-1,20,1,とうじょう　したとき　いかくしてあいてを　いしゅくさせあいての　こうげきを　さげて　しまう
rec-22-dup-1,20,8,Quando il Pokémon entra in campo la suaprepotenza intimidisce i nemici riducendonelAttacco.
rec-22-dup-1,20,5,Le Pokémon rugit lorsquil arrive au combatce qui intimide lennemi et baisse son Attaque.
rec-22-dup-1,20,6,Senkt den Angriff der Gegner indem es sie gleich zuKampfantritt bedroht und einschüchtert.
rec-22-dup-1,20,11,登場　したとき　威嚇して相手を　萎縮させ相手の　攻撃を　下げて　しまう
rec-22-dup-1,20,4,出場時威嚇對手使其退縮從而降低對手的攻擊
rec-22-dup-1,20,7,Al entrar en combate amilana al rival de tal maneraque su Ataque disminuye.
rec-108-dup-1,20,7,Indica el movimiento más potente del rival al entraren combate.
rec-108-dup-1,20,6,Gibt bei Kampfantritt Auskunft über eine Attacke ausdem gegnerischen Repertoire.
rec-108-dup-1,20,11,登場　したとき相手の　持つ　技をひとつだけ　読み取る
rec-108-dup-1,20,4,出場時預見１個對手持有的招式
rec-108-dup-1,20,1,とうじょう　したときあいての　もつ　わざをひとつだけ　よみとる
rec-108-dup-1,20,3,등장했을 때상대가 지닌 기술을하나만 꿰뚫어본다.
rec-108-dup-1,20,5,Révèle lune des capacités de lennemiquand le combat commence.
rec-108-dup-1,20,9,When it enters a battle the Pokémon can tell one ofthe moves an opposing Pokémon has.
rec-108-dup-1,20,8,Quando il Pokémon entra in campo rivela una dellemosse del nemico.
rec-108-dup-1,20,12,出场时只读取１个对手拥有的招式
rec-92-dup-0,20,11,連続技を　使うと　いつも最高回数　出すことが　できる
rec-92-dup-0,20,5,Les capacités pouvant frapper plusieurs fois frappenttoujours le nombre maximal de coups.
rec-92-dup-0,20,9,Maximizes the number of times multistrikemoves hit.
rec-92-dup-0,20,6,Landet mit Serien-Attacken immer die maximale Anzahlan Treffern.
rec-92-dup-0,20,12,如果使用连续招式总是能使出最高次数
rec-92-dup-0,20,3,연속 기술을 사용하면 항상최고 횟수를 사용할 수 있다.
rec-92-dup-0,20,8,Le mosse multicolpo mandano a segno sempreil massimo dei colpi possibili.
rec-92-dup-0,20,7,Ejecuta siempre los movimientos múltiples con elnúmero máximo de golpes.
rec-92-dup-0,20,1,れんぞくわざを　つかうと　いつもさいこう　かいすう　だすことが　できる
rec-92-dup-0,20,4,使用連續招式時每回都能以最多次數進行攻擊
rec-189-dup-0,20,11,ほのおタイプの　攻撃を受けない　天気にする
rec-189-dup-0,20,5,Altère les conditions météo et rend inefficacesles attaques de type Feu.
rec-189-dup-0,20,4,變為讓火屬性攻擊失效的天氣
rec-189-dup-0,20,1,ほのおタイプの　こうげきをうけない　てんきにする
rec-189-dup-0,20,6,Ändert das Wetter um Feuer-Attacken wirkungsloszu machen.
rec-189-dup-0,20,7,Altera el clima para anular los ataques de tipo Fuego.
rec-189-dup-0,20,8,Crea un clima che rende inefficacigli attacchi di tipo Fuoco.
rec-189-dup-0,20,12,变为不会受到火属性攻击的天气
rec-189-dup-0,20,9,The Pokémon changes the weather to nullifyFire-type attacks.
rec-189-dup-0,20,3,불꽃타입의 공격을받지 않는 날씨로 만든다.
rec-227-dup-0,20,4,出場時會布下精神場地
rec-227-dup-0,20,6,Erzeugt bei Kampfantritt ein Psychofeld.
rec-227-dup-0,20,9,Turns the ground into Psychic Terrain whenthe Pokémon enters a battle.
rec-227-dup-0,20,8,Quando il Pokémon entra in campolo trasforma in un Campo Psichico.
rec-227-dup-0,20,1,とうじょう　したときにサイコフィールドを　はりめぐらせる
rec-227-dup-0,20,3,등장했을 때사이코필드를 사용한다.
rec-227-dup-0,20,12,出场时会布下精神场地
rec-227-dup-0,20,5,Le Pokémon crée un Champ Psychique au momentoù il entre au combat.
rec-227-dup-0,20,7,Crea un campo psíquico al entrar en combate.
rec-227-dup-0,20,11,登場　したときにサイコフィールドを　はりめぐらせる
rec-224-dup-1,20,8,Quando il Pokémon manda KO un altro Pokémonaumenta la propria statistica di punta.
rec-224-dup-1,20,9,The Pokémon boosts its most proficient stat eachtime it knocks out a Pokémon.
rec-224-dup-1,20,4,打倒對手的時候會提高自己最高的那項能力
rec-224-dup-1,20,5,Augmente la stat la plus élevée du Pokémonsil met K.O. un autre Pokémon pendant son tour.
rec-224-dup-1,20,11,相手を　倒したとき自分の　いちばん　高い能力が　上がる
rec-224-dup-1,20,7,Si derrota a un rival en ese turno aumenta sucaracterística más fuerte.
rec-224-dup-1,20,6,Erhöht in jeder Runde in der es ein anderes Pokémonbesiegt seinen höchsten Statuswert.
rec-224-dup-1,20,3,상대를 기절시켰을 때자신의 가장 높은능력이 올라간다.
rec-224-dup-1,20,1,あいてを　たおしたときじぶんの　いちばん　たかいのうりょくが　あがる
rec-224-dup-1,20,12,打倒对手的时候自己最高的那项能力会提高
rec-198-dup-1,20,8,Raddoppia i danni inflitti a un bersaglio che èappena entrato in campo per sostituire un altroPokémon.
rec-198-dup-1,20,5,Lorsque le Pokémon attaque une cible qui vient dentrersur le terrain en remplacement dun autre Pokémonles dégâts infligés sont doublés.
rec-198-dup-1,20,7,Si el objetivo de su ataque es sustituido por otroduplica el daño que infligirá.
rec-198-dup-1,20,6,Bewirkt bei Angriffen auf neu eingewechselte Zieledoppelten Schaden.
rec-198-dup-1,20,3,교체로 나온 상대에게2배 데미지로 공격할 수 있다.
rec-198-dup-1,20,1,こうたいで　でてきた　あいてに２ばいの　ダメージで　こうげき　できる
rec-198-dup-1,20,12,可以对替换出场的对手以２倍的伤害进行攻击
rec-198-dup-1,20,4,可以向替換出場的對手以２倍的傷害進行攻擊
rec-198-dup-1,20,11,交代で　出てきた　相手に２倍の　ダメージで　攻撃　できる
rec-198-dup-1,20,9,Doubles the damage dealt to the targetsreplacement if the target switches out.
rec-143-dup-1,20,6,Kann das Ziel durch bloßes Berühren vergiften.
rec-143-dup-1,20,3,접촉하기만 해도 상대를독 상태로 만들 때가 있다.
rec-143-dup-1,20,5,Peut empoisonner lennemi par simple contact.
rec-143-dup-1,20,8,Il Pokémon può avvelenare il nemico al solo contatto.
rec-143-dup-1,20,9,May poison a target when the Pokémonmakes contact.
rec-143-dup-1,20,12,只通过接触就有可能让对手变为中毒状态
rec-143-dup-1,20,11,触る　だけで　相手をどく　状態に　することがある
rec-143-dup-1,20,4,有時僅是接觸就能讓對手中毒
rec-143-dup-1,20,7,Puede envenenar al objetivo con solo tocarlo.
rec-143-dup-1,20,1,さわる　だけで　あいてをどく　じょうたいに　することがある
rec-225-dup-1,20,3,지니고 있는 메모리로자신의 타입이 변한다.
rec-225-dup-1,20,8,Il tipo del Pokémon cambia in base alla ROMinstallata.
rec-225-dup-1,20,9,Changes the Pokémons type to match thememory disc it holds.
rec-225-dup-1,20,11,持っている　メモリで自分の　タイプが　変わる
rec-225-dup-1,20,5,Change le type du Pokémon en fonctionde la ROM équipée.
rec-225-dup-1,20,6,Das Pokémon passt seinen Typ der getragenen Disc an.
rec-225-dup-1,20,12,根据持有的存储碟自己的属性会改变
rec-225-dup-1,20,7,Cambia su tipo según el disco que lleve instalado.
rec-225-dup-1,20,4,根據持有的記憶碟自己的屬性會改變
rec-225-dup-1,20,1,もっている　メモリでじぶんの　タイプが　かわる
rec-147-dup-0,20,11,変化技を　受けにくい体に　なっている
rec-147-dup-0,20,8,Il Pokémon resiste più facilmente alle mosse di stato.
rec-147-dup-0,20,6,Wehrt mit robustem Körper viele Status-Attacken ab.
rec-147-dup-0,20,4,不易受到變化類招式攻擊的身體
rec-147-dup-0,20,3,변화 기술을 받기 어려운몸으로 되어 있다.
rec-147-dup-0,20,7,Presenta una mayor resistencia ante los movimientos deestado.
rec-147-dup-0,20,12,成为不易受到变化招式攻击的身体
rec-147-dup-0,20,1,へんかわざを　うけにくいからだに　なっている
rec-147-dup-0,20,9,Makes status moves more likely to miss.
rec-147-dup-0,20,5,Le Pokémon résiste mieux aux capacités de statut.
rec-212-dup-1,20,3,강철타입이나 독타입도독 상태로 만들 수 있다.
rec-212-dup-1,20,1,はがねタイプや　どくタイプもどく　じょうたいに　することが　できる
rec-212-dup-1,20,11,はがねタイプや　どくタイプもどく状態に　することが　できる
rec-212-dup-1,20,9,The Pokémon can poison the target even if itsa Steel or Poison type.
rec-212-dup-1,20,5,Permet dempoisonner les Pokémon de type Acierou Poison.
rec-212-dup-1,20,8,Il Pokémon è in grado di avvelenare il bersaglioanche se questo è di tipo Acciaio o Veleno.
rec-212-dup-1,20,4,就算對方是鋼屬性或毒屬性寶可夢也可讓對方陷入中毒狀態
rec-212-dup-1,20,12,可以使钢属性和毒属性的宝可梦也陷入中毒状态
rec-212-dup-1,20,6,Kann selbst Pokémon vom Typ Stahl oder Gift vergiften.
rec-212-dup-1,20,7,Puede envenenar incluso a rivales de tipo Acero oVeneno.
rec-2-dup-0,20,12,出场时会将天气变为下雨
rec-2-dup-0,20,6,Ruft bei Kampfantritt Regen herbei.
rec-2-dup-0,20,4,出場時會將天氣變為下雨
rec-2-dup-0,20,11,登場　したときに天気を　雨に　する
rec-2-dup-0,20,9,The Pokémon makes it rain when it enters a battle.
rec-2-dup-0,20,3,등장했을 때날씨를 비로 만든다.
rec-2-dup-0,20,5,Le Pokémon invoque la pluie quand il entre au combat.
rec-2-dup-0,20,7,Hace que llueva al entrar en combate.
rec-2-dup-0,20,8,Quando il Pokémon entra in campo attira la pioggia.
rec-2-dup-0,20,1,とうじょう　したときにてんきを　あめに　する
rec-108-dup-0,20,7,Indica el movimiento más potente del rival al entraren combate.
rec-108-dup-0,20,6,Gibt bei Kampfantritt Auskunft über eine Attacke ausdem gegnerischen Repertoire.
rec-108-dup-0,20,11,登場　したとき相手の　持つ　技をひとつだけ　読み取る
rec-108-dup-0,20,4,出場時預見１個對手持有的招式
rec-108-dup-0,20,1,とうじょう　したときあいての　もつ　わざをひとつだけ　よみとる
rec-108-dup-0,20,3,등장했을 때상대가 지닌 기술을하나만 꿰뚫어본다.
rec-108-dup-0,20,5,Révèle lune des capacités de lennemiquand le combat commence.
rec-108-dup-0,20,9,When it enters a battle the Pokémon can tell one ofthe moves an opposing Pokémon has.
rec-108-dup-0,20,8,Quando il Pokémon entra in campo rivela una dellemosse del nemico.
rec-108-dup-0,20,12,出场时只读取１个对手拥有的招式
rec-95-dup-0,20,12,变为异常状态时速度会提高
rec-95-dup-0,20,7,Aumenta la Velocidad si sufre problemas de estado.
rec-95-dup-0,20,5,Augmente la Vitesse du Pokémon en cas daltérationde statut.
rec-95-dup-0,20,3,상태 이상이 되면스피드가 올라간다.
rec-95-dup-0,20,4,陷入異常狀態時速度會提高
rec-95-dup-0,20,1,じょうたい　いじょうに　なるとすばやさが　あがる
rec-95-dup-0,20,6,Erhöht bei Statusproblemen die Initiative.
rec-95-dup-0,20,9,Boosts the Speed stat if the Pokémon has astatus condition.
rec-95-dup-0,20,11,状態異常に　なると素早さが　上がる
rec-95-dup-0,20,8,Se il Pokémon è affetto da un problema di statola Velocità aumenta.
rec-185-dup-1,20,11,親子　２匹で　２回攻撃することが　できる
rec-185-dup-1,20,4,親子倆可合計攻擊２次
rec-185-dup-1,20,6,Zwei Generationen setzen jeweils ein Mal zumAngriff an.
rec-185-dup-1,20,9,Parent and child each attacks.
rec-185-dup-1,20,12,亲子俩可以合计攻击２次
rec-185-dup-1,20,1,おやこ　２ひきで　２かいこうげきする　ことが　できる
rec-185-dup-1,20,8,Il Pokémon e il suo piccolo attaccano insieme.
rec-185-dup-1,20,7,Une fuerzas con su cría y ataca dos veces.
rec-185-dup-1,20,3,부모와 자식 2마리로 2번공격할 수 있다.
rec-185-dup-1,20,5,Permet à la mère et à son petit dattaquer tous les deuxen même temps.
rec-209-dup-1,20,5,Le déguisement qui recouvre le corps du Pokémonest capable de le protéger dune attaque.
rec-209-dup-1,20,7,Puede eludir un ataque valiéndose de la tela que lecubre el cuerpo una vez por combate.
rec-209-dup-1,20,1,からだを　おおう　ばけのかわで１かい　こうげきを　ふせぐことが　できる
rec-209-dup-1,20,9,Once per battle the shroud that covers thePokémon can protect it from an attack.
rec-209-dup-1,20,12,通过画皮覆盖住身体可以防住１次攻击
rec-209-dup-1,20,8,Il panno che ricopre il Pokémon lo proteggeda un singolo attacco.
rec-209-dup-1,20,11,体を　被う　化けの皮で１回　攻撃を　防ぐことが　できる
rec-209-dup-1,20,3,몸을 덮는 탈로1번 공격을 막을 수 있다.
rec-209-dup-1,20,4,用畫皮覆蓋住身體可防住１次攻擊
rec-209-dup-1,20,6,Kann ein Mal pro Kampf mit seinem gruseligen Kostümeinen Angriff abwehren.
rec-126-dup-1,20,3,능력의 변화가 역전해서올라갈 때 떨어지고떨어질 때 올라간다.
rec-126-dup-1,20,6,Statusveränderungen werden umgekehrt Statuswertedie eigentlich erhöht werden sollten sinken undumgekehrt.
rec-126-dup-1,20,7,Invierte los cambios en las características bajancuando les toca subir y suben cuando les toca bajar.
rec-126-dup-1,20,1,のうりょくの　へんかが　ぎゃくてんしてあがるときに　さがりさがるときに　あがる
rec-126-dup-1,20,9,Makes stat changes have an opposite effect.
rec-126-dup-1,20,5,Inverse les changements de stats les augmentations de stats se transforment en baisseset vice-versa.
rec-126-dup-1,20,4,能力的變化會逆轉原本提高時會降低原本降低時會提高
rec-126-dup-1,20,12,能力的变化发生逆转原本提高时会降低而原本降低时会提高
rec-126-dup-1,20,8,Le modifiche alle statistiche hanno effetto inversole statistiche aumentano quando dovrebbero diminuiree viceversa.
rec-126-dup-1,20,11,能力の　変化が　逆転して上がるときに　下がり下がるときに　上がる
rec-225-dup-0,20,3,지니고 있는 메모리로자신의 타입이 변한다.
rec-225-dup-0,20,8,Il tipo del Pokémon cambia in base alla ROMinstallata.
rec-225-dup-0,20,9,Changes the Pokémons type to match thememory disc it holds.
rec-225-dup-0,20,11,持っている　メモリで自分の　タイプが　変わる
rec-225-dup-0,20,5,Change le type du Pokémon en fonctionde la ROM équipée.
rec-225-dup-0,20,6,Das Pokémon passt seinen Typ der getragenen Disc an.
rec-225-dup-0,20,12,根据持有的存储碟自己的属性会改变
rec-225-dup-0,20,7,Cambia su tipo según el disco que lleve instalado.
rec-225-dup-0,20,4,根據持有的記憶碟自己的屬性會改變
rec-225-dup-0,20,1,もっている　メモリでじぶんの　タイプが　かわる
rec-262-dup-1,20,1,でんきタイプの　わざのいりょくが　あがる
rec-262-dup-1,20,8,Potenzia le mosse di tipo Elettro.
rec-262-dup-1,20,12,电属性的招式威力会提高
rec-262-dup-1,20,4,電屬性的招式威力會提高
rec-262-dup-1,20,7,Potencia los movimientos de tipo Eléctrico.
rec-262-dup-1,20,9,Powers up Electric-type moves.
rec-262-dup-1,20,5,Augmente la puissance des attaques de type Électrik.
rec-262-dup-1,20,11,でんきタイプの　技の威力が　上がる
rec-262-dup-1,20,6,Erhöht die Stärke von Elektro-Attacken.
rec-262-dup-1,20,3,전기타입 기술의위력이 올라간다.
rec-241-dup-1,20,5,Quand le Pokémon utilise Surf ou Plongée il revientavec une proie. Lorsquil subit des dégâts par la suiteil attaque en recrachant sa proie.
rec-241-dup-1,20,12,冲浪或潜水时会叼来猎物受到伤害时会吐出猎物进行攻击
rec-241-dup-1,20,11,なみのりか　ダイビングを　すると獲物を　くわえてくる　ダメージを受けると　獲物を　吐きだして　攻撃
rec-241-dup-1,20,1,なみのりか　ダイビングを　するとえものを　くわえてくる　ダメージをうけると　えものを　はきだして　こうげき
rec-241-dup-1,20,9,When the Pokémon uses Surf or Dive it will come backwith prey. When it takes damage it will spit out the preyto attack.
rec-241-dup-1,20,4,衝浪或潛水時會叼來獵物當受到傷害時會吐出獵物攻擊對手
rec-241-dup-1,20,6,Wenn das Pokémon Surfer oder Taucher einsetzt fängtes sich dabei Beute. Erleidet es anschließend Schadengreift es an indem es die Beute wieder ausspuckt.
rec-241-dup-1,20,3,파도타기나 다이빙을 쓰면먹이를 물어온다. 데미지를받으면 먹이를 토해내서 공격한다.
rec-241-dup-1,20,7,Tras usar Surf o Buceo emerge con una presa en laboca. Al recibir daño ataca escupiéndola al rival.
rec-241-dup-1,20,8,Quando usa Surf o Sub il Pokémon cattura una preda.Se subisce dei danni la sputa fuori per attaccare.
rec-73-dup-0,20,9,The Pokémon is protected by its white smoke whichprevents other Pokémon from lowering its stats.
rec-73-dup-0,20,8,Il Pokémon è protetto da un fumo chiaro cheimpedisce ai nemici di diminuire le sue statistiche.
rec-73-dup-0,20,7,El humo blanco que lo protege evita que otros Pokémonle bajen las características.
rec-73-dup-0,20,12,被白色烟雾保护着不会被对手降低能力
rec-73-dup-0,20,11,白い煙に　守られて相手に　能力を　下げられない
rec-73-dup-0,20,1,しろいけむりに　まもられてあいてに　のうりょくを　さげられない
rec-73-dup-0,20,6,Indem es sich mit pulvrigem Rauch umhüllt hindert esAngreifer daran seine Statuswerte zu senken.
rec-73-dup-0,20,3,하얀 연기의 보호를 받아상대가 능력을 떨어뜨릴 수 없다.
rec-73-dup-0,20,4,被白色煙霧保護著不會被對手降低能力
rec-73-dup-0,20,5,Un écran de fumée empêche lennemi de baisserles stats du Pokémon.
rec-185-dup-0,20,11,親子　２匹で　２回攻撃することが　できる
rec-185-dup-0,20,4,親子倆可合計攻擊２次
rec-185-dup-0,20,6,Zwei Generationen setzen jeweils ein Mal zumAngriff an.
rec-185-dup-0,20,9,Parent and child each attacks.
rec-185-dup-0,20,12,亲子俩可以合计攻击２次
rec-185-dup-0,20,1,おやこ　２ひきで　２かいこうげきする　ことが　できる
rec-185-dup-0,20,8,Il Pokémon e il suo piccolo attaccano insieme.
rec-185-dup-0,20,7,Une fuerzas con su cría y ataca dos veces.
rec-185-dup-0,20,3,부모와 자식 2마리로 2번공격할 수 있다.
rec-185-dup-0,20,5,Permet à la mère et à son petit dattaquer tous les deuxen même temps.
rec-173-dup-0,20,8,La robusta mascella del Pokémon permettemorsi molto potenti.
rec-173-dup-0,20,7,Su robusta mandíbula le confiere una mordedurapotente.
rec-173-dup-0,20,12,因为颚部强壮啃咬类招式的威力会提高
rec-173-dup-0,20,1,あごが　がんじょうでかむ　わざの　いりょくがたかくなる
rec-173-dup-0,20,3,턱이 튼튼하여무는 기술의 위력이올라간다.
rec-173-dup-0,20,4,顎部強壯會提高啃咬類招式的威力
rec-173-dup-0,20,11,あごが　頑丈で噛む　技の　威力が高くなる
rec-173-dup-0,20,5,Le Pokémon a une mâchoire robuste qui augmentela puissance de ses capacités à base de morsures.
rec-173-dup-0,20,9,The Pokémons strong jaw boosts the power of itsbiting moves.
rec-173-dup-0,20,6,Der kräftige Kiefer des Pokémon erhöht die Stärkevon Biss-Attacken.
rec-126-dup-0,20,3,능력의 변화가 역전해서올라갈 때 떨어지고떨어질 때 올라간다.
rec-126-dup-0,20,6,Statusveränderungen werden umgekehrt Statuswertedie eigentlich erhöht werden sollten sinken undumgekehrt.
rec-126-dup-0,20,7,Invierte los cambios en las características bajancuando les toca subir y suben cuando les toca bajar.
rec-126-dup-0,20,1,のうりょくの　へんかが　ぎゃくてんしてあがるときに　さがりさがるときに　あがる
rec-126-dup-0,20,9,Makes stat changes have an opposite effect.
rec-126-dup-0,20,5,Inverse les changements de stats les augmentations de stats se transforment en baisseset vice-versa.
rec-126-dup-0,20,4,能力的變化會逆轉原本提高時會降低原本降低時會提高
rec-126-dup-0,20,12,能力的变化发生逆转原本提高时会降低而原本降低时会提高
rec-126-dup-0,20,8,Le modifiche alle statistiche hanno effetto inversole statistiche aumentano quando dovrebbero diminuiree viceversa.
rec-126-dup-0,20,11,能力の　変化が　逆転して上がるときに　下がり下がるときに　上がる
rec-12-dup-1,20,3,둔감해서헤롱헤롱이나 도발 상태가되지 않는다.
rec-12-dup-1,20,4,感覺遲鈍不會陷入著迷和被挑釁狀態
rec-12-dup-1,20,7,Su indiferencia evita que sea provocado o caiga presadel enamoramiento.
rec-12-dup-1,20,6,Das Pokémon ist so apathisch dass es nicht betört oderprovoziert werden kann.
rec-12-dup-1,20,12,因为感觉迟钝不会变为着迷和被挑衅状态
rec-12-dup-1,20,1,どんかん　なのでメロメロや　ちょうはつ　じょうたいにならない
rec-12-dup-1,20,9,The Pokémon is oblivious and that keeps it frombeing infatuated or falling for taunts.
rec-12-dup-1,20,11,鈍感なのでメロメロや　ちょうはつ状態にならない
rec-12-dup-1,20,5,Le Pokémon est un grand benêt ce qui limmunisecontre lattraction ou la provocation.
rec-12-dup-1,20,8,Limperturbabilità del Pokémon lo proteggeda infatuazioni e provocazioni.
rec-118-dup-0,20,11,戦闘が　終わったときあまいミツを　拾うことが　ある
rec-118-dup-0,20,5,Le Pokémon peut parfois trouver du Miel aprèsun combat.
rec-118-dup-0,20,3,배틀이 끝났을 때달콤한꿀을 주울 때가 있다.
rec-118-dup-0,20,6,Das Pokémon sammelt nach Kämpfen eventuellHonig auf.
rec-118-dup-0,20,8,Il Pokémon può raccogliere del Miele alla finedella lotta.
rec-118-dup-0,20,1,せんとうが　おわったときあまいミツを　ひろうことが　ある
rec-118-dup-0,20,9,The Pokémon may gather Honey after a battle.
rec-118-dup-0,20,7,Puede que encuentre Miel una vez concluido elcombate.
rec-118-dup-0,20,12,战斗结束时有时候会捡来甜甜蜜
rec-118-dup-0,20,4,戰鬥結束時有時候會撿來甜甜蜜
rec-228-dup-0,20,12,出场时会布下薄雾场地
rec-228-dup-0,20,4,出場時會布下薄霧場地
rec-228-dup-0,20,1,とうじょう　したときにミストフィールドを　はりめぐらせる
rec-228-dup-0,20,9,Turns the ground into Misty Terrain whenthe Pokémon enters a battle.
rec-228-dup-0,20,3,등장했을 때미스트필드를 사용한다.
rec-228-dup-0,20,11,登場　したときにミストフィールドを　はりめぐらせる
rec-228-dup-0,20,6,Erzeugt bei Kampfantritt ein Nebelfeld.
rec-228-dup-0,20,8,Quando il Pokémon entra in campolo trasforma in un Campo Nebbioso.
rec-228-dup-0,20,5,Le Pokémon crée un Champ Brumeux au momentoù il entre au combat.
rec-228-dup-0,20,7,Crea un campo de niebla al entrar en combate.
rec-214-dup-1,20,6,Schüchtert Gegner ein und hindert sie so daranErstschlag-Attacken gegen es einzusetzen.
rec-214-dup-1,20,4,向對手施加威懾力使其無法對我方使出先制招式
rec-214-dup-1,20,9,Its majesty pressures the opposing Pokémonmaking it unable to attack using priority moves.
rec-214-dup-1,20,11,相手に　威圧感を　あたえこちらに　むかって　先制技を出せない　ようにする
rec-214-dup-1,20,1,あいてに　いあつかんを　あたえこちらに　むかって　せんせいわざをだせない　ようにする
rec-214-dup-1,20,3,상대에게 위압감을 줘서이쪽을 향한 선제 기술을사용할 수 없게 한다.
rec-214-dup-1,20,5,Ladversaire est impressionné par la majesté du Pokémonet ne peut pas le viser avec une attaque prioritaire.
rec-214-dup-1,20,7,Intimida al objetivo y le impide usar movimientos conprioridad.
rec-214-dup-1,20,8,Laura di regalità del Pokémon impedisce al nemicodi attaccarlo con mosse che hanno priorità alta.
rec-214-dup-1,20,12,向对手施加威慑力使其无法对我方使出先制招式
rec-157-dup-0,20,11,くさタイプの　技を　受けるとダメージを　受けずに攻撃が　上がる
rec-157-dup-0,20,5,Annule les attaques de type Plante subiespar le Pokémon et augmente son Attaque.
