move,version_group,language,flavor_text
rec-468-dup-0,20,1,ツメを　みがいて　するどく　するじぶんの　こうげきとめいちゅうりつを　あげる
rec-468-dup-0,20,3,손톱을 갈아 날카롭게 한다.자신의 공격과명중률을 올린다.
rec-468-dup-0,20,5,Le lanceur saiguise les griffes.Augmente lAttaque et la Précision.
rec-468-dup-0,20,8,Chi la usa affila i propri artigli aumentandoAttacco e precisione.
rec-468-dup-0,20,9,The user sharpens its claws to boost its Attack statand accuracy.
rec-468-dup-0,20,6,Wetzt seine Klauen um sie zu schärfen. Erhöht Angriffund Genauigkeit des Anwenders.
rec-17-dup-0,20,6,Trifft das Ziel mit ausgebreiteten Flügeln.
rec-17-dup-0,20,7,Golpea al objetivo con unas grandes alas.
rec-17-dup-0,20,8,Infligge danni al bersaglio spiegando delle grandiali possenti.
rec-17-dup-0,20,4,用大大伸展開來的美麗翅膀撞向對手進行攻擊
rec-17-dup-0,20,12,大大地展开美丽的翅膀将其撞向对手进行攻击
rec-17-dup-0,20,3,크게 펼친 훌륭한 날개를상대에게 부딪쳐서 공격한다.
rec-17-dup-0,20,5,Lennemi est frappé par de larges ailes déployéespour infliger des dégâts.
rec-17-dup-0,20,1,おおきく　ひろげた　りっぱな　つばさをあいてに　ぶつけて　こうげきする
rec-17-dup-0,20,9,The target is struck with large imposing wingsspread wide to inflict damage.
rec-17-dup-0,20,11,大きく　ひろげた　りっぱな　翼を相手に　ぶつけて　攻撃する
rec-576-dup-0,20,9,All stat changes affecting the target turntopsy-turvy and become the opposite of whatthey were.
rec-576-dup-0,20,4,讓對手身上所有的能力變化顛倒過來變成和原來相反的狀態
rec-576-dup-0,20,1,あいてに　かかっているすべての　のうりょくへんかをひっくりかえして　ぎゃくにする
rec-576-dup-0,20,3,상대에게 걸려 있는모든 능력 변화를뒤집어서 반대로 만든다.
rec-576-dup-0,20,7,Invierte por completo los cambios en las característicasdel objetivo.
rec-576-dup-0,20,5,Inverse tous les changements de stats de la cible.
rec-576-dup-0,20,6,Invertiert alle Statusveränderungen des Zieles.
rec-576-dup-0,20,8,Inverte tutte le modifiche alle statistichedel Pokémon bersaglio.
rec-576-dup-0,20,12,颠倒对手身上的所有能力变化变成和原来相反的状态
rec-576-dup-0,20,11,相手に　かかっているすべての　能力変化をひっくり返して　逆にする
rec-64-dup-0,20,9,The target is jabbed with a sharply pointed beakor horn.
rec-64-dup-0,20,3,날카롭고 뾰족한 부리나 뿔로상대를 쪼아서 공격한다.
rec-64-dup-0,20,1,するどく　とがった　くちばしや　つのであいてを　つついて　こうげきする
rec-64-dup-0,20,6,Greift das Ziel mit dem Schnabel oder Horn an.
rec-64-dup-0,20,4,用尖銳的喙或角刺向對手進行攻擊
rec-64-dup-0,20,12,用尖锐的喙或角刺向对手进行攻击
rec-64-dup-0,20,5,Frappe lennemi dun bec pointu ou dune cornepour infliger des dégâts.
rec-64-dup-0,20,7,Ensarta al objetivo con un cuerno o pico punzante. 
rec-64-dup-0,20,8,Colpisce il bersaglio con il becco appuntitoo con un corno.
rec-64-dup-0,20,11,鋭く　とがった　くちばしや　つので相手を　突いて　攻撃する
rec-311-dup-1,20,1,つかった　ときの　てんきに　よってわざの　タイプと　いりょくが　かわる
rec-311-dup-1,20,6,Typ und Stärke der Attacke sind vom Wetter zumZeitpunkt der Anwendung abhängig.
rec-311-dup-1,20,3,사용했을 때의 날씨에 따라서기술 타입과 위력이 바뀐다.
rec-311-dup-1,20,7,El tipo y fuerza del ataque varían según el tiempo quehaga.
rec-311-dup-1,20,9,This attack move varies in power and typedepending on the weather.
rec-311-dup-1,20,8,Mossa dattacco il cui tipo e la cui potenza varianoin base alle condizioni atmosferiche.
rec-311-dup-1,20,4,招式屬性和威力會隨著使用時天氣的不同而改變
rec-311-dup-1,20,5,Une attaque dont la puissance et le type varienten fonction du temps quil fait.
rec-311-dup-1,20,12,根据使用时的天气招式属性和威力会改变
rec-311-dup-1,20,11,使ったときの　天気に　よって技の　タイプと　威力が　変わる
rec-279-dup-0,20,3,상대에게 기술을 받으면그 상대에게 주는 데미지가2배가 된다.
rec-279-dup-0,20,4,如果受到對手的招式攻擊給予該對手的傷害就會變成２倍
rec-279-dup-0,20,8,Mossa dattacco che infligge un danno doppiose si è stati colpiti dal Pokémon bersaglio nellostesso turno.
rec-279-dup-0,20,7,Ataque que produce el doble de daño si el usuarioresulta herido en el mismo turno.
rec-279-dup-0,20,1,あいてから　わざを　うけているとその　あいてに　たいしてあたえる　ダメージが　２ばいに　なる
rec-279-dup-0,20,6,Schaden verdoppelt sich wenn der Anwender in derRunde bereits Schaden durch das Ziel erlitten hat.
rec-279-dup-0,20,9,This attack moves power is doubled if the user hasbeen hurt by the opponent in the same turn.
rec-279-dup-0,20,5,Une attaque deux fois plus puissante si le lanceura été blessé par lennemi durant ce tour.
rec-279-dup-0,20,11,相手から　技を　受けているとその相手に　対して与える　ダメージが　２倍に　なる
rec-279-dup-0,20,12,如果受到对手的招式攻击就能给予对手２倍的伤害
rec-31-dup-1,20,5,Frappe lennemi deux à cinq fois daffilée avec un becou une corne par exemple.
rec-31-dup-1,20,11,つのや　くちばしで相手を　つついて　攻撃する２ー５回の　間　連続で　だす
rec-31-dup-1,20,12,用角或喙刺向对手进行攻击连续攻击２～５次
rec-31-dup-1,20,6,Spießt das Ziel zwei- bis fünfmal mit spitzem Hornoder Schnabel auf.
rec-31-dup-1,20,1,つのや　くちばしであいてを　つついて　こうげきする２ー５かいの　あいだ　れんぞくで　だす
rec-31-dup-1,20,8,Infilza il bersaglio con corna affilate o con il beccoda due a cinque volte di fila.
rec-31-dup-1,20,4,用角或喙刺向對手進行攻擊連續攻擊２～５次
rec-31-dup-1,20,9,The target is jabbed repeatedly with a horn or beaktwo to five times in a row.
rec-31-dup-1,20,7,Cornea al objetivo de dos a cinco veces.
rec-31-dup-1,20,3,뿔이나 부리로상대를 찔러서 공격한다.2-5회 동안 연속으로 쓴다.
rec-354-dup-1,20,6,Diese Attacke kann nicht eingesetzt werden. Du solltestdein Pokémon sie vergessen lassen. Beachte aberdass es sich danach nicht wieder an sie erinnern kann.
rec-354-dup-1,20,12,无法使用这个招式虽然忘记之后就再也想不起来了但还是建议忘记这个招式
rec-354-dup-1,20,4,無法使用此招式雖然忘記後將無法再想起來但還是建議忘記此招式
rec-354-dup-1,20,7,Este movimiento no se puede usar por lo que seríamejor olvidarlo aunque eso implique que no se puedarecordar posteriormente.
rec-354-dup-1,20,5,Cette capacité ne peut pas être utilisée.Il est recommandé de loublier même sil seraimpossible de se la remémorer une fois oubliée.
rec-354-dup-1,20,1,このわざは　つかえませんおもいだすことが　できなくなりますがわざを　わすれることを　おすすめします
rec-354-dup-1,20,9,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.
rec-354-dup-1,20,3,사용할 수 없는 기술입니다.다시 배우게 할 수 없지만기술을 잊게 하는 것을 권장합니다.
rec-354-dup-1,20,8,Questa mossa non può essere usata.È consigliabile farla dimenticare al Pokémon. Tuttaviauna volta dimenticata non potrà più essere ricordata.
rec-354-dup-1,20,11,この技は　使えません思い出すことが　できなくなりますが技を　忘れることを　おすすめします
rec-638-dup-0,20,11,この技は　使えません思い出すことが　できなくなりますが技を　忘れることを　おすすめします
rec-638-dup-0,20,12,无法使用这个招式虽然忘记之后就再也想不起来了但还是建议忘记这个招式
rec-638-dup-0,20,1,このわざは　つかえませんおもいだすことが　できなくなりますがわざを　わすれることを　おすすめします
rec-638-dup-0,20,5,Cette capacité ne peut pas être utilisée.Il est recommandé de loublier même sil seraimpossible de se la remémorer une fois oubliée.
rec-638-dup-0,20,9,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.
rec-638-dup-0,20,6,Diese Attacke kann nicht eingesetzt werden. Du solltestdein Pokémon sie vergessen lassen. Beachte aberdass es sich danach nicht wieder an sie erinnern kann.
rec-638-dup-0,20,8,Questa mossa non può essere usata.È consigliabile farla dimenticare al Pokémon. Tuttaviauna volta dimenticata non potrà più essere ricordata.
rec-638-dup-0,20,4,無法使用此招式雖然忘記後將無法再想起來但還是建議忘記此招式
rec-638-dup-0,20,3,사용할 수 없는 기술입니다.다시 배우게 할 수 없지만기술을 잊게 하는 것을 권장합니다.
rec-638-dup-0,20,7,Este movimiento no se puede usar por lo que seríamejor olvidarlo aunque eso implique que no se puedarecordar posteriormente.
rec-391-dup-0,20,6,Diese Attacke kann nicht eingesetzt werden. Du solltestdein Pokémon sie vergessen lassen. Beachte aberdass es sich danach nicht wieder an sie erinnern kann.
rec-391-dup-0,20,3,사용할 수 없는 기술입니다.다시 배우게 할 수 없지만기술을 잊게 하는 것을 권장합니다.
rec-391-dup-0,20,12,无法使用这个招式虽然忘记之后就再也想不起来了但还是建议忘记这个招式
rec-391-dup-0,20,7,Este movimiento no se puede usar por lo que seríamejor olvidarlo aunque eso implique que no se puedarecordar posteriormente.
rec-391-dup-0,20,5,Cette capacité ne peut pas être utilisée.Il est recommandé de loublier même sil seraimpossible de se la remémorer une fois oubliée.
rec-391-dup-0,20,4,無法使用此招式雖然忘記後將無法再想起來但還是建議忘記此招式
rec-391-dup-0,20,11,この技は　使えません思い出すことが　できなくなりますが技を　忘れることを　おすすめします
rec-391-dup-0,20,9,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.
rec-391-dup-0,20,1,このわざは　つかえませんおもいだすことが　できなくなりますがわざを　わすれることを　おすすめします
rec-391-dup-0,20,8,Questa mossa non può essere usata.È consigliabile farla dimenticare al Pokémon. Tuttaviauna volta dimenticata non potrà più essere ricordata.
rec-332-dup-0,20,5,Le lanceur prend lennemi de vitesse et le lacère.Néchoue jamais.
rec-332-dup-0,20,8,Chi la usa attacca il bersaglio a grande velocità.Questa mossa è infallibile.
rec-332-dup-0,20,7,El usuario lanza un ataque muy rápido e ineludible. 
rec-332-dup-0,20,1,すばやい　うごきであいてを　ほんろうして　きりつけるこうげきは　かならず　めいちゅう　する
rec-332-dup-0,20,3,재빠른 움직임으로상대를 농락해 벤다.공격은 반드시 명중한다.
rec-332-dup-0,20,4,以敏捷的動作戲弄對手後進行切斬攻擊必定會命中
rec-332-dup-0,20,11,素早い　動きで相手を　ほんろうして　切りつける攻撃は　必ず　命中する
rec-332-dup-0,20,9,The user confounds the target with speed thenslashes. This attack never misses.
rec-332-dup-0,20,12,以敏捷的动作戏弄对手后进行切斩攻击必定会命中
rec-332-dup-0,20,6,Eine extrem schnelle Attacke der das Ziel nichtausweichen kann.
rec-606-dup-1,20,11,ポケモンが　とってもハッピーな　あなたのことをお祝い　してくれる
rec-606-dup-1,20,7,El Pokémon te felicita en un día muy especial para ti. 
rec-606-dup-1,20,5,Le Pokémon vous souhaite plein de bonnes chosespour cet évènement spécial.
rec-606-dup-1,20,9,The Pokémon congratulates you on your special day
rec-606-dup-1,20,1,ポケモンが　とってもハッピーな　あなたのことをおいわい　してくれる
rec-606-dup-1,20,8,Il Pokémon ti fa gli auguri nel tuo giorno speciale.
rec-606-dup-1,20,3,포켓몬이 매우행복한 당신을축하해 준다.
rec-606-dup-1,20,12,宝可梦为十分开心的你庆祝
rec-606-dup-1,20,4,寶可夢會為了非常開心的你而慶祝
rec-606-dup-1,20,6,Das Pokémon gratuliert dir zu deinem Geburtstag
rec-603-dup-0,20,5,Utilisée pendant un combat multiplie par deux largentgagné à la fin.
rec-603-dup-0,20,8,Questa mossa raddoppia la ricompensa ricevutadopo aver vinto una lotta.
rec-603-dup-0,20,7,Al usar este movimiento se consigue duplicar la recompensa recibida tras el combate.
rec-603-dup-0,20,9,Using Happy Hour doubles the amount of prizemoney received after battle.
rec-603-dup-0,20,6,Nach Einsatz der Attacke Goldene Zeiten verdoppeltsich das Preisgeld das du im Falle eines Siegeserhältst.
rec-603-dup-0,20,4,使用歡樂時光後戰鬥結束時獲得的錢會加倍
rec-603-dup-0,20,12,如果使用欢乐时光战斗后得到的钱会翻倍
rec-603-dup-0,20,11,ハッピータイムの　技を　使うと戦闘の　あとで　もらえるお金が　倍になる
rec-603-dup-0,20,1,ハッピータイムの　わざを　つかうとせんとうの　あとで　もらえるおかねが　ばいになる
rec-603-dup-0,20,3,해피타임 기술을 쓰면배틀 후에 받을 수 있는돈이 배가 된다.
rec-473-dup-1,20,11,不思議な　念波を　実体化して相手を　攻撃する物理的な　ダメージを　与える
rec-473-dup-1,20,6,Anwender erzeugt eine seltsame Energiewelle die demZiel physischen Schaden zufügt.
rec-473-dup-1,20,4,將神奇的念力波實體化後攻擊對手給予對手物理傷害
rec-473-dup-1,20,12,将神奇的念波实体化攻击对手给予物理伤害
rec-473-dup-1,20,8,Chi la usa attacca il bersaglio facendo materializzaremisteriose onde psichiche che provocano danni fisici.
rec-473-dup-1,20,7,Crea una onda psíquica que causa daño físico al objetivo.
rec-473-dup-1,20,9,The user materializes an odd psychic wave to attackthe target. This attack does physical damage.
rec-473-dup-1,20,3,이상한 염력파를 실체화하여상대를 공격한다.물리적인 데미지를 준다.
rec-473-dup-1,20,5,Le lanceur matérialise des ondes mystérieusesquil projette sur lennemi. Inflige des dégâts physiques.
rec-473-dup-1,20,1,ふしぎな　ねんぱを　じったいかしてあいてを　こうげきするぶつりてきな　ダメージを　あたえる
rec-742-dup-0,20,11,胸の　ナットを　軸に　回転して２回　続けて　うでを　たたきつける相手を　ひるませる　ことが　ある
rec-742-dup-0,20,3,가슴의 너트를 축으로 회전시켜2번 연속 팔로 힘껏 친다.상대를 풀죽게 만들 때가 있다.
rec-742-dup-0,20,9,The user rotates centering the hex nut in its chestand then strikes with its arms twice in a row. This mayalso make the target flinch.
rec-742-dup-0,20,5,Le lanceur fait pivoter lécrou de sa poitrine deux foisdaffilée pour frapper ladversaire avec ses bras.Peut apeurer lennemi.
rec-742-dup-0,20,6,Der Anwender rotiert um die Schraubenmutter inseinem Brustkorb und schlägt zweimal hintereinandermit den Armen zu. Das Ziel schreckt eventuell zurück.
rec-742-dup-0,20,7,Usando la tuerca del pecho como eje gira sobre símismo y golpea con los brazos dos veces seguidas.Puede amedrentar al rival.
rec-742-dup-0,20,8,Chi la usa attacca il bersaglio due volte ruotando su sestesso e colpendolo con le braccia. Può anche farlotentennare.
rec-742-dup-0,20,1,むねの　ナットを　じくに　かいてんして２かい　つづけて　うでを　たたきつけるあいてを　ひるませる　ことが　ある
rec-742-dup-0,20,12,以胸口的螺帽为中心旋转并连续２次挥动手臂打击对手有时会使对手畏缩
rec-742-dup-0,20,4,以胸口的螺帽為軸心旋轉連續２次揮動手臂痛擊對手有時會使對手畏縮
rec-303-dup-0,20,8,Chi la usa si rilassa recuperando metà dei propriPS massimi.
rec-303-dup-0,20,6,Durch Müßiggang werden KP des Anwenders um 50 der maximalen KP aufgefüllt.
rec-303-dup-0,20,7,El usuario se relaja y restaura la mitad de sus PS máximos.
rec-303-dup-0,20,3,게으름 피우며 쉰다.자신의 HP를 최대 HP의절반만큼 회복한다.
rec-303-dup-0,20,12,偷懒休息回复自己最大ＨＰ的一半
rec-303-dup-0,20,4,偷懶休息回復自己最大ＨＰ的一半
rec-303-dup-0,20,5,Le lanceur se tourne les pouces et récupèrejusquà la moitié de ses PV max.
rec-303-dup-0,20,1,なまけて　やすむじぶんの　ＨＰを　さいだい　ＨＰのはんぶん　かいふく　する
rec-303-dup-0,20,9,The user slacks off restoring its own HP by up tohalf of its max HP.
rec-303-dup-0,20,11,怠けて　やすむ自分の　ＨＰを　最大ＨＰの半分　回復する
rec-664-dup-0,20,6,Durch Gesang erzeugte Blasen werden auf das Zielgeschleudert. Alle Pokémon die dadurch Schadenerleiden werden auch von Verbrennungen geheilt.
rec-664-dup-0,20,11,歌うことによって　たくさんのバルーンを　放出する技を　受けると　やけどが　治る
rec-664-dup-0,20,3,노래 부르는 것으로 많은벌룬을 방출한다.기술에 맞으면 화상이 낫는다.
rec-664-dup-0,20,7,Libera burbujas al cantar. Este movimiento cura lasquemaduras de los Pokémon que reciban daño.
rec-664-dup-0,20,5,Le lanceur émet plusieurs bulles en chantant.Soigne les brûlures des Pokémon touchés par ces bulles.
rec-664-dup-0,20,4,隨著歌聲放出許多水球受此招式攻擊時灼傷會被治癒
rec-664-dup-0,20,1,うたうことによって　たくさんのバルーンを　ほうしゅつするわざを　うけると　やけどが　なおる
rec-664-dup-0,20,12,随着唱歌会放出很多气球受到此招式攻击时灼伤会被治愈
rec-664-dup-0,20,8,Chi la usa si mette a cantare emettendo tantipalloncini dacqua. I Pokémon che subiscono dannida questa mossa guariscono dalle scottature.
rec-664-dup-0,20,9,The user bursts into song emitting many bubbles.Any Pokémon suffering from a burn will be healedby the touch of these bubbles.
rec-90-dup-1,20,1,じわれの　さけめにあいてを　おとして　こうげきするあたれば　いちげきで　ひんしに　する
rec-90-dup-1,20,8,Chi la usa crea una spaccatura nel terreno e cercadi gettarvici dentro il bersaglio. Se va a segnoil Pokémon colpito va KO.
rec-90-dup-1,20,4,讓對手掉進地面的裂縫中進行攻擊只要命中就會一擊瀕死
rec-90-dup-1,20,5,Le lanceur fait tomber lennemi dans une crevasse.Si cette attaque réussit elle met K.O. sur le coup.
rec-90-dup-1,20,11,地割れの　裂け目に相手を　落として　攻撃する当たれば　一撃で　ひんしに　する
rec-90-dup-1,20,9,The user opens up a fissure in the ground and dropsthe target in. The target faints instantly if thisattack hits.
rec-90-dup-1,20,12,让对手掉落于地裂的裂缝中进行攻击只要命中就会一击濒死
rec-90-dup-1,20,3,땅이 갈라진 곳에상대를 떨어뜨려 공격한다.맞으면 일격에 기절한다.
rec-90-dup-1,20,7,Abre una grieta en el suelo y mete al objetivo en ella. Fulmina en un golpe.
rec-90-dup-1,20,6,Das Ziel wird in eine Erdspalte geworfen. Ist die Attackeerfolgreich führt sie zu einem K.O.
rec-373-dup-0,20,3,사용할 수 없는 기술입니다.다시 배우게 할 수 없지만기술을 잊게 하는 것을 권장합니다.
rec-373-dup-0,20,5,Cette capacité ne peut pas être utilisée.Il est recommandé de loublier même sil seraimpossible de se la remémorer une fois oubliée.
rec-373-dup-0,20,8,Questa mossa non può essere usata.È consigliabile farla dimenticare al Pokémon. Tuttaviauna volta dimenticata non potrà più essere ricordata.
rec-373-dup-0,20,9,This move cant be used.Its recommended that this move is forgotten.Once forgotten this move cant be remembered.
rec-373-dup-0,20,11,この技は　使えません思い出すことが　できなくなりますが技を　忘れることを　おすすめします
rec-373-dup-0,20,4,無法使用此招式雖然忘記後將無法再想起來但還是建議忘記此招式
rec-373-dup-0,20,12,无法使用这个招式虽然忘记之后就再也想不起来了但还是建议忘记这个招式
rec-373-dup-0,20,6,Diese Attacke kann nicht eingesetzt werden. Du solltestdein Pokémon sie vergessen lassen. Beachte aberdass es sich danach nicht wieder an sie erinnern kann.
rec-373-dup-0,20,1,このわざは　つかえませんおもいだすことが　できなくなりますがわざを　わすれることを　おすすめします
rec-373-dup-0,20,7,Este movimiento no se puede usar por lo que seríamejor olvidarlo aunque eso implique que no se puedarecordar posteriormente.
rec-780-dup-1,20,5,Le lanceur attaque avec un ballon fait à partirdun caillou enflammé. Peut aussi brûler la cible.
rec-780-dup-1,20,12,点燃小石子形成火球攻击对手有时会使对手陷入灼伤状态
rec-780-dup-1,20,9,The user attacks by igniting a small stone and launchingit as a fiery ball at the target. This may also leave thetarget with a burn.
rec-780-dup-1,20,4,燃燒小石子形成火球攻擊對手有時會讓對手陷入灼傷狀態
rec-780-dup-1,20,1,こいしを　もやした　ほのおの　ボールであいてを　こうげきするやけど　じょうたいに　することが　ある
rec-780-dup-1,20,8,Chi la usa attacca con una palla creata incendiandouna piccola pietra. Può anche scottare il bersaglio.
rec-780-dup-1,20,11,小石を　燃やした　炎の　ボールで相手を　攻撃するやけど　状態に　することが　ある
rec-780-dup-1,20,7,El usuario prende una pequeña piedra para crear unabola de fuego con la que ataca al rival. Puede causarquemaduras.
rec-780-dup-1,20,6,Der Anwender greift mit einem Ball aus Feuer anden er durch Anzünden eines kleinen Steins erzeugt.Fügt dem Ziel eventuell Verbrennungen zu.
rec-780-dup-1,20,3,작은 돌을 태운 불꽃의 공으로상대를 공격한다.화상 상태로 만들 때가 있다.
rec-158-dup-1,20,1,するどい　まえばでつよく　かみついて　こうげきするあいてを　ひるませる　ことが　ある
rec-158-dup-1,20,7,Ataca con agudos colmillos. Puede amedrentar alobjetivo.
rec-158-dup-1,20,5,Le lanceur mord lennemi à laide de ses incisivesaiguisées. Peut aussi lapeurer.
rec-158-dup-1,20,12,用锋利的门牙牢牢地咬住对手进行攻击有时会使对手畏缩
rec-158-dup-1,20,8,Chi la usa morde il bersaglio con i suoi incisiviaffilati. Può anche farlo tentennare.
rec-158-dup-1,20,3,날카로운 앞니로강하게 물어서 공격한다.상대를 풀죽게 만들 때가 있다.
rec-158-dup-1,20,9,The user bites hard on the target with its sharpfront fangs. This may also make the target flinch.
rec-158-dup-1,20,6,Angriff mit scharfen Reißzähnen. Ziel schreckt eventuellzurück.
rec-158-dup-1,20,4,用銳利的門牙牢牢咬住對手進行攻擊有時會使對手畏縮
rec-158-dup-1,20,11,鋭い　前歯で強く　かみついて　攻撃する相手を　ひるませることが　ある
rec-796-dup-1,20,6,Der Anwender schießt Stahl den er in seinem ganzenKörper angesammelt hat in Form eines mächtigenStrahls ab. Dabei verletzt er sich auch selbst.
rec-796-dup-1,20,3,전신에서 끌어모은 강철을빔으로 바꿔 세차게 발사한다.자신도 데미지를 받는다.
rec-796-dup-1,20,8,Chi la usa utilizza lacciaio del proprio corpo persparare un violento raggio ma subisce danni.
rec-796-dup-1,20,12,将从全身聚集的钢铁化为光束激烈地发射出去自己也会受到伤害
rec-796-dup-1,20,9,The user fires a beam of steel that it collected from itsentire body. This also damages the user.
rec-796-dup-1,20,7,Utiliza el acero de su cuerpo para disparar un potenterayo. También hiere al agresor.
rec-796-dup-1,20,11,全身から　集めた　はがねをビームとして　激しく　撃ちだす自分も　ダメージを　受けてしまう
rec-796-dup-1,20,1,ぜんしんから　あつめた　はがねをビームとして　はげしく　うちだすじぶんも　ダメージを　うけてしまう
rec-796-dup-1,20,4,將從全身匯聚起來的鋼鐵化為光束激烈地發射出去自己也會受到傷害
rec-796-dup-1,20,5,Le lanceur concentre du métal issu de tout son corpsen un rayon quil projette violemment sur sa cible.Il subit aussi des dégâts.
rec-536-dup-0,20,11,鋭い　はっぱで　相手を包みこんで　攻撃する命中率を　さげることが　ある
rec-536-dup-0,20,8,Chi la usa avvolge e attacca il bersaglio con foglieaffilate che possono anche ridurne la precisione.
rec-536-dup-0,20,1,するどい　はっぱで　あいてをつつみこんで　こうげきするめいちゅうりつを　さげることが　ある
rec-536-dup-0,20,6,Anwender greift an indem er das Ziel in scharfesBlattwerk einwickelt. Kann die Genauigkeit des Zielessenken.
rec-536-dup-0,20,4,用銳利的葉子包圍住對手進行攻擊有時會降低對手的命中率
rec-536-dup-0,20,3,날카로운 잎사귀로 상대를둘러싸서 공격한다.명중률을 떨어뜨릴 때가 있다.
rec-536-dup-0,20,5,Lennemi est pris dans un tourbillon de feuilles acérées.Peut aussi baisser sa Précision.
rec-536-dup-0,20,9,The user attacks its target by encircling it in sharpleaves. This attack may also lower thetargets accuracy.
rec-536-dup-0,20,7,Tritura con afiladas hojas y puede bajar la Precisión delobjetivo.
rec-536-dup-0,20,12,用锋利的叶片包裹住对手进行攻击有时会降低对手的命中率
rec-213-dup-0,20,4,♂誘惑♀而♀誘惑♂讓對手著迷對手將難以使用招式
rec-213-dup-0,20,1,♂なら♀を　♀なら♂を　ゆうわくしてメロメロに　するあいては　わざが　だしにくく　なる
rec-213-dup-0,20,6,Wenn das Ziel nicht dem Geschlecht des Anwendersangehört fühlt es sich zu ihm hingezogen und greifteventuell nicht an.
rec-213-dup-0,20,8,Se il bersaglio è del sesso opposto sinfatuae diventa riluttante ad attaccare.
rec-213-dup-0,20,3,수컷은 암컷을 암컷은 수컷을 유혹하여헤롱헤롱하게 만든다.상대가 기술을 쓰기 어려워진다.
rec-213-dup-0,20,11,♂なら♀を　♀なら♂を　誘惑してメロメロに　する相手は　技が　だしにくくなる
rec-213-dup-0,20,7,Si el objetivo es del sexo opuesto se enamorará y bajará la posibilidad de que ataque.
rec-213-dup-0,20,9,If it is the opposite gender of the user the targetbecomes infatuated and less likely to attack.
rec-213-dup-0,20,5,Si lennemi est du sexe opposé il tombe amoureuxet rechigne alors à attaquer.
rec-213-dup-0,20,12,♂诱惑♀或♀诱惑♂让对手着迷对手将很难使出招式
rec-74-dup-0,20,11,体を　一気に大きく　生長させて攻撃と　特攻を　あげる
rec-74-dup-0,20,8,Provoca la crescita immediata del corpoe laumento dellAttacco e dellAttacco Specialedi chi la usa.
rec-74-dup-0,20,1,からだを　いっきにおおきく　せいちょう　させてこうげきと　とくこうを　あげる
rec-74-dup-0,20,12,让身体一下子长大从而提高攻击和特攻
rec-74-dup-0,20,3,몸을 일시에크게 성장시켜공격과 특수공격을 올린다.
rec-74-dup-0,20,6,Der Körper wächst. Dadurch steigen Angriff undSpezial-Angriff.
rec-74-dup-0,20,9,The users body grows all at once raising theAttack and Sp. Atk stats.
rec-74-dup-0,20,7,Hace que su cuerpo crezca a marchas forzadas con loque aumenta su Ataque y Ataque Especial.
rec-74-dup-0,20,4,讓身體瞬間長大提高自己的攻擊和特攻
rec-74-dup-0,20,5,Le corps du lanceur se développe.Augmente lAttaque et lAttaque Spéciale.
