item,local_language,name
rec-943-dup-1,5,Cryozélite
rec-943-dup-1,1,コオリＺ
rec-943-dup-1,3,얼음Z
rec-943-dup-1,6,Glacium Z
rec-943-dup-1,8,Glacium Z
rec-943-dup-1,11,コオリＺ
rec-678-dup-0,9,Colress Machine
rec-678-dup-0,4,阿克羅瑪機器
rec-678-dup-0,3,아크로마머신
rec-678-dup-0,12,阿克罗玛机器
rec-678-dup-0,1,アクロママシーン
rec-678-dup-0,5,Nikodule
rec-678-dup-0,11,アクロママシーン
rec-678-dup-0,6,Achromat
rec-678-dup-0,7,Acromáquina
rec-678-dup-0,8,Acrocongegno
rec-1525-dup-0,1,Lib5603
rec-1525-dup-0,8,Lib5603
rec-1525-dup-0,6,Lib5603
rec-1525-dup-0,12,Lib5603
rec-1525-dup-0,5,Lib5603
rec-1525-dup-0,7,Lib5603
rec-1525-dup-0,9,Lib5603
rec-1525-dup-0,11,Lib5603
rec-1525-dup-0,3,Lib5603
rec-1525-dup-0,4,Lib5603
rec-327-dup-0,11,わざマシン２３
rec-327-dup-0,4,招式學習器２３
rec-327-dup-0,7,MT23
rec-327-dup-0,5,CT23
rec-327-dup-0,6,TM23
rec-327-dup-0,8,MT23
rec-327-dup-0,9,TM23
rec-327-dup-0,3,기술머신23
rec-327-dup-0,12,招式学习器２３
rec-327-dup-0,1,わざマシン２３
rec-233-dup-1,7,Puño Suerte
rec-233-dup-1,6,Lucky Punch
rec-233-dup-1,8,Fortunpugno
rec-233-dup-1,5,Poing Chance
rec-233-dup-1,1,ラッキーパンチ
rec-233-dup-1,11,ラッキーパンチ
rec-233-dup-1,3,럭키펀치
rec-233-dup-1,12,吉利拳
rec-233-dup-1,4,吉利拳
rec-233-dup-1,9,Lucky Punch
rec-650-dup-0,8,Attacco X-6
rec-650-dup-0,9,X Attack 6
rec-650-dup-0,4,力量強化６
rec-650-dup-0,11,プラスパワー６
rec-650-dup-0,5,Attaque 6
rec-650-dup-0,6,X-Angriff 6
rec-650-dup-0,3,플러스파워6
rec-650-dup-0,1,プラスパワー６
rec-650-dup-0,12,力量强化６
rec-650-dup-0,7,Ataque X 6
rec-783-dup-1,1,アクアスーツ
rec-783-dup-1,8,Tuta Idro
rec-783-dup-1,9,Aqua Suit
rec-783-dup-1,5,Scaphandre Aqua
rec-783-dup-1,7,Traje Aqua
rec-783-dup-1,6,Aqua-Anzug
rec-783-dup-1,4,海洋裝
rec-783-dup-1,3,아쿠아슈트
rec-783-dup-1,12,海洋装
rec-783-dup-1,11,アクアスーツ
rec-1134-dup-1,12,超梦的糖果
rec-1134-dup-1,9,Mewtwo Candy
rec-1134-dup-1,11,ミュウツーのアメ
rec-1134-dup-1,3,뮤츠의사탕
rec-1134-dup-1,6,Mewtu-Bonbon
rec-1134-dup-1,7,Caramelo Mewtwo
rec-1134-dup-1,4,超夢的糖果
rec-1134-dup-1,1,ミュウツーのアメ
rec-1134-dup-1,5,Bonbon Mewtwo
rec-1134-dup-1,8,Caramella Mewtwo
rec-718-dup-0,1,フーディナイト
rec-718-dup-0,5,Alakazamite
rec-718-dup-0,9,Alakazite
rec-718-dup-0,4,胡地進化石
rec-718-dup-0,8,Alakazamite
rec-718-dup-0,11,フーディナイト
rec-718-dup-0,12,胡地进化石
rec-718-dup-0,7,Alakazamita
rec-718-dup-0,3,후디나이트
rec-718-dup-0,6,Simsalanit
rec-151-dup-0,5,Baie Tamato
rec-151-dup-0,6,Tamotbeere
rec-151-dup-0,1,マトマのみ
rec-151-dup-0,12,茄番果
rec-151-dup-0,9,Tamato Berry
rec-151-dup-0,7,Baya Tamate
rec-151-dup-0,11,マトマのみ
rec-151-dup-0,4,茄番果
rec-151-dup-0,3,토망열매
rec-151-dup-0,8,Baccamodoro
rec-975-dup-0,7,Ultranecrostal Z
rec-975-dup-0,5,Ultranécrozélite
rec-975-dup-0,8,Ultranecrozium Z
rec-975-dup-0,11,ウルトラネクロＺ
rec-975-dup-0,4,究極奈克洛Ｚ
rec-975-dup-0,6,Ultranecronium Z
rec-975-dup-0,1,ウルトラネクロＺ
rec-975-dup-0,12,究极奈克洛Ｚ
rec-975-dup-0,3,울트라네크로Z
rec-975-dup-0,9,Ultranecrozium Z
rec-1313-dup-0,9,Hi-tech Earbuds
rec-1313-dup-0,12,厉害耳塞
rec-1313-dup-0,4,厲害耳塞
rec-1313-dup-0,11,すごいみみせん
rec-1313-dup-0,8,Supertappi
rec-1313-dup-0,7,Supertapones
rec-1313-dup-0,3,대단한귀마개
rec-1313-dup-0,6,Top-Ohrenstöpsel
rec-1313-dup-0,5,Bouchons Audio
rec-1313-dup-0,1,すごいみみせん
rec-1440-dup-0,6,Cas403
rec-1440-dup-0,9,Cas403
rec-1440-dup-0,4,Cas403
rec-1440-dup-0,8,Cas403
rec-1440-dup-0,3,Cas403
rec-1440-dup-0,7,Cas403
rec-1440-dup-0,1,Cas403
rec-1440-dup-0,12,Cas403
rec-1440-dup-0,5,Cas403
rec-1440-dup-0,11,Cas403
rec-1653-dup-0,1,つめたいにんじん
rec-1653-dup-0,8,Carota algida
rec-1653-dup-0,4,冰蘿蔔
rec-1653-dup-0,3,차가운당근
rec-1653-dup-0,12,冰萝卜
rec-1653-dup-0,9,Iceroot Carrot
rec-1653-dup-0,5,Carotte Gelée
rec-1653-dup-0,6,Polarkarotte
rec-1653-dup-0,7,Zanahoria Nívea
rec-1653-dup-0,11,つめたいにんじん
rec-1478-dup-0,6,Cen5459
rec-1478-dup-0,5,Cen5459
rec-1478-dup-0,9,Cen5459
rec-1478-dup-0,3,Cen5459
rec-1478-dup-0,7,Cen5459
rec-1478-dup-0,11,Cen5459
rec-1478-dup-0,4,Cen5459
rec-1478-dup-0,8,Cen5459
rec-1478-dup-0,12,Cen5459
rec-1478-dup-0,1,Cen5459
rec-227-dup-1,4,龍之牙
rec-227-dup-1,1,りゅうのキバ
rec-227-dup-1,7,Colmillo Dragón
rec-227-dup-1,9,Dragon Fang
rec-227-dup-1,3,용의이빨
rec-227-dup-1,8,Dentedidrago
rec-227-dup-1,11,りゅうのキバ
rec-227-dup-1,12,龙之牙
rec-227-dup-1,5,Croc Dragon
rec-227-dup-1,6,Drachenzahn
rec-1120-dup-0,12,肯泰罗的糖果
rec-1120-dup-0,11,ケンタロスのアメ
rec-1120-dup-0,8,Caramella Tauros
rec-1120-dup-0,4,肯泰羅的糖果
rec-1120-dup-0,7,Caramelo Tauros
rec-1120-dup-0,5,Bonbon Tauros
rec-1120-dup-0,3,켄타로스의사탕
rec-1120-dup-0,9,Tauros Candy
rec-1120-dup-0,6,Tauros-Bonbon
rec-1120-dup-0,1,ケンタロスのアメ
rec-973-dup-0,8,Solgaleium Z
rec-973-dup-0,7,Solgaleostal Z
rec-973-dup-0,11,ソルガレオＺ
rec-973-dup-0,3,솔가레오Z
rec-973-dup-0,5,Solgazélite
rec-973-dup-0,12,索尔迦雷欧Ｚ
rec-973-dup-0,4,索爾迦雷歐Ｚ
rec-973-dup-0,9,Solganium Z
rec-973-dup-0,1,ソルガレオＺ
rec-973-dup-0,6,Solgalium Z
rec-1576-dup-0,8,Per1131
rec-1576-dup-0,6,Per1131
rec-1576-dup-0,4,Per1131
rec-1576-dup-0,9,Per1131
rec-1576-dup-0,12,Per1131
rec-1576-dup-0,5,Per1131
rec-1576-dup-0,11,Per1131
rec-1576-dup-0,1,Per1131
rec-1576-dup-0,7,Per1131
rec-1576-dup-0,3,Per1131
rec-1294-dup-0,11,わんぱくミント
rec-1294-dup-0,9,Impish Mint
rec-1294-dup-0,3,장난꾸러기민트
rec-1294-dup-0,6,Pfiffig-Minze
rec-1294-dup-0,12,淘气薄荷
rec-1294-dup-0,1,わんぱくミント
rec-1294-dup-0,8,Menta Scaltra
rec-1294-dup-0,5,Aromate Malin
rec-1294-dup-0,4,淘氣薄荷
rec-1294-dup-0,7,Menta Agitada
rec-796-dup-0,11,チルタリスナイト
rec-796-dup-0,3,파비코리나이트
rec-796-dup-0,1,チルタリスナイト
rec-796-dup-0,9,Altarianite
rec-796-dup-0,4,七夕青鳥進化石
rec-796-dup-0,6,Altarianit
rec-796-dup-0,8,Altarite
rec-796-dup-0,12,七夕青鸟进化石
rec-796-dup-0,5,Altarite
rec-796-dup-0,7,Altarianita
rec-1134-dup-0,12,超梦的糖果
rec-1134-dup-0,9,Mewtwo Candy
rec-1134-dup-0,11,ミュウツーのアメ
rec-1134-dup-0,3,뮤츠의사탕
rec-1134-dup-0,6,Mewtu-Bonbon
rec-1134-dup-0,7,Caramelo Mewtwo
rec-1134-dup-0,4,超夢的糖果
rec-1134-dup-0,1,ミュウツーのアメ
rec-1134-dup-0,5,Bonbon Mewtwo
rec-1134-dup-0,8,Caramella Mewtwo
rec-899-dup-0,1,サイコシード
rec-899-dup-0,11,サイコシード
rec-899-dup-0,9,Psychic Seed
rec-899-dup-0,6,Psycho-Samen
rec-899-dup-0,12,精神种子
rec-899-dup-0,4,精神種子
rec-899-dup-0,5,Graine Psychique
rec-899-dup-0,3,사이코시드
rec-899-dup-0,8,Psicoseme
rec-899-dup-0,7,Semilla Psique
rec-128-dup-0,11,モモンのみ
rec-128-dup-0,9,Pecha Berry
rec-128-dup-0,3,복슝열매
rec-128-dup-0,1,モモンのみ
rec-128-dup-0,8,Baccapesca
rec-128-dup-0,6,Pirsifbeere
rec-128-dup-0,7,Baya Meloc
rec-128-dup-0,12,桃桃果
rec-128-dup-0,4,桃桃果
rec-128-dup-0,5,Baie Pêcha
rec-147-dup-1,3,시마열매
rec-147-dup-1,12,藻根果
rec-147-dup-1,4,藻根果
rec-147-dup-1,1,ネコブのみ
rec-147-dup-1,8,Baccalga
rec-147-dup-1,7,Baya Algama
rec-147-dup-1,6,Setangbeere
rec-147-dup-1,9,Kelpsy Berry
rec-147-dup-1,11,ネコブのみ
rec-147-dup-1,5,Baie Alga
rec-533-dup-0,6,Brief an Troy
rec-533-dup-0,8,Lettera
rec-533-dup-0,11,ダイゴへのてがみ
rec-533-dup-0,12,给大吾的信
rec-533-dup-0,3,성호에게줄편지
rec-533-dup-0,1,ダイゴへのてがみ
rec-533-dup-0,5,Lettre à Pierre
rec-533-dup-0,9,Letter
rec-533-dup-0,7,Carta a Máximo
rec-533-dup-0,4,給大吾的信
rec-921-dup-0,7,Llave Sótano
rec-921-dup-0,12,地下钥匙
rec-921-dup-0,3,지하의열쇠
rec-921-dup-0,9,Basement Key
rec-921-dup-0,5,Clé Sous-Sol
rec-921-dup-0,11,ちかのかぎ
rec-921-dup-0,1,ちかのかぎ
rec-921-dup-0,8,Chiave sotterr.
rec-921-dup-0,6,Kelleröffner
rec-921-dup-0,4,地下鑰匙
rec-1218-dup-1,7,DT30
rec-1218-dup-1,4,招式紀錄３０
rec-1218-dup-1,9,TR30
rec-1218-dup-1,6,TP30
rec-1218-dup-1,11,わざレコード３０
rec-1218-dup-1,5,DT30
rec-1218-dup-1,1,わざレコード３０
rec-1218-dup-1,8,DT30
rec-1218-dup-1,3,기술레코드30
rec-1218-dup-1,12,招式记录３０
rec-234-dup-0,8,Metalpolvere
rec-234-dup-0,12,金属粉
rec-234-dup-0,3,금속파우더
rec-234-dup-0,5,Poudre Métal
rec-234-dup-0,1,メタルパウダー
rec-234-dup-0,4,金屬粉
rec-234-dup-0,9,Metal Powder
rec-234-dup-0,6,Metallstaub
rec-234-dup-0,11,メタルパウダー
rec-234-dup-0,7,Polvo Metálico
rec-1646-dup-0,7,Leyenda 3
rec-1646-dup-0,11,でんせつのメモ３
rec-1646-dup-0,9,Legendary Clue 3
rec-1646-dup-0,5,Note Légende 3
rec-1646-dup-0,6,Legenden-Notiz 3
rec-1646-dup-0,4,傳說筆記３
rec-1646-dup-0,3,전설의메모3
rec-1646-dup-0,12,传说笔记３
rec-1646-dup-0,1,でんせつのメモ３
rec-1646-dup-0,8,Leggenda 3
rec-237-dup-0,5,Foulard Rouge
rec-237-dup-0,3,빨강밴드
rec-237-dup-0,7,Pañuelo Rojo
rec-237-dup-0,1,あかいバンダナ
rec-237-dup-0,8,Fascia Rossa
rec-237-dup-0,4,紅色頭巾
rec-237-dup-0,6,Roter Schal
rec-237-dup-0,11,あかいバンダナ
rec-237-dup-0,12,红色头巾
rec-237-dup-0,9,Red Scarf
rec-796-dup-1,11,チルタリスナイト
rec-796-dup-1,3,파비코리나이트
rec-796-dup-1,1,チルタリスナイト
rec-796-dup-1,9,Altarianite
rec-796-dup-1,4,七夕青鳥進化石
rec-796-dup-1,6,Altarianit
rec-796-dup-1,8,Altarite
rec-796-dup-1,12,七夕青鸟进化石
rec-796-dup-1,5,Altarite
rec-796-dup-1,7,Altarianita
rec-475-dup-1,5,Carte Magnétique
rec-475-dup-1,12,钥匙卡
rec-475-dup-1,3,카드키
rec-475-dup-1,11,カードキー
rec-475-dup-1,8,Apriporta
rec-475-dup-1,9,Card Key
rec-475-dup-1,7,Llave Magnética
rec-475-dup-1,1,カードキー
rec-475-dup-1,4,鑰匙卡
rec-475-dup-1,6,Schlüsselkarte
rec-739-dup-0,7,Mega-Aro
rec-739-dup-0,9,Mega Ring
rec-739-dup-0,12,超级环
rec-739-dup-0,11,メガリング
rec-739-dup-0,3,메가링
rec-739-dup-0,8,Megacerchio
rec-739-dup-0,6,Mega-Ring
rec-739-dup-0,5,Méga-Anneau
rec-739-dup-0,1,メガリング
rec-739-dup-0,4,超級環
rec-280-dup-0,4,拳頭石板
rec-280-dup-0,3,주먹플레이트
rec-280-dup-0,9,Fist Plate
rec-280-dup-0,7,Tabla Fuerte
rec-280-dup-0,5,Plaque Poing
rec-280-dup-0,8,Lastrapugno
rec-280-dup-0,1,こぶしのプレート
rec-280-dup-0,11,こぶしのプレート
rec-280-dup-0,12,拳头石板
rec-280-dup-0,6,Fausttafel
rec-749-dup-1,4,招式學習器１００
rec-749-dup-1,12,招式学习器１００
rec-749-dup-1,8,MT100
rec-749-dup-1,5,CT100
rec-749-dup-1,6,TM100
rec-749-dup-1,3,기술머신100
rec-749-dup-1,9,TM100
rec-749-dup-1,7,MT100
rec-749-dup-1,11,わざマシン１００
rec-749-dup-1,1,わざマシン１００
rec-418-dup-1,9,Red Chain
rec-418-dup-1,8,Rossocatena
rec-418-dup-1,5,Chaîne Rouge
rec-418-dup-1,6,Rote Kette
rec-418-dup-1,7,Cadena Roja
rec-418-dup-1,12,红色锁链
rec-418-dup-1,11,あかいくさり
rec-418-dup-1,1,あかいくさり
rec-418-dup-1,4,紅色鎖鏈
rec-418-dup-1,3,빨강쇠사슬
rec-1423-dup-1,11,Vir5107
rec-1423-dup-1,6,Vir5107
rec-1423-dup-1,12,Vir5107
rec-1423-dup-1,3,Vir5107
rec-1423-dup-1,1,Vir5107
rec-1423-dup-1,5,Vir5107
rec-1423-dup-1,9,Vir5107
rec-1423-dup-1,4,Vir5107
rec-1423-dup-1,8,Vir5107
rec-1423-dup-1,7,Vir5107
rec-1551-dup-1,11,Peg39
rec-1551-dup-1,3,Peg39
rec-1551-dup-1,4,Peg39
rec-1551-dup-1,5,Peg39
rec-1551-dup-1,12,Peg39
rec-1551-dup-1,6,Peg39
rec-1551-dup-1,1,Peg39
rec-1551-dup-1,7,Peg39
rec-1551-dup-1,8,Peg39
rec-1551-dup-1,9,Peg39
rec-1177-dup-0,3,탈출팩
rec-1177-dup-0,6,Fluchttasche
rec-1177-dup-0,5,Sac Fuite
rec-1177-dup-0,8,Zainofuga
rec-1177-dup-0,4,避難背包
rec-1177-dup-0,9,Eject Pack
rec-1177-dup-0,7,Mochila Escape
rec-1177-dup-0,1,だっしゅつパック
rec-1177-dup-0,12,避难背包
rec-1177-dup-0,11,だっしゅつパック
rec-400-dup-0,3,비전머신04
rec-400-dup-0,7,MO04
rec-400-dup-0,6,VM04
rec-400-dup-0,5,CS04
rec-400-dup-0,4,秘傳學習器０４
rec-400-dup-0,11,ひでんマシン０４
rec-400-dup-0,9,HM04
rec-400-dup-0,1,ひでんマシン０４
rec-400-dup-0,12,秘传学习器０４
rec-400-dup-0,8,MN04
rec-1107-dup-0,11,ドガースのアメ
rec-1107-dup-0,12,瓦斯弹的糖果
rec-1107-dup-0,9,Koffing Candy
rec-1107-dup-0,5,Bonbon Smogo
rec-1107-dup-0,6,Smogon-Bonbon
rec-1107-dup-0,8,Caramella Koffing
rec-1107-dup-0,1,ドガースのアメ
rec-1107-dup-0,3,또가스의사탕
rec-1107-dup-0,7,Caramelo Koffing
rec-1107-dup-0,4,瓦斯彈的糖果
rec-1313-dup-1,9,Hi-tech Earbuds
rec-1313-dup-1,12,厉害耳塞
rec-1313-dup-1,4,厲害耳塞
rec-1313-dup-1,11,すごいみみせん
rec-1313-dup-1,8,Supertappi
rec-1313-dup-1,7,Supertapones
rec-1313-dup-1,3,대단한귀마개
rec-1313-dup-1,6,Top-Ohrenstöpsel
rec-1313-dup-1,5,Bouchons Audio
rec-1313-dup-1,1,すごいみみせん
rec-1334-dup-0,5,And390
rec-1334-dup-0,7,And390
rec-1334-dup-0,3,And390
rec-1334-dup-0,11,And390
rec-1334-dup-0,1,And390
rec-1334-dup-0,8,And390
rec-1334-dup-0,12,And390
rec-1334-dup-0,4,And390
rec-1334-dup-0,6,And390
rec-1334-dup-0,9,And390
rec-452-dup-0,3,헤비볼
rec-452-dup-0,9,Heavy Ball
rec-452-dup-0,8,Peso Ball
rec-452-dup-0,12,沉重球
rec-452-dup-0,4,沉重球
rec-452-dup-0,6,Schwerball
rec-452-dup-0,11,ヘビーボール
rec-452-dup-0,7,Peso Ball
rec-452-dup-0,5,Masse Ball
rec-452-dup-0,1,ヘビーボール
rec-1622-dup-0,1,CVn4915
rec-1622-dup-0,9,CVn4915
rec-1622-dup-0,8,CVn4915
rec-1622-dup-0,12,CVn4915
rec-1622-dup-0,7,CVn4915
rec-1622-dup-0,5,CVn4915
rec-1622-dup-0,6,CVn4915
rec-1622-dup-0,4,CVn4915
rec-1622-dup-0,11,CVn4915
rec-1622-dup-0,3,CVn4915
rec-95-dup-0,3,무럭무럭비료
rec-95-dup-0,5,Fertipousse
rec-95-dup-0,8,Fertilrapido
rec-95-dup-0,1,すくすくこやし
rec-95-dup-0,9,Growth Mulch
rec-95-dup-0,7,Abono Rápido
rec-95-dup-0,11,すくすくこやし
rec-95-dup-0,4,速速肥
rec-95-dup-0,6,Wachsmulch
rec-95-dup-0,12,速速肥
rec-586-dup-1,6,Zielscheibe
rec-586-dup-1,7,Blanco
rec-586-dup-1,4,標靶
rec-586-dup-1,8,Facilsaglio
rec-586-dup-1,1,ねらいのまと
rec-586-dup-1,3,겨냥표적
rec-586-dup-1,5,Point de Mire
rec-586-dup-1,11,ねらいのまと
rec-586-dup-1,12,标靶
rec-586-dup-1,9,Ring Target
rec-5-dup-0,1,サファリボール
rec-5-dup-0,3,사파리볼
rec-5-dup-0,5,Safari Ball
rec-5-dup-0,8,Safari Ball
rec-5-dup-0,4,狩獵球
rec-5-dup-0,9,Safari Ball
rec-5-dup-0,7,Safari Ball
rec-5-dup-0,11,サファリボール
rec-5-dup-0,12,狩猎球
rec-5-dup-0,6,Safariball
rec-614-dup-1,5,Fossile Plume
rec-614-dup-1,1,はねのカセキ
rec-614-dup-1,6,Federfossil
rec-614-dup-1,8,Fossilpiuma
rec-614-dup-1,7,Fósil Pluma
rec-614-dup-1,3,날개화석
rec-614-dup-1,9,Plume Fossil
rec-614-dup-1,11,はねのカセキ
rec-614-dup-1,12,羽毛化石
rec-614-dup-1,4,羽毛化石
rec-659-dup-1,9,TM93
rec-659-dup-1,3,기술머신93
rec-659-dup-1,1,わざマシン９３
rec-659-dup-1,12,招式学习器９３
rec-659-dup-1,11,わざマシン９３
rec-659-dup-1,8,MT93
rec-659-dup-1,5,CT93
rec-659-dup-1,4,招式學習器９３
rec-659-dup-1,6,TM93
rec-659-dup-1,7,MT93
rec-428-dup-0,8,Chiave Suite
rec-428-dup-0,3,룸키
rec-428-dup-0,7,Llave Suite
rec-428-dup-0,9,Suite Key
rec-428-dup-0,5,Clé Chambre
rec-428-dup-0,12,房间钥匙
rec-428-dup-0,1,ルームキー
rec-428-dup-0,6,B-Schlüssel
rec-428-dup-0,11,ルームキー
rec-428-dup-0,4,房間鑰匙
rec-536-dup-0,6,Wüstenbrille
rec-536-dup-0,7,Gafas Aislantes
rec-536-dup-0,9,Go-Goggles
rec-536-dup-0,8,Occhialoni
rec-536-dup-0,1,ゴーゴーゴーグル
rec-536-dup-0,3,고고고글
rec-536-dup-0,12,ＧＯＧＯ护目镜
rec-536-dup-0,11,ゴーゴーゴーグル
rec-536-dup-0,4,ＧＯＧＯ護目鏡
rec-536-dup-0,5,Lunettes Sable
rec-797-dup-0,5,Gallamite
rec-797-dup-0,12,艾路雷朵进化石
rec-797-dup-0,8,Galladite
rec-797-dup-0,1,エルレイドナイト
rec-797-dup-0,11,エルレイドナイト
rec-797-dup-0,6,Galagladinit
rec-797-dup-0,4,艾路雷朵進化石
rec-797-dup-0,7,Galladita
rec-797-dup-0,9,Galladite
rec-797-dup-0,3,엘레이드나이트
rec-1497-dup-1,3,Sco5953
rec-1497-dup-1,12,Sco5953
rec-1497-dup-1,9,Sco5953
rec-1497-dup-1,1,Sco5953
rec-1497-dup-1,11,Sco5953
rec-1497-dup-1,8,Sco5953
rec-1497-dup-1,6,Sco5953
rec-1497-dup-1,7,Sco5953
rec-1497-dup-1,5,Sco5953
rec-1497-dup-1,4,Sco5953
rec-964-dup-0,3,이브이Z
rec-964-dup-0,5,Évolizélite
rec-964-dup-0,11,イーブイＺ
rec-964-dup-0,9,Eevium Z
rec-964-dup-0,6,Evolium Z
rec-964-dup-0,12,伊布Ｚ
rec-964-dup-0,4,伊布Ｚ
rec-964-dup-0,1,イーブイＺ
rec-964-dup-0,8,Eevium Z
rec-964-dup-0,7,Eeveestal Z
rec-1506-dup-0,5,Sco5928
rec-1506-dup-0,11,Sco5928
rec-1506-dup-0,7,Sco5928
rec-1506-dup-0,9,Sco5928
rec-1506-dup-0,4,Sco5928
rec-1506-dup-0,3,Sco5928
rec-1506-dup-0,6,Sco5928
rec-1506-dup-0,8,Sco5928
rec-1506-dup-0,12,Sco5928
rec-1506-dup-0,1,Sco5928
rec-1432-dup-0,9,Ori1948
rec-1432-dup-0,6,Ori1948
rec-1432-dup-0,3,Ori1948
rec-1432-dup-0,5,Ori1948
rec-1432-dup-0,7,Ori1948
rec-1432-dup-0,12,Ori1948
rec-1432-dup-0,8,Ori1948
rec-1432-dup-0,11,Ori1948
rec-1432-dup-0,1,Ori1948
rec-1432-dup-0,4,Ori1948
rec-1258-dup-1,6,TP70
rec-1258-dup-1,1,わざレコード７０
rec-1258-dup-1,12,招式记录７０
rec-1258-dup-1,9,TR70
rec-1258-dup-1,7,DT70
rec-1258-dup-1,8,DT70
rec-1258-dup-1,11,わざレコード７０
rec-1258-dup-1,4,招式紀錄７０
rec-1258-dup-1,5,DT70
rec-1258-dup-1,3,기술레코드70
rec-845-dup-0,12,卡比兽Ｚ
rec-845-dup-0,3,잠만보Z
rec-845-dup-0,8,Snorlactium Z
rec-845-dup-0,7,Snorlastal Z
rec-845-dup-0,5,Ronflézélite
rec-845-dup-0,4,卡比獸Ｚ
rec-845-dup-0,1,カビゴンＺ
rec-845-dup-0,6,Relaxonium Z
rec-845-dup-0,9,Snorlium Z
rec-845-dup-0,11,カビゴンＺ
rec-6-dup-0,5,Filet Ball
rec-6-dup-0,1,ネットボール
rec-6-dup-0,7,Malla Ball
rec-6-dup-0,6,Netzball
rec-6-dup-0,12,捕网球
rec-6-dup-0,9,Net Ball
rec-6-dup-0,4,捕網球
rec-6-dup-0,11,ネットボール
rec-6-dup-0,3,넷트볼
rec-6-dup-0,8,Rete Ball
rec-1150-dup-0,11,キノコパック
rec-1150-dup-0,8,Funghi
rec-1150-dup-0,7,Setas
