move,local_language,name
rec-473-dup-1,12,精神冲击
rec-473-dup-1,3,사이코쇼크
rec-742-dup-0,9,Double Iron Bash
rec-742-dup-0,8,Pugni Corazzati
rec-742-dup-0,4,鋼拳雙擊
rec-742-dup-0,11,ダブルパンツァー
rec-742-dup-0,5,Écrous dPoing
rec-742-dup-0,12,钢拳双击
rec-742-dup-0,1,ダブルパンツァー
rec-742-dup-0,7,Ferropuño Doble
rec-742-dup-0,6,Panzerfäuste
rec-742-dup-0,3,더블펀처
rec-303-dup-0,12,偷懒
rec-303-dup-0,1,なまける
rec-303-dup-0,9,Slack Off
rec-303-dup-0,4,偷懶
rec-303-dup-0,8,Pigro
rec-303-dup-0,6,Tagedieb
rec-303-dup-0,3,태만함
rec-303-dup-0,5,Paresse
rec-303-dup-0,11,なまける
rec-303-dup-0,7,Relajo
rec-664-dup-0,1,うたかたのアリア
rec-664-dup-0,5,Aria de lÉcume
rec-664-dup-0,7,Aria Burbuja
rec-664-dup-0,3,물거품아리아
rec-664-dup-0,4,泡影的詠歎調
rec-664-dup-0,9,Sparkling Aria
rec-664-dup-0,12,泡影的咏叹调
rec-664-dup-0,11,うたかたのアリア
rec-664-dup-0,6,Schaumserenade
rec-664-dup-0,8,Canto Effimero
rec-90-dup-1,8,Abisso
rec-90-dup-1,9,Fissure
rec-90-dup-1,5,Abîme
rec-90-dup-1,3,땅가르기
rec-90-dup-1,1,じわれ
rec-90-dup-1,6,Geofissur
rec-90-dup-1,11,じわれ
rec-90-dup-1,4,地裂
rec-90-dup-1,7,Fisura
rec-90-dup-1,12,地裂
rec-373-dup-0,4,查封
rec-373-dup-0,6,Itemsperre
rec-373-dup-0,8,Divieto
rec-373-dup-0,3,금제
rec-373-dup-0,7,Embargo
rec-373-dup-0,11,さしおさえ
rec-373-dup-0,9,Embargo
rec-373-dup-0,1,さしおさえ
rec-373-dup-0,12,查封
rec-373-dup-0,5,Embargo
rec-780-dup-1,4,火焰球
rec-780-dup-1,12,火焰球
rec-780-dup-1,6,Feuerball
rec-780-dup-1,7,Balón Ígneo
rec-780-dup-1,3,화염볼
rec-780-dup-1,9,Pyro Ball
rec-780-dup-1,1,かえんボール
rec-780-dup-1,5,Ballon Brûlant
rec-780-dup-1,11,かえんボール
rec-780-dup-1,8,Palla Infuocata
rec-158-dup-1,7,Hipercolmillo
rec-158-dup-1,9,Hyper Fang
rec-158-dup-1,11,ひっさつまえば
rec-158-dup-1,6,Hyperzahn
rec-158-dup-1,12,必杀门牙
rec-158-dup-1,4,必殺門牙
rec-158-dup-1,1,ひっさつまえば
rec-158-dup-1,3,필살앞니
rec-158-dup-1,5,Croc de Mort
rec-158-dup-1,8,Iperzanna
rec-796-dup-1,1,てっていこうせん
rec-796-dup-1,12,铁蹄光线
rec-796-dup-1,7,Metaláser
rec-796-dup-1,6,Stahlstrahl
rec-796-dup-1,11,てっていこうせん
rec-796-dup-1,5,Métalaser
rec-796-dup-1,8,Raggio dAcciaio
rec-796-dup-1,9,Steel Beam
rec-796-dup-1,3,철제광선
rec-796-dup-1,4,鐵蹄光線
rec-536-dup-0,12,青草搅拌器
rec-536-dup-0,9,Leaf Tornado
rec-536-dup-0,8,Vorticerba
rec-536-dup-0,11,グラスミキサー
rec-536-dup-0,3,그래스믹서
rec-536-dup-0,4,青草攪拌器
rec-536-dup-0,1,グラスミキサー
rec-536-dup-0,5,Phytomixeur
rec-536-dup-0,6,Grasmixer
rec-536-dup-0,7,Ciclón de Hojas
rec-213-dup-0,12,迷人
rec-213-dup-0,5,Attraction
rec-213-dup-0,9,Attract
rec-213-dup-0,6,Anziehung
rec-213-dup-0,4,迷人
rec-213-dup-0,3,헤롱헤롱
rec-213-dup-0,7,Atracción
rec-213-dup-0,1,メロメロ
rec-213-dup-0,8,Attrazione
rec-213-dup-0,11,メロメロ
rec-74-dup-0,1,せいちょう
rec-74-dup-0,6,Wachstum
rec-74-dup-0,12,生长
rec-74-dup-0,7,Desarrollo
rec-74-dup-0,11,せいちょう
rec-74-dup-0,3,성장
rec-74-dup-0,5,Croissance
rec-74-dup-0,9,Growth
rec-74-dup-0,8,Crescita
rec-74-dup-0,4,生長
rec-544-dup-0,7,Rueda Doble
rec-544-dup-0,3,기어소서
rec-544-dup-0,11,ギアソーサー
rec-544-dup-0,6,Klikkdiskus
rec-544-dup-0,12,齿轮飞盘
rec-544-dup-0,9,Gear Grind
rec-544-dup-0,4,齒輪飛盤
rec-544-dup-0,8,Ingracolpo
rec-544-dup-0,1,ギアソーサー
rec-544-dup-0,5,Lancécrou
rec-570-dup-0,9,Parabolic Charge
rec-570-dup-0,8,Caricaparabola
rec-570-dup-0,11,パラボラチャージ
rec-570-dup-0,3,파라볼라차지
rec-570-dup-0,12,抛物面充电
rec-570-dup-0,4,拋物面充電
rec-570-dup-0,1,パラボラチャージ
rec-570-dup-0,7,Carga Parábola
rec-570-dup-0,6,Parabolladung
rec-570-dup-0,5,Parabocharge
rec-244-dup-0,5,Boost
rec-244-dup-0,12,自我暗示
rec-244-dup-0,9,Psych Up
rec-244-dup-0,1,じこあんじ
rec-244-dup-0,7,Más Psique
rec-244-dup-0,4,自我暗示
rec-244-dup-0,3,자기암시
rec-244-dup-0,11,じこあんじ
rec-244-dup-0,6,Psycho-Plus
rec-244-dup-0,8,Psicamisù
rec-531-dup-0,9,Heart Stamp
rec-531-dup-0,6,Herzstempel
rec-531-dup-0,3,하트스탬프
rec-531-dup-0,11,ハートスタンプ
rec-531-dup-0,12,爱心印章
rec-531-dup-0,7,Arrumaco
rec-531-dup-0,5,Crève-Cœur
rec-531-dup-0,1,ハートスタンプ
rec-531-dup-0,4,愛心印章
rec-531-dup-0,8,Cuorestampo
rec-134-dup-0,9,Kinesis
rec-134-dup-0,5,Télékinésie
rec-134-dup-0,3,숟가락휘기
rec-134-dup-0,8,Cinèsi
rec-134-dup-0,6,Psykraft
rec-134-dup-0,1,スプーンまげ
rec-134-dup-0,4,折彎湯匙
rec-134-dup-0,12,折弯汤匙
rec-134-dup-0,7,Kinético
rec-134-dup-0,11,スプーンまげ
rec-588-dup-1,11,キングシールド
rec-588-dup-1,6,Königsschild
rec-588-dup-1,8,Scudo Reale
rec-588-dup-1,4,王者盾牌
rec-588-dup-1,1,キングシールド
rec-588-dup-1,5,Bouclier Royal
rec-588-dup-1,9,Kings Shield
rec-588-dup-1,3,킹실드
rec-588-dup-1,12,王者盾牌
rec-588-dup-1,7,Escudo Real
rec-77-dup-0,11,どくのこな
rec-77-dup-0,4,毒粉
rec-77-dup-0,3,독가루
rec-77-dup-0,12,毒粉
rec-77-dup-0,7,Polvo Veneno
rec-77-dup-0,8,Velenpolvere
rec-77-dup-0,9,Poison Powder
rec-77-dup-0,5,Poudre Toxik
rec-77-dup-0,1,どくのこな
rec-77-dup-0,6,Giftpuder
rec-177-dup-0,1,エアロブラスト
rec-177-dup-0,11,エアロブラスト
rec-177-dup-0,4,氣旋攻擊
rec-177-dup-0,6,Luftstoß
rec-177-dup-0,9,Aeroblast
rec-177-dup-0,8,Aerocolpo
rec-177-dup-0,7,Aerochorro
rec-177-dup-0,3,에어로블라스트
rec-177-dup-0,12,气旋攻击
rec-177-dup-0,5,Aéroblast
rec-796-dup-0,1,てっていこうせん
rec-796-dup-0,12,铁蹄光线
rec-796-dup-0,7,Metaláser
rec-796-dup-0,6,Stahlstrahl
rec-796-dup-0,11,てっていこうせん
rec-796-dup-0,5,Métalaser
rec-796-dup-0,8,Raggio dAcciaio
rec-796-dup-0,9,Steel Beam
rec-796-dup-0,3,철제광선
rec-796-dup-0,4,鐵蹄光線
rec-301-dup-0,1,アイスボール
rec-301-dup-0,12,冰球
rec-301-dup-0,6,Frostbeule
rec-301-dup-0,5,BallGlace
rec-301-dup-0,9,Ice Ball
rec-301-dup-0,4,冰球
rec-301-dup-0,11,アイスボール
rec-301-dup-0,7,Bola Hielo
rec-301-dup-0,8,Palla Gelo
rec-301-dup-0,3,아이스볼
rec-253-dup-0,12,吵闹
rec-253-dup-0,1,さわぐ
rec-253-dup-0,7,Alboroto
rec-253-dup-0,3,소란피기
rec-253-dup-0,9,Uproar
rec-253-dup-0,11,さわぐ
rec-253-dup-0,8,Baraonda
rec-253-dup-0,5,Brouhaha
rec-253-dup-0,4,吵鬧
rec-253-dup-0,6,Aufruhr
rec-71-dup-0,3,흡수
rec-71-dup-0,9,Absorb
rec-71-dup-0,8,Assorbimento
rec-71-dup-0,6,Absorber
rec-71-dup-0,4,吸取
rec-71-dup-0,5,Vole-Vie
rec-71-dup-0,1,すいとる
rec-71-dup-0,12,吸取
rec-71-dup-0,11,すいとる
rec-71-dup-0,7,Absorber
rec-352-dup-0,9,Water Pulse
rec-352-dup-0,4,水之波動
rec-352-dup-0,1,みずのはどう
rec-352-dup-0,7,Hidropulso
rec-352-dup-0,3,물의파동
rec-352-dup-0,8,Idropulsar
rec-352-dup-0,11,みずのはどう
rec-352-dup-0,6,Aquawelle
rec-352-dup-0,12,水之波动
rec-352-dup-0,5,Vibraqua
rec-606-dup-0,5,Célébration
rec-606-dup-0,11,おいわい
rec-606-dup-0,4,慶祝
rec-606-dup-0,1,おいわい
rec-606-dup-0,3,축하
rec-606-dup-0,7,Celebración
rec-606-dup-0,6,Ehrentag
rec-606-dup-0,9,Celebrate
rec-606-dup-0,12,庆祝
rec-606-dup-0,8,Auguri
rec-696-dup-0,11,ハイパーダーククラッシャー
rec-696-dup-0,12,极恶飞跃粉碎击
rec-696-dup-0,5,Dark Body Press
rec-696-dup-0,7,Hiperplancha Oscura
rec-696-dup-0,3,하이퍼다크크러셔
rec-696-dup-0,1,ハイパーダーククラッシャー
rec-696-dup-0,6,Hyper Dark Crusher
rec-696-dup-0,9,Malicious Moonsault
rec-696-dup-0,8,Iperschianto delle Tenebre
rec-696-dup-0,4,極惡飛躍粉碎擊
rec-616-dup-0,3,그라운드포스
rec-616-dup-0,5,Force Chtonienne
rec-616-dup-0,7,Fuerza Telúrica
rec-616-dup-0,12,大地神力
rec-616-dup-0,8,Forza Tellurica
rec-616-dup-0,4,大地神力
rec-616-dup-0,1,グランドフォース
rec-616-dup-0,11,グランドフォース
rec-616-dup-0,6,Bodengewalt
rec-616-dup-0,9,Lands Wrath
rec-426-dup-1,8,Pantanobomba
rec-426-dup-1,4,泥巴炸彈
rec-426-dup-1,11,どろばくだん
rec-426-dup-1,9,Mud Bomb
rec-426-dup-1,7,Bomba Fango
rec-426-dup-1,1,どろばくだん
rec-426-dup-1,5,Boue-Bombe
rec-426-dup-1,12,泥巴炸弹
rec-426-dup-1,6,Schlammbombe
rec-426-dup-1,3,진흙폭탄
rec-470-dup-0,3,가드셰어
rec-470-dup-0,1,ガードシェア
rec-470-dup-0,7,Isoguardia
rec-470-dup-0,8,Paridifesa
rec-470-dup-0,11,ガードシェア
rec-470-dup-0,4,防守平分
rec-470-dup-0,5,Partage Garde
rec-470-dup-0,6,Schutzteiler
rec-470-dup-0,12,防守平分
rec-470-dup-0,9,Guard Split
rec-531-dup-1,9,Heart Stamp
rec-531-dup-1,6,Herzstempel
rec-531-dup-1,3,하트스탬프
rec-531-dup-1,11,ハートスタンプ
rec-531-dup-1,12,爱心印章
rec-531-dup-1,7,Arrumaco
rec-531-dup-1,5,Crève-Cœur
rec-531-dup-1,1,ハートスタンプ
rec-531-dup-1,4,愛心印章
rec-531-dup-1,8,Cuorestampo
rec-81-dup-0,7,Disparo Demora
rec-81-dup-0,4,吐絲
rec-81-dup-0,11,いとをはく
rec-81-dup-0,8,Millebave
rec-81-dup-0,12,吐丝
rec-81-dup-0,6,Fadenschuss
rec-81-dup-0,5,Sécrétion
rec-81-dup-0,1,いとをはく
rec-81-dup-0,3,실뿜기
rec-81-dup-0,9,String Shot
rec-122-dup-0,9,Lick
rec-122-dup-0,6,Schlecker
rec-122-dup-0,7,Lengüetazo
rec-122-dup-0,8,Leccata
rec-122-dup-0,1,したでなめる
rec-122-dup-0,3,핥기
rec-122-dup-0,11,したでなめる
rec-122-dup-0,12,舌舔
rec-122-dup-0,4,舌舔
rec-122-dup-0,5,Léchouille
rec-612-dup-0,4,增強拳
rec-612-dup-0,11,グロウパンチ
rec-612-dup-0,6,Steigerungshieb
rec-612-dup-0,5,Poing Boost
rec-612-dup-0,8,Crescipugno
rec-612-dup-0,1,グロウパンチ
rec-612-dup-0,12,增强拳
rec-612-dup-0,7,Puño Incremento
rec-612-dup-0,9,Power-Up Punch
rec-612-dup-0,3,그로우펀치
rec-466-dup-0,7,Viento Aciago
rec-466-dup-0,5,Vent Mauvais
rec-466-dup-0,11,あやしいかぜ
rec-466-dup-0,9,Ominous Wind
rec-466-dup-0,6,Unheilböen
rec-466-dup-0,12,奇异之风
rec-466-dup-0,1,あやしいかぜ
rec-466-dup-0,8,Funestovento
rec-466-dup-0,3,괴상한바람
rec-466-dup-0,4,奇異之風
rec-66-dup-0,8,Sottomissione
rec-66-dup-0,4,地獄翻滾
rec-66-dup-0,1,じごくぐるま
rec-66-dup-0,12,地狱翻滚
rec-66-dup-0,11,じごくぐるま
rec-66-dup-0,9,Submission
rec-66-dup-0,7,Sumisión
rec-66-dup-0,3,지옥의바퀴
rec-66-dup-0,6,Überroller
rec-66-dup-0,5,Sacrifice
rec-470-dup-1,3,가드셰어
rec-470-dup-1,1,ガードシェア
rec-470-dup-1,7,Isoguardia
rec-470-dup-1,8,Paridifesa
rec-470-dup-1,11,ガードシェア
rec-470-dup-1,4,防守平分
rec-470-dup-1,5,Partage Garde
rec-470-dup-1,6,Schutzteiler
rec-470-dup-1,12,防守平分
rec-470-dup-1,9,Guard Split
rec-574-dup-0,5,Voix Enjôleuse
rec-574-dup-0,9,Disarming Voice
rec-574-dup-0,12,魅惑之声
rec-574-dup-0,11,チャームボイス
rec-574-dup-0,6,Säuselstimme
rec-574-dup-0,1,チャームボイス
rec-574-dup-0,7,Voz Cautivadora
rec-574-dup-0,3,차밍보이스
rec-574-dup-0,8,Incantavoce
rec-574-dup-0,4,魅惑之聲
rec-189-dup-0,5,CoudBoue
rec-189-dup-0,7,Bofetón Lodo
rec-189-dup-0,6,Lehmschelle
rec-189-dup-0,11,どろかけ
rec-189-dup-0,8,Fangosberla
rec-189-dup-0,1,どろかけ
rec-189-dup-0,12,掷泥
rec-189-dup-0,4,擲泥
rec-189-dup-0,3,진흙뿌리기
rec-189-dup-0,9,Mud-Slap
rec-39-dup-0,5,Mimi-Queue
rec-39-dup-0,6,Rutenschlag
rec-39-dup-0,11,しっぽをふる
rec-39-dup-0,1,しっぽをふる
rec-39-dup-0,12,摇尾巴
rec-39-dup-0,4,搖尾巴
rec-39-dup-0,8,Colpocoda
rec-39-dup-0,7,Látigo
rec-39-dup-0,9,Tail Whip
rec-39-dup-0,3,꼬리흔들기
rec-369-dup-0,9,U-turn
rec-369-dup-0,8,Retromarcia
rec-369-dup-0,5,Demi-Tour
rec-369-dup-0,1,とんぼがえり
rec-369-dup-0,3,유턴
rec-369-dup-0,11,とんぼがえり
rec-369-dup-0,12,急速折返
rec-369-dup-0,4,急速折返
rec-369-dup-0,7,Ida y Vuelta
rec-369-dup-0,6,Kehrtwende
rec-223-dup-1,6,Wuchtschlag
rec-223-dup-1,12,爆裂拳
rec-223-dup-1,4,爆裂拳
rec-223-dup-1,3,폭발펀치
rec-223-dup-1,9,Dynamic Punch
rec-223-dup-1,7,Puño Dinámico
rec-223-dup-1,11,ばくれつパンチ
rec-223-dup-1,1,ばくれつパンチ
rec-223-dup-1,5,Dynamo-Poing
rec-223-dup-1,8,Dinamipugno
rec-193-dup-0,11,みやぶる
rec-193-dup-0,8,Preveggenza
rec-193-dup-0,4,識破
rec-193-dup-0,7,Profecía
rec-193-dup-0,1,みやぶる
rec-193-dup-0,3,꿰뚫어보기
rec-193-dup-0,6,Scharfblick
rec-193-dup-0,9,Foresight
rec-193-dup-0,12,识破
rec-193-dup-0,5,Clairvoyance
rec-574-dup-1,5,Voix Enjôleuse
rec-574-dup-1,9,Disarming Voice
rec-574-dup-1,12,魅惑之声
rec-574-dup-1,11,チャームボイス
rec-574-dup-1,6,Säuselstimme
rec-574-dup-1,1,チャームボイス
rec-574-dup-1,7,Voz Cautivadora
rec-574-dup-1,3,차밍보이스
rec-574-dup-1,8,Incantavoce
rec-574-dup-1,4,魅惑之聲
rec-167-dup-0,9,Triple Kick
rec-167-dup-0,4,三連踢
rec-167-dup-0,12,三连踢
rec-167-dup-0,7,Triple Patada
rec-167-dup-0,5,Triple Pied
rec-167-dup-0,11,トリプルキック
rec-167-dup-0,3,트리플킥
rec-167-dup-0,1,トリプルキック
rec-167-dup-0,6,Dreifachkick
rec-167-dup-0,8,Triplocalcio
rec-570-dup-1,9,Parabolic Charge
rec-570-dup-1,8,Caricaparabola
rec-570-dup-1,11,パラボラチャージ
rec-570-dup-1,3,파라볼라차지
rec-570-dup-1,12,抛物面充电
rec-570-dup-1,4,拋物面充電
rec-570-dup-1,1,パラボラチャージ
rec-570-dup-1,7,Carga Parábola
rec-570-dup-1,6,Parabolladung
rec-570-dup-1,5,Parabocharge
rec-223-dup-0,6,Wuchtschlag
rec-223-dup-0,12,爆裂拳
rec-223-dup-0,4,爆裂拳
rec-223-dup-0,3,폭발펀치
rec-223-dup-0,9,Dynamic Punch
rec-223-dup-0,7,Puño Dinámico
rec-223-dup-0,11,ばくれつパンチ
rec-223-dup-0,1,ばくれつパンチ
rec-223-dup-0,5,Dynamo-Poing
rec-223-dup-0,8,Dinamipugno
rec-158-dup-0,7,Hipercolmillo
rec-158-dup-0,9,Hyper Fang
rec-158-dup-0,11,ひっさつまえば
rec-158-dup-0,6,Hyperzahn
rec-158-dup-0,12,必杀门牙
rec-158-dup-0,4,必殺門牙
rec-158-dup-0,1,ひっさつまえば
rec-158-dup-0,3,필살앞니
rec-158-dup-0,5,Croc de Mort
rec-158-dup-0,8,Iperzanna
rec-615-dup-0,5,Myria-Vagues
rec-615-dup-0,9,Thousand Waves
rec-615-dup-0,1,サウザンウェーブ
rec-615-dup-0,12,千波激荡
rec-615-dup-0,6,Tausend Wellen
rec-615-dup-0,11,サウザンウェーブ
rec-615-dup-0,3,사우전드웨이브
rec-615-dup-0,8,Mille Onde
rec-615-dup-0,7,Mil Temblores
rec-615-dup-0,4,千波激盪
rec-442-dup-1,12,铁头
rec-442-dup-1,9,Iron Head
rec-442-dup-1,11,アイアンヘッド
rec-442-dup-1,3,아이언헤드
rec-442-dup-1,8,Metaltestata
rec-442-dup-1,1,アイアンヘッド
rec-442-dup-1,6,Eisenschädel
rec-442-dup-1,4,鐵頭
rec-442-dup-1,7,Cabeza de Hierro
rec-442-dup-1,5,Tête de Fer
rec-321-dup-1,5,Chatouille
rec-321-dup-1,7,Cosquillas
rec-321-dup-1,11,くすぐる
rec-321-dup-1,9,Tickle
rec-321-dup-1,6,Spaßkanone
rec-321-dup-1,1,くすぐる
rec-321-dup-1,12,挠痒
rec-321-dup-1,3,간지르기
rec-321-dup-1,4,搔癢
rec-321-dup-1,8,Solletico
rec-759-dup-0,6,Dyna-Gewitter
rec-759-dup-0,12,极巨闪电
rec-759-dup-0,1,ダイサンダー
rec-759-dup-0,5,Fulguromax
rec-759-dup-0,9,Max Lightning
rec-759-dup-0,4,極巨閃電
rec-759-dup-0,7,Maxitormenta
rec-759-dup-0,8,Dynasaetta
rec-759-dup-0,11,ダイサンダー
rec-759-dup-0,3,다이썬더
rec-552-dup-0,6,Feuerreigen
rec-552-dup-0,4,火之舞
rec-552-dup-0,5,Danse du Feu
rec-552-dup-0,11,ほのおのまい
rec-552-dup-0,3,불꽃춤
rec-552-dup-0,12,火之舞
rec-552-dup-0,1,ほのおのまい
rec-552-dup-0,7,Danza Llama
rec-552-dup-0,9,Fiery Dance
rec-552-dup-0,8,Voldifuoco
rec-217-dup-1,12,礼物
rec-217-dup-1,6,Geschenk
rec-217-dup-1,5,Cadeau
rec-217-dup-1,11,プレゼント
rec-217-dup-1,4,禮物
rec-217-dup-1,3,프레젠트
rec-217-dup-1,7,Presente
rec-217-dup-1,1,プレゼント
rec-217-dup-1,8,Regalino
rec-217-dup-1,9,Present
rec-563-dup-0,1,たがやす
rec-563-dup-0,4,耕地
rec-563-dup-0,11,たがやす
rec-563-dup-0,9,Rototiller
rec-563-dup-0,3,일구기
rec-563-dup-0,5,Fertilisation
rec-563-dup-0,6,Pflüger
rec-563-dup-0,8,Aracampo
rec-563-dup-0,12,耕地
rec-563-dup-0,7,Fertilizante
rec-230-dup-0,1,あまいかおり
rec-230-dup-0,4,甜甜香氣
rec-230-dup-0,5,Doux Parfum
rec-230-dup-0,8,Profumino
rec-230-dup-0,12,甜甜香气
rec-230-dup-0,3,달콤한향기
rec-230-dup-0,9,Sweet Scent
rec-230-dup-0,6,Lockduft
rec-230-dup-0,7,Dulce Aroma
rec-230-dup-0,11,あまいかおり
rec-666-dup-0,6,Florakur
rec-666-dup-0,1,フラワーヒール
rec-666-dup-0,12,花疗
rec-666-dup-0,4,花療
rec-666-dup-0,9,Floral Healing
rec-666-dup-0,5,Soin Floral
rec-666-dup-0,3,플라워힐
rec-666-dup-0,7,Cura Floral
rec-666-dup-0,8,Cura Floreale
rec-666-dup-0,11,フラワーヒール
rec-10-dup-1,5,Griffe
rec-10-dup-1,6,Kratzer
rec-10-dup-1,4,抓
rec-10-dup-1,8,Graffio
rec-10-dup-1,12,抓
rec-10-dup-1,9,Scratch
rec-10-dup-1,1,ひっかく
rec-10-dup-1,3,할퀴기
rec-10-dup-1,7,Arañazo
rec-10-dup-1,11,ひっかく
rec-781-dup-0,12,巨兽斩
rec-781-dup-0,4,巨獸斬
