species,local_language,name,genus
id-8,4,卡咪龜,龜寶可夢
id-8,5,Carabaffe,Pokémon Tortue
id-8,6,Schillok,Kröten-Pokémon
id-8,7,Wartortle,Pokémon Tortuga
id-8,8,Wartortle,Pokémon Tartaruga
id-8,9,Wartortle,Turtle Pokémon
id-8,11,カメール,かめポケモン
id-8,12,卡咪龟,龟宝可梦
id-9,1,カメックス,こうらポケモン
id-9,2,Kamex,
id-9,3,거북왕,껍질포켓몬
id-9,4,水箭龜,甲殼寶可夢
id-9,5,Tortank,Pokémon Carapace
id-9,6,Turtok,Panzertier-Pokémon
id-9,7,Blastoise,Pokémon Armazón
id-9,8,Blastoise,Pokémon Crostaceo
id-9,9,Blastoise,Shellfish Pokémon
id-9,11,カメックス,こうらポケモン
id-9,12,水箭龟,甲壳宝可梦
id-10,1,キャタピー,いもむしポケモン
id-10,2,Caterpie,
id-10,3,캐터피,애벌레포켓몬
id-10,4,綠毛蟲,蟲寶寶寶可夢
id-10,5,Chenipan,Pokémon Ver
id-10,6,Raupy,Wurm-Pokémon
id-10,7,Caterpie,Pokémon Gusano
id-10,8,Caterpie,Pokémon Baco
id-10,9,Caterpie,Worm Pokémon
id-10,11,キャタピー,いもむしポケモン
id-10,12,绿毛虫,虫宝宝宝可梦
id-11,1,トランセル,さなぎポケモン
id-11,2,Trancell,
id-11,3,단데기,번데기포켓몬
id-11,4,鐵甲蛹,蛹寶可夢
id-11,5,Chrysacier,Pokémon Cocon
id-11,6,Safcon,Kokon-Pokémon
id-11,7,Metapod,Pokémon Capullo
id-11,8,Metapod,Pokémon Bozzolo
id-11,9,Metapod,Cocoon Pokémon
id-11,11,トランセル,さなぎポケモン
id-11,12,铁甲蛹,蛹宝可梦
id-12,1,バタフリー,ちょうちょポケモン
id-12,2,Butterfree,
id-12,3,버터플,나비포켓몬
id-12,4,巴大蝶,蝴蝶寶可夢
id-12,5,Papilusion,Pokémon Papillon
id-12,6,Smettbo,Falter-Pokémon
id-12,7,Butterfree,Pokémon Mariposa
id-12,8,Butterfree,Pokémon Farfalla
id-12,9,Butterfree,Butterfly Pokémon
id-12,11,バタフリー,ちょうちょポケモン
id-12,12,巴大蝶,蝴蝶宝可梦
id-13,1,ビードル,けむしポケモン
id-13,2,Beedle,
id-13,3,뿔충이,송충이포켓몬
id-13,4,獨角蟲,毛毛蟲寶可夢
id-13,5,Aspicot,Pokémon Insectopic
id-13,6,Hornliu,Raupe
id-13,7,Weedle,Pokémon Oruga
id-13,8,Weedle,Pokémon Millepiedi
id-13,9,Weedle,Hairy Bug Pokémon
id-13,11,ビードル,けむしポケモン
id-13,12,独角虫,毛毛虫宝可梦
id-14,1,コクーン,さなぎポケモン
id-14,2,Cocoon,
id-14,3,딱충이,번데기포켓몬
id-14,4,鐵殼蛹,蛹寶可夢
id-14,5,Coconfort,Pokémon Cocon
id-14,6,Kokuna,Kokon
id-14,7,Kakuna,Pokémon Capullo
id-14,8,Kakuna,Pokémon Bozzolo
id-14,9,Kakuna,Cocoon Pokémon
id-14,11,コクーン,さなぎポケモン
id-14,12,铁壳蛹,蛹宝可梦
id-15,1,スピアー,どくばちポケモン
id-15,2,Spear,
id-15,3,독침붕,독벌포켓몬
id-15,4,大針蜂,毒蜂寶可夢
id-15,5,Dardargnan,Pokémon Guêpoison
id-15,6,Bibor,Giftbiene
id-15,7,Beedrill,Pokémon Abeja Veneno
id-15,8,Beedrill,Pokémon Velenape
id-15,9,Beedrill,Poison Bee Pokémon
id-15,11,スピアー,どくばちポケモン
id-15,12,大针蜂,毒蜂宝可梦
id-16,1,ポッポ,ことりポケモン
id-16,2,Poppo,
id-16,3,구구,아기새포켓몬
id-16,4,波波,小鳥寶可夢
id-16,5,Roucool,Pokémon Minoiseau
id-16,6,Taubsi,Kleinvogel
id-16,7,Pidgey,Pokémon Pajarito
id-16,8,Pidgey,Pokémon Uccellino
id-16,9,Pidgey,Tiny Bird Pokémon
id-16,11,ポッポ,ことりポケモン
id-16,12,波波,小鸟宝可梦
id-17,1,ピジョン,とりポケモン
id-17,2,Pigeon,
id-17,3,피죤,새포켓몬
id-17,4,比比鳥,鳥寶可夢
id-17,5,Roucoups,Pokémon Oiseau
id-17,6,Tauboga,Vogel
id-17,7,Pidgeotto,Pokémon Pájaro
id-17,8,Pidgeotto,Pokémon Uccello
id-17,9,Pidgeotto,Bird Pokémon
id-17,11,ピジョン,とりポケモン
id-17,12,比比鸟,鸟宝可梦
id-18,1,ピジョット,とりポケモン
id-18,2,Pigeot,
id-18,3,피죤투,새포켓몬
id-18,4,大比鳥,鳥寶可夢
id-18,5,Roucarnage,Pokémon Oiseau
id-18,6,Tauboss,Vogel
id-18,7,Pidgeot,Pokémon Pájaro
id-18,8,Pidgeot,Pokémon Uccello
id-18,9,Pidgeot,Bird Pokémon
id-18,11,ピジョット,とりポケモン
id-18,12,大比鸟,鸟宝可梦
id-19,1,コラッタ,ねずみポケモン
id-19,2,Koratta,
id-19,3,꼬렛,쥐포켓몬
id-19,4,小拉達,鼠寶可夢
id-19,5,Rattata,Pokémon Souris
id-19,6,Rattfratz,Maus
id-19,7,Rattata,Pokémon Ratón
id-19,8,Rattata,Pokémon Topo
id-19,9,Rattata,Mouse Pokémon
id-19,11,コラッタ,ねずみポケモン
id-19,12,小拉达,鼠宝可梦
id-20,1,ラッタ,ねずみポケモン
id-20,2,Ratta,
id-20,3,레트라,쥐포켓몬
id-20,4,拉達,鼠寶可夢
id-20,5,Rattatac,Pokémon Souris
id-20,6,Rattikarl,Maus
id-20,7,Raticate,Pokémon Ratón
id-20,8,Raticate,Pokémon Topo
id-20,9,Raticate,Mouse Pokémon
id-20,11,ラッタ,ねずみポケモン
id-20,12,拉达,鼠宝可梦
id-21,1,オニスズメ,ことりポケモン
id-21,2,Onisuzume,
id-21,3,깨비참,아기새포켓몬
id-21,4,烈雀,小鳥寶可夢
id-21,5,Piafabec,Pokémon Minoiseau
id-21,6,Habitak,Kleinvogel
id-21,7,Spearow,Pokémon Pajarito
id-21,8,Spearow,Pokémon Uccellino
id-21,9,Spearow,Tiny Bird Pokémon
id-21,11,オニスズメ,ことりポケモン
id-21,12,烈雀,小鸟宝可梦
id-22,1,オニドリル,くちばしポケモン
id-22,2,Onidrill,
id-22,3,깨비드릴조,부리포켓몬
id-22,4,大嘴雀,鳥嘴寶可夢
id-22,5,Rapasdepic,Pokémon Bec-Oiseau
id-22,6,Ibitak,Pickvogel
id-22,7,Fearow,Pokémon Pico
id-22,8,Fearow,Pokémon Becco
id-22,9,Fearow,Beak Pokémon
id-22,11,オニドリル,くちばしポケモン
id-22,12,大嘴雀,鸟嘴宝可梦
id-23,1,アーボ,へびポケモン
id-23,2,Arbo,
id-23,3,아보,뱀포켓몬
id-23,4,阿柏蛇,蛇寶可夢
id-23,5,Abo,Pokémon Serpent
id-23,6,Rettan,Schlange
id-23,7,Ekans,Pokémon Serpiente
id-23,8,Ekans,Pokémon Serpente
id-23,9,Ekans,Snake Pokémon
id-23,11,アーボ,へびポケモン
id-23,12,阿柏蛇,蛇宝可梦
id-24,1,アーボック,コブラポケモン
id-24,2,Arbok,
id-24,3,아보크,코브라포켓몬
id-24,4,阿柏怪,眼鏡蛇寶可夢
id-24,5,Arbok,Pokémon Cobra
id-24,6,Arbok,Kobra
id-24,7,Arbok,Pokémon Cobra
id-24,8,Arbok,Pokémon Cobra
id-24,9,Arbok,Cobra Pokémon
id-24,11,アーボック,コブラポケモン
id-24,12,阿柏怪,眼镜蛇宝可梦
id-25,1,ピカチュウ,ねずみポケモン
id-25,2,Pikachu,
id-25,3,피카츄,쥐포켓몬
id-25,4,皮卡丘,鼠寶可夢
id-25,5,Pikachu,Pokémon Souris
id-25,6,Pikachu,Maus-Pokémon
id-25,7,Pikachu,Pokémon Ratón
id-25,8,Pikachu,Pokémon Topo
id-25,9,Pikachu,Mouse Pokémon
id-25,11,ピカチュウ,ねずみポケモン
id-25,12,皮卡丘,鼠宝可梦
id-26,1,ライチュウ,ねずみポケモン
id-26,2,Raichu,
id-26,3,라이츄,쥐포켓몬
id-26,4,雷丘,鼠寶可夢
id-26,5,Raichu,Pokémon Souris
id-26,6,Raichu,Maus-Pokémon
id-26,7,Raichu,Pokémon Ratón
id-26,8,Raichu,Pokémon Topo
id-26,9,Raichu,Mouse Pokémon
id-26,11,ライチュウ,ねずみポケモン
id-26,12,雷丘,鼠宝可梦
id-27,1,サンド,ねずみポケモン
id-27,2,Sand,
id-27,3,모래두지,쥐포켓몬
id-27,4,穿山鼠,鼠寶可夢
id-27,5,Sabelette,Pokémon Souris
id-27,6,Sandan,Maus-Pokémon
id-27,7,Sandshrew,Pokémon Ratón
id-27,8,Sandshrew,Pokémon Topo
id-27,9,Sandshrew,Mouse Pokémon
id-27,11,サンド,ねずみポケモン
id-27,12,穿山鼠,鼠宝可梦
id-28,1,サンドパン,ねずみポケモン
id-28,2,Sandpan,
id-28,3,고지,쥐포켓몬
id-28,4,穿山王,鼠寶可夢
id-28,5,Sablaireau,Pokémon Souris
id-28,6,Sandamer,Maus-Pokémon
id-28,7,Sandslash,Pokémon Ratón
id-28,8,Sandslash,Pokémon Topo
id-28,9,Sandslash,Mouse Pokémon
id-28,11,サンドパン,ねずみポケモン
id-28,12,穿山王,鼠宝可梦
id-29,1,ニドラン♀,どくばりポケモン
id-29,2,Nidoran♀,
id-29,3,니드런♀,독침포켓몬
id-29,4,尼多蘭,毒針寶可夢
id-29,5,Nidoran♀,Pokémon Vénépic
id-29,6,Nidoran♀,Giftdorn-Pokémon
id-29,7,Nidoran♀,Pokémon Pin Veneno
id-29,8,Nidoran♀,Pokémon Velenago
id-29,9,Nidoran♀,Poison Pin Pokémon
id-29,11,ニドラン♀,どくばりポケモン
id-29,12,尼多兰,毒针宝可梦
id-30,1,ニドリーナ,どくばりポケモン
id-30,2,Nidorina,
id-30,3,니드리나,독침포켓몬
id-30,4,尼多娜,毒針寶可夢
id-30,5,Nidorina,Pokémon Vénépic
id-30,6,Nidorina,Giftdorn-Pokémon
id-30,7,Nidorina,Pokémon Pin Veneno
id-30,8,Nidorina,Pokémon Velenago
id-30,9,Nidorina,Poison Pin Pokémon
id-30,11,ニドリーナ,どくばりポケモン
id-30,12,尼多娜,毒针宝可梦
id-31,1,ニドクイン,ドリルポケモン
id-31,2,Nidoqueen,
id-31,3,니드퀸,드릴포켓몬
id-31,4,尼多后,鑽錐寶可夢
id-31,5,Nidoqueen,Pokémon Perceur
id-31,6,Nidoqueen,Bohrer-Pokémon
id-31,7,Nidoqueen,Pokémon Taladro
id-31,8,Nidoqueen,Pokémon Trapano
id-31,9,Nidoqueen,Drill Pokémon
id-31,11,ニドクイン,ドリルポケモン
id-31,12,尼多后,钻锥宝可梦
id-32,1,ニドラン♂,どくばりポケモン
id-32,2,Nidoran♂,
id-32,3,니드런♂,독침포켓몬
id-32,4,尼多朗,毒針寶可夢
id-32,5,Nidoran♂,Pokémon Vénépic
id-32,6,Nidoran♂,Giftdorn-Pokémon
id-32,7,Nidoran♂,Pokémon Pin Veneno
id-32,8,Nidoran♂,Pokémon Velenago
id-32,9,Nidoran♂,Poison Pin Pokémon
id-32,11,ニドラン♂,どくばりポケモン
id-32,12,尼多朗,毒针宝可梦
id-33,1,ニドリーノ,どくばりポケモン
id-33,2,Nidorino,
id-33,3,니드리노,독침포켓몬
id-33,4,尼多力諾,毒針寶可夢
id-33,5,Nidorino,Pokémon Vénépic
id-33,6,Nidorino,Giftdorn-Pokémon
id-33,7,Nidorino,Pokémon Pin Veneno
id-33,8,Nidorino,Pokémon Velenago
id-33,9,Nidorino,Poison Pin Pokémon
id-33,11,ニドリーノ,どくばりポケモン
id-33,12,尼多力诺,毒针宝可梦
id-34,1,ニドキング,ドリルポケモン
id-34,2,Nidoking,
id-34,3,니드킹,드릴포켓몬
id-34,4,尼多王,鑽錐寶可夢
id-34,5,Nidoking,Pokémon Perceur
id-34,6,Nidoking,Bohrer-Pokémon
id-34,7,Nidoking,Pokémon Taladro
id-34,8,Nidoking,Pokémon Trapano
id-34,9,Nidoking,Drill Pokémon
id-34,11,ニドキング,ドリルポケモン
id-34,12,尼多王,钻锥宝可梦
id-35,1,ピッピ,ようせいポケモン
id-35,2,Pippi,
id-35,3,삐삐,요정포켓몬
id-35,4,皮皮,妖精寶可夢
id-35,5,Mélofée,Pokémon Fée
id-35,6,Piepi,Feen-Pokémon
id-35,7,Clefairy,Pokémon Hada
id-35,8,Clefairy,Pokémon Fata
id-35,9,Clefairy,Fairy Pokémon
id-35,11,ピッピ,ようせいポケモン
id-35,12,皮皮,妖精宝可梦
id-36,1,ピクシー,ようせいポケモン
id-36,2,Pixy,
id-36,3,픽시,요정포켓몬
id-36,4,皮可西,妖精寶可夢
id-36,5,Mélodelfe,Pokémon Fée
id-36,6,Pixi,Feen-Pokémon
id-36,7,Clefable,Pokémon Hada
id-36,8,Clefable,Pokémon Fata
id-36,9,Clefable,Fairy Pokémon
id-36,11,ピクシー,ようせいポケモン
id-36,12,皮可西,妖精宝可梦
id-37,1,ロコン,きつねポケモン
id-37,2,Rokon,
id-37,3,식스테일,여우포켓몬
id-37,4,六尾,狐狸寶可夢
id-37,5,Goupix,Pokémon Renard
id-37,6,Vulpix,Fuchs-Pokémon
id-37,7,Vulpix,Pokémon Zorro
id-37,8,Vulpix,Pokémon Volpe
id-37,9,Vulpix,Fox Pokémon
id-37,11,ロコン,きつねポケモン
id-37,12,六尾,狐狸宝可梦
id-38,1,キュウコン,きつねポケモン
id-38,2,Kyukon,
id-38,3,나인테일,여우포켓몬
id-38,4,九尾,狐狸寶可夢
id-38,5,Feunard,Pokémon Renard
id-38,6,Vulnona,Fuchs-Pokémon
id-38,7,Ninetales,Pokémon Zorro
id-38,8,Ninetales,Pokémon Volpe
id-38,9,Ninetales,Fox Pokémon
id-38,11,キュウコン,きつねポケモン
id-38,12,九尾,狐狸宝可梦
id-39,1,プリン,ふうせんポケモン
id-39,2,Purin,
id-39,3,푸린,풍선포켓몬
id-39,4,胖丁,氣球寶可夢
id-39,5,Rondoudou,Pokémon Bouboule
id-39,6,Pummeluff,Ballon-Pokémon
id-39,7,Jigglypuff,Pokémon Globo
id-39,8,Jigglypuff,Pokémon Pallone
id-39,9,Jigglypuff,Balloon Pokémon
id-39,11,プリン,ふうせんポケモン
id-39,12,胖丁,气球宝可梦
id-40,1,プクリン,ふうせんポケモン
id-40,2,Pukurin,
id-40,3,푸크린,풍선포켓몬
id-40,4,胖可丁,氣球寶可夢
id-40,5,Grodoudou,Pokémon Bouboule
id-40,6,Knuddeluff,Ballon-Pokémon
id-40,7,Wigglytuff,Pokémon Globo
id-40,8,Wigglytuff,Pokémon Pallone
id-40,9,Wigglytuff,Balloon Pokémon
id-40,11,プクリン,ふうせんポケモン
id-40,12,胖可丁,气球宝可梦
id-41,1,ズバット,こうもりポケモン
id-41,2,Zubat,
id-41,3,주뱃,박쥐포켓몬
id-41,4,超音蝠,蝙蝠寶可夢
id-41,5,Nosferapti,Pokémon Chovsouris
id-41,6,Zubat,Fledermaus-Pokémon
id-41,7,Zubat,Pokémon Murciélago
id-41,8,Zubat,Pokémon Pipistrello
id-41,9,Zubat,Bat Pokémon
id-41,11,ズバット,こうもりポケモン
id-41,12,超音蝠,蝙蝠宝可梦
id-42,1,ゴルバット,こうもりポケモン
id-42,2,Golbat,
id-42,3,골뱃,박쥐포켓몬
id-42,4,大嘴蝠,蝙蝠寶可夢
id-42,5,Nosferalto,Pokémon Chovsouris
id-42,6,Golbat,Fledermaus-Pokémon
id-42,7,Golbat,Pokémon Murciélago
id-42,8,Golbat,Pokémon Pipistrello
id-42,9,Golbat,Bat Pokémon
id-42,11,ゴルバット,こうもりポケモン
id-42,12,大嘴蝠,蝙蝠宝可梦
id-43,1,ナゾノクサ,ざっそうポケモン
id-43,2,Nazonokusa,
id-43,3,뚜벅쵸,잡초포켓몬
id-43,4,走路草,雜草寶可夢
id-43,5,Mystherbe,Pokémon Racine
id-43,6,Myrapla,Unkraut-Pokémon
id-43,7,Oddish,Pokémon Hierbajo
id-43,8,Oddish,Pokémon Malerba
id-43,9,Oddish,Weed Pokémon
id-43,11,ナゾノクサ,ざっそうポケモン
id-43,12,走路草,杂草宝可梦
id-44,1,クサイハナ,ざっそうポケモン
id-44,2,Kusaihana,
id-44,3,냄새꼬,잡초포켓몬
id-44,4,臭臭花,雜草寶可夢
id-44,5,Ortide,Pokémon Racine
id-44,6,Duflor,Unkraut-Pokémon
id-44,7,Gloom,Pokémon Hierbajo
id-44,8,Gloom,Pokémon Malerba
id-44,9,Gloom,Weed Pokémon
id-44,11,クサイハナ,ざっそうポケモン
id-44,12,臭臭花,杂草宝可梦
id-45,1,ラフレシア,フラワーポケモン
id-45,2,Ruffresia,
id-45,3,라플레시아,꽃포켓몬
id-45,4,霸王花,花寶可夢
id-45,5,Rafflesia,Pokémon Fleur
id-45,6,Giflor,Blumen-Pokémon
id-45,7,Vileplume,Pokémon Flor
id-45,8,Vileplume,Pokémon Fiore
id-45,9,Vileplume,Flower Pokémon
id-45,11,ラフレシア,フラワーポケモン
id-45,12,霸王花,花宝可梦
id-46,1,パラス,きのこポケモン
id-46,2,Paras,
id-46,3,파라스,버섯포켓몬
id-46,4,派拉斯,蘑菇寶可夢
id-46,5,Paras,Pokémon Champignon
id-46,6,Paras,Pilz
id-46,7,Paras,Pokémon Hongo
id-46,8,Paras,Pokémon Fungo
id-46,9,Paras,Mushroom Pokémon
id-46,11,パラス,きのこポケモン
id-46,12,派拉斯,蘑菇宝可梦
id-47,1,パラセクト,きのこポケモン
id-47,2,Parasect,
id-47,3,파라섹트,버섯포켓몬
id-47,4,派拉斯特,蘑菇寶可夢
id-47,5,Parasect,Pokémon Champignon
id-47,6,Parasek,Pilz
id-47,7,Parasect,Pokémon Hongo
id-47,8,Parasect,Pokémon Fungo
id-47,9,Parasect,Mushroom Pokémon
id-47,11,パラセクト,きのこポケモン
id-47,12,派拉斯特,蘑菇宝可梦
id-48,1,コンパン,こんちゅうポケモン
id-48,2,Kongpang,
id-48,3,콘팡,곤충포켓몬
id-48,4,毛球,昆蟲寶可夢
id-48,5,Mimitoss,Pokémon Vermine
id-48,6,Bluzuk,Insekt
id-48,7,Venonat,Pokémon Insecto
id-48,8,Venonat,Pokémon Insetto
id-48,9,Venonat,Insect Pokémon
id-48,11,コンパン,こんちゅうポケモン
id-48,12,毛球,昆虫宝可梦
id-49,1,モルフォン,どくがポケモン
id-49,2,Morphon,
id-49,3,도나리,독나방포켓몬
id-49,4,摩魯蛾,毒蛾寶可夢
id-49,5,Aéromite,Pokémon Papipoison
id-49,6,Omot,Giftmotte
id-49,7,Venomoth,Pokémon Polilla Ven.
id-49,8,Venomoth,Pokémon Velentarma
id-49,9,Venomoth,Poison Moth Pokémon
id-49,11,モルフォン,どくがポケモン
id-49,12,摩鲁蛾,毒蛾宝可梦
id-50,1,ディグダ,もぐらポケモン
id-50,2,Digda,
id-50,3,디그다,두더지포켓몬
id-50,4,地鼠,鼴鼠寶可夢
id-50,5,Taupiqueur,Pokémon Taupe
id-50,6,Digda,Maulwurf-Pokémon
id-50,7,Diglett,Pokémon Topo
id-50,8,Diglett,Pokémon Talpa
id-50,9,Diglett,Mole Pokémon
id-50,11,ディグダ,もぐらポケモン
id-50,12,地鼠,鼹鼠宝可梦
id-51,1,ダグトリオ,もぐらポケモン
id-51,2,Dugtrio,
id-51,3,닥트리오,두더지포켓몬
id-51,4,三地鼠,鼴鼠寶可夢
id-51,5,Triopikeur,Pokémon Taupe
id-51,6,Digdri,Maulwurf-Pokémon
id-51,7,Dugtrio,Pokémon Topo
id-51,8,Dugtrio,Pokémon Talpa
id-51,9,Dugtrio,Mole Pokémon
id-51,11,ダグトリオ,もぐらポケモン
id-51,12,三地鼠,鼹鼠宝可梦
id-52,1,ニャース,ばけねこポケモン
id-52,2,Nyarth,
id-52,3,나옹,요괴고양이포켓몬
id-52,4,喵喵,妖怪貓寶可夢
id-52,5,Miaouss,Pokémon Chadégout
id-52,6,Mauzi,Katzen-Pokémon
id-52,7,Meowth,Pokémon Gato Araña
id-52,8,Meowth,Pokémon Graffimiao
id-52,9,Meowth,Scratch Cat Pokémon
id-52,11,ニャース,ばけねこポケモン
id-52,12,喵喵,妖怪猫宝可梦
id-53,1,ペルシアン,シャムネコポケモン
id-53,2,Persian,
id-53,3,페르시온,샴고양이포켓몬
id-53,4,貓老大,暹羅貓寶可夢
id-53,5,Persian,Pokémon Chadeville
id-53,6,Snobilikat,Rassekatzen-Pokémon
id-53,7,Persian,Pokémon Gato Fino
id-53,8,Persian,Pokémon Nobilgatto
id-53,9,Persian,Classy Cat Pokémon
id-53,11,ペルシアン,シャムネコポケモン
id-53,12,猫老大,暹罗猫宝可梦
id-54,1,コダック,あひるポケモン
id-54,2,Koduck,
id-54,3,고라파덕,오리포켓몬
id-54,4,可達鴨,鴨寶可夢
id-54,5,Psykokwak,Pokémon Canard
id-54,6,Enton,Enten-Pokémon
id-54,7,Psyduck,Pokémon Pato
id-54,8,Psyduck,Pokémon Papero
id-54,9,Psyduck,Duck Pokémon
id-54,11,コダック,あひるポケモン
id-54,12,可达鸭,鸭宝可梦
id-55,1,ゴルダック,あひるポケモン
id-55,2,Golduck,
id-55,3,골덕,오리포켓몬
id-55,4,哥達鴨,鴨寶可夢
id-55,5,Akwakwak,Pokémon Canard
id-55,6,Entoron,Enten-Pokémon
id-55,7,Golduck,Pokémon Pato
id-55,8,Golduck,Pokémon Papero
id-55,9,Golduck,Duck Pokémon
id-55,11,ゴルダック,あひるポケモン
id-55,12,哥达鸭,鸭宝可梦
id-56,1,マンキー,ぶたざるポケモン
id-56,2,Mankey,
id-56,3,망키,돈숭이포켓몬
id-56,4,猴怪,豬猴寶可夢
id-56,5,Férosinge,Pokémon Porsinge
id-56,6,Menki,Schwein/Affe
id-56,7,Mankey,Pokémon Mono Cerdo
id-56,8,Mankey,Pokémon Suinpanzé
id-56,9,Mankey,Pig Monkey Pokémon
id-56,11,マンキー,ぶたざるポケモン
id-56,12,猴怪,猪猴宝可梦
id-57,1,オコリザル,ぶたざるポケモン
id-57,2,Okorizaru,
id-57,3,성원숭,돈숭이포켓몬
id-57,4,火爆猴,豬猴寶可夢
id-57,5,Colossinge,Pokémon Porsinge
id-57,6,Rasaff,Schwein/Affe
id-57,7,Primeape,Pokémon Mono Cerdo
id-57,8,Primeape,Pokémon Suinpanzé
id-57,9,Primeape,Pig Monkey Pokémon
id-57,11,オコリザル,ぶたざるポケモン
id-57,12,火暴猴,猪猴宝可梦
id-58,1,ガーディ,こいぬポケモン
id-58,2,Gardie,
id-58,3,가디,강아지포켓몬
id-58,4,卡蒂狗,小狗寶可夢
id-58,5,Caninos,Pokémon Chiot
id-58,6,Fukano,Welpen-Pokémon
id-58,7,Growlithe,Pokémon Perrito
id-58,8,Growlithe,Pokémon Cagnolino
id-58,9,Growlithe,Puppy Pokémon
id-58,11,ガーディ,こいぬポケモン
id-58,12,卡蒂狗,小狗宝可梦
id-59,1,ウインディ,でんせつポケモン
id-59,2,Windie,
id-59,3,윈디,전설포켓몬
id-59,4,風速狗,傳說寶可夢
id-59,5,Arcanin,Pokémon Légendaire
id-59,6,Arkani,Legendär-Pokémon
id-59,7,Arcanine,Pokémon Leyenda
id-59,8,Arcanine,Pokémon Leggenda
id-59,9,Arcanine,Legendary Pokémon
id-59,11,ウインディ,でんせつポケモン
id-59,12,风速狗,传说宝可梦
id-60,1,ニョロモ,おたまポケモン
id-60,2,Nyoromo,
id-60,3,발챙이,올챙이포켓몬
id-60,4,蚊香蝌蚪,蝌蚪寶可夢
id-60,5,Ptitard,Pokémon Têtard
id-60,6,Quapsel,Kaulquappen-Pokémon
id-60,7,Poliwag,Pokémon Renacuajo
id-60,8,Poliwag,Pokémon Girino
id-60,9,Poliwag,Tadpole Pokémon
id-60,11,ニョロモ,おたまポケモン
id-60,12,蚊香蝌蚪,蝌蚪宝可梦
id-61,1,ニョロゾ,おたまポケモン
id-61,2,Nyorozo,
id-61,3,슈륙챙이,올챙이포켓몬
id-61,4,蚊香君,蝌蚪寶可夢
id-61,5,Têtarte,Pokémon Têtard
id-61,6,Quaputzi,Kaulquappen-Pokémon
id-61,7,Poliwhirl,Pokémon Renacuajo
id-61,8,Poliwhirl,Pokémon Girino
id-61,9,Poliwhirl,Tadpole Pokémon
