area,name,area_type,ended
id-977,Santa Cruz,Subdivision,f
id-84033,SeaTac,City,f
id-117122,Shiromi,District,f
id-89410,Absecon,City,f
id-30566,Mafra,City,f
id-1061,Amazonas,Subdivision,f
id-21685,Longiano,Municipality,f
id-116839,Apex,City,f
id-104400,St. Johns County,County,f
id-101121,Ersmark,City,f
id-101125,Österstad,City,f
rec-8406-dup-0,Notre-Dame-du-M0nt-Carmel,City,f
id-47828,Bellac,City,f
id-116834,East York,District,f
id-13023,Munkfors Municipality,Municipality,f
id-50419,Sannois,City,f
id-86851,Zelenogorsk,City,f
id-33093,Arques-la-Bataille,City,f
id-20626,Treviso,Municipality,f
id-86854,Zelenogradsk,City,f
id-3809,Brighton and Hove,Subdivision,f
id-3806,Bournemouth,Subdivision,f
id-117836,Haabneeme,City,f
id-116612,Waipu,City,f
id-9879,Okaya,City,f
id-116615,Old Bridge Township,Municipality,f
id-116618,Bethpage,District,f
id-87259,Cheboygan,City,f
id-17872,Aprica,Municipality,f
id-485,Västmanland,Subdivision,f
id-87356,Hillsdale,City,f
id-5312,Amarillo,City,f
id-96982,Beromünster,Municipality,f
id-51072,Écoyeux,City,f
id-92624,Milborne Port,City,f
id-37886,Terraube,City,f
id-92620,Iver,City,f
id-98298,Randwick,City,f
id-75682,Blaibach,Municipality,f
id-30167,Acton,City,f
id-116727,Nakachō,District,f
rec-4150-dup-0,Namuah,Subdivision,f
id-116721,Hatchōbori,District,f
id-10126,Kasuya,City,f
id-10431,Rifu,City,f
id-106006,Plainfield,Municipality,f
id-4429,Haute-Saône,Subdivision,f
id-116055,Cleethorpes,City,f
id-113398,Vila-seca,Municipality,f
id-116058,Canton,Municipality,f
id-80962,Thurles,City,f
id-5790,Misawa,City,f
rec-7096-dup-0,Baahlinek,City,f
id-102485,Tillamook County,County,f
id-5799,Richmond,City,f
id-87092,Beaumaris,City,f
id-70097,Walldürn,City,f
id-30700,Traun,City,f
id-10727,Chikusei,City,f
id-65250,Trouville,City,f
id-106317,Torremocha de Jarama,Municipality,f
id-81555,Pelham,City,f
id-32900,Bellancourt,City,f
rec-45426-dup-0,Lena,City,f
id-15750,Ala,Municipality,f
id-18583,Bonavigo,Municipality,f
id-100414,New Fairfield,City,f
id-10545,Samara,City,f
id-34669,Chessy,City,f
id-97871,Vich,Municipality,f
id-106173,Præstø,City,f
id-41,Central African Republic,Country,f
id-115812,Fort Erie,City,f
rec-60119-dup-0,Buil-en-Touraine,City,f
id-4613,Agrigento,Subdivision,f
id-68544,Levallois-Perret,City,f
id-96050,Seengen,Municipality,f
id-96051,Seon,Municipality,f
id-68946,Coesfeld,City,f
id-14914,Govone,Municipality,f
id-623,Ceará,Subdivision,f
id-69150,Greven,City,f
id-34069,Sauvo,Municipality,f
id-18856,Villafranca di Verona,Municipality,f
id-63772,Ainay-le-Château,City,f
id-629,Mato Grosso do Sul,Subdivision,f
id-97202,Siblingen,Municipality,f
id-5832,Annopol,City,f
rec-70227-dup-0,Römhilcl,City,f
id-63340,Portieux,City,f
id-76493,Neubiberg,Municipality,f
rec-27961-dup-0,Indiznola,City,f
id-16599,Levico Terme,Municipality,f
id-92070,Funchal,City,f
id-13137,Vellinge Municipality,Municipality,f
id-26236,Joplin,City,f
id-18859,Dolo,Municipality,f
id-82350,Loomis,City,f
id-97278,Metzerlen-Mariastein,Municipality,f
id-7815,Newark,City,f
id-18616,Bussolengo,Municipality,f
id-2867,Helmand,Subdivision,f
id-35715,La Chapelle-Souëf,City,f
id-9286,Annecy,City,f
id-118846,Tromsdalen,District,f
id-7819,Park Ridge,City,f
id-69845,Scheer,City,f
rec-117944-dup-0,Schnecksyille,City,f
rec-117668-dup-0,Pelam,City,f
id-69849,Scheßlitz,City,f
id-89455,Novi Sad,City,f
id-12767,Cali,City,f
id-80600,Götzis,Municipality,f
id-7367,Redding,City,f
id-54410,Bellinzona,City,f
id-68711,Ahaus,City,f
id-53721,Ménerbes,City,f
id-22310,Braintree,City,f
id-76016,Grasbrunn,Municipality,f
id-112751,Fuengirola,Municipality,f
id-112753,Währing,District,f
rec-22359-dup-0,Sou5hbridge,City,f
id-18051,Sermide,Municipality,f
id-57013,Saint-Martin-de-Castillon,City,f
rec-115070-dup-0,Botegraven-Reeuwijk,Municipality,f
id-114373,Grayshott,City,f
id-22137,Ottumwa,City,f
id-114376,Farringdon,City,f
id-69934,Sinzig,City,f
id-119391,Berriedale,City,f
id-119392,Arlington Heights,District,f
id-119421,Mountain Top,City,f
id-119426,Hoosick Falls,City,f
id-119395,Corryville,District,f
id-119424,Plaistow,City,f
id-119399,Patterson,City,f
id-23097,Chesterfield,City,f
rec-69785-dup-0,Rheinbqch,City,f
id-96518,Laufen,Municipality,f
id-7760,Dothan,City,f
id-46206,Limoux,City,f
id-115574,Heaton,District,f
id-22229,Wylie,City,f
id-58640,Bonne,City,f
id-118263,Sakaechō,District,f
id-118262,Kaigan,District,f
id-118261,Minami-Azabu,District,f
id-74655,Wiltingen,Municipality,f
id-49451,Gradignan,City,f
id-117883,Beverly,City,f
id-115975,Torrensville,District,f
id-29264,Chester,City,f
id-115972,Tweed Heads,City,f
id-69871,Schneeberg,City,f
id-305,Utah,Subdivision,f
id-76876,Schwarzach am Main,Municipality,f
id-107960,LAlcora,Municipality,f
id-23449,Riihimäki,City,f
id-101346,Grimbergen,Municipality,f
id-117959,Nana Glen,City,f
id-67495,Taunton,City,f
id-82614,Provincetown,City,f
id-84216,Morrison,City,f
id-48214,Liévin,City,f
id-45313,Saint-Saturnin,City,f
id-79456,Catford,City,f
id-98111,Kloten,Municipality,f
id-118468,Bonțida,City,f
id-67709,Rosporden,City,f
id-68975,Diez,City,f
id-111509,Salas,Municipality,f
id-99530,Boa Vista,City,f
id-29196,Hawkins,City,f
id-9281,Châteauroux,City,f
id-2272,Gazi Baba,Subdivision,f
id-118600,Kamstrup,City,f
id-118603,Clearview,Municipality,f
id-76900,Seefeld,Municipality,f
id-76903,Seeon-Seebruck,Municipality,f
id-78898,Großengottern,Municipality,f
id-118608,Kokubunchō,District,f
id-86910,Wrexham,City,f
id-6212,Bowen,City,f
id-86917,Shotton,City,f
id-84018,Kennewick,City,f
id-44683,Motherwell,City,f
id-117711,Sheffield Green,City,f
id-116441,Halifax,City,f
id-116998,Tewksbury Township,Municipality,f
id-116997,Eifuku,District,f
rec-81396-dup-0,FortPayne,City,f
id-74501,Uelversheim,Municipality,f
id-92505,Stoke-by-Nayland,City,f
id-80055,Großebersdorf,Municipality,f
id-83741,Summerville,City,f
id-70623,Hasselberg,Municipality,f
id-13039,Kumla Municipality,Municipality,f
id-118280,Sengawachō,District,f
id-118285,Nihonbashi-muromachi,District,f
id-118284,Shinkawa,District,f
id-104439,Charlotte County,County,f
id-118286,Minamikoiwa,District,f
id-117820,Saint-Benoît,District,f
id-3879,Brent,Subdivision,f
id-117825,Minato-machi,District,f
id-117828,Harkaway,District,f
id-3872,Leicestershire,Subdivision,f
id-75438,Waldbronn,Municipality,f
id-3875,Lisburn,Subdivision,f
id-42781,Jarnioux,City,f
id-5322,Salem,City,f
id-33976,Liminka,Municipality,f
id-492,Lubuskie,Subdivision,f
id-17800,Rocca Susella,Municipality,f
id-21544,Castel Maggiore,Municipality,f
id-83406,Palm Beach,City,f
id-69386,Landau an der Isar,City,f
id-79921,Großwarasdorf,Municipality,f
id-99712,Southwell,City,f
id-99713,Newark-on-Trent,City,f
id-69540,Mosbach,City,f
id-69542,Murrhardt,City,f
id-69547,Mölln,City,f
id-84192,Port Antonio,City,f
id-817,Cluj,Subdivision,f
id-104500,Clarke County,County,f
rec-22457-dup-0,Newaahk,City,f
id-116281,Swanzey,City,f
id-116287,Clayton,District,f
rec-53524-dup-0,Teddigton,District,f
id-91643,Warmond,City,f
id-2452,Sverdlovskaya oblast,Subdivision,f
id-75327,Schallstadt,Municipality,f
id-61561,Montcuq,City,f
id-87409,Manchester,City,f
id-4437,Yvelines,Subdivision,f
id-4435,Seine-Maritime,Subdivision,f
id-3307,Al Baḩr al Aḩmar,Subdivision,f
rec-87563-dup-0,Three Oak5,City,f
rec-21306-dup-0,Monte Sari Giusto,Municipality,f
id-18867,Vittorio Veneto,Municipality,f
id-5438,Oleśnica,City,f
id-91426,Brixton,City,f
id-29459,Luleå,City,f
id-116265,Kingston,City,f
id-116264,Wakefield,District,f
id-69096,Garbsen,City,f
rec-53445-dup-0,Louahmarin,City,f
id-27793,Miami,City,f
id-34474,Siikajoki,Municipality,f
id-45660,Augères,City,f
id-30717,Mödling,City,f
id-8220,Ashburton,City,f
id-106369,Robledo de Chavela,Municipality,f
rec-95861-dup-0,Green3ich,City,f
id-9083,Jiangmen,City,f
id-18597,Villorba,Municipality,f
id-45281,Saint-Léger-sous-Beuvray,City,f
id-63015,Neuvecelle,City,f
id-97108,Altstätten,Municipality,f
id-77242,Zangberg,Municipality,f
id-21596,Almenno San Salvatore,Municipality,f
id-30952,Doncaster,City,f
id-97800,Payerne,Municipality,f
id-93550,Kettlebaston,City,f
rec-75682-dup-0,Blsibach,Municipality,f
id-68575,Istres,City,f
id-1211,Cayo,Subdivision,f
id-14290,Bagnoregio,Municipality,f
id-93564,Benson,City,f
id-69369,Königsbrunn,City,f
id-11953,Lynnwood,City,f
id-146,Myanmar,Country,f
id-633,Pernambuco,Subdivision,f
id-632,Paraíba,Subdivision,f
id-1340,Lielvārdes novads,Subdivision,f
id-30007,Lac du Bonnet,City,f
id-29858,Kindersley,City,f
rec-33466-dup-0,Kyyjärv9,Municipality,f
id-12606,Os,Municipality,f
rec-116757-dup-0,Kitskarasuyama,District,f
id-107743,Picassent,Municipality,f
id-115769,Picton,City,f
id-80889,Jafre,City,f
id-106187,Rishikesh,City,f
id-3960,North East Lincolnshire,Subdivision,f
rec-71419-dup-0,Bockjorn,Municipality,f
rec-10545-dup-0,Samfra,City,f
id-91883,Moulton,City,f
id-71446,Buchholz,Municipality,f
id-83770,Bristol,City,f
id-91888,Limbricht,City,f
id-83351,Deltona,City,f
id-83350,Davie,City,f
id-7801,Surrey,City,f
id-83357,Port Orange,City,f
id-57297,Villedieu-les-Poêles,City,f
id-15745,Avio,Municipality,f
id-7483,Herborn,City,f
rec-11378-dup-0,Fertőr,City,f
id-50089,Bourg-la-Reine,City,f
id-89445,Burnley,City,f
id-7379,Woking,City,f
id-42378,Sérigny,City,f
rec-118200-dup-0,Hiraikecō,District,f
id-58985,Bétheny,City,f
id-68703,Thunder Bay,City,f
id-68702,Charlottetown,City,f
id-114964,Schijndel,Municipality,f
id-22987,Legazpi City,City,f
id-98612,Saint Peter,Subdivision,f
id-6227,Wałcz,City,f
rec-103427-dup-0,SunflowerC ounty,County,f
id-36388,Bouchemaine,City,f
id-115169,Jessheim,City,f
id-115168,Englishtown,Municipality,f
rec-52806-dup-0,Griknan,City,f
id-89841,Potchefstroom,City,f
id-18730,San Germano dei Berici,Municipality,f
id-15522,Oleggio,Municipality,f
id-12809,Marbella,City,f
rec-95592-dup-0,Hickor6,City,f
id-117915,Warrendale,City,f
id-12555,Lunner,Municipality,f
id-69946,Springe,City,f
id-5177,Vlissingen,City,f
id-92975,Wordwell,City,f
id-82752,Coos Bay,City,f
id-2056,Slovenj Gradec,Subdivision,f
id-11541,Suzuka,City,f
id-119411,Atherstone,City,f
id-119410,Tutbury,City,f
rec-27583-dup-0,Mayvqlle,City,f
id-82758,Happy Valley,City,f
id-80506,Hitzendorf,Municipality,f
id-97075,Le Locle,Municipality,f
id-98408,Albufeira,Municipality,f
id-7774,Beaumont,City,f
id-7778,Altensteig,City,f
id-76262,Kirchweidach,Municipality,f
id-76469,Möhrendorf,Municipality,f
id-119097,Maniwaki,City,f
id-72161,Worpswede,Municipality,f
rec-25057-dup-0,Oth0,City,f
id-53374,La Motte-Ternant,City,f
id-86731,Tver,City,f
id-39614,Passy,City,f
id-115980,East Perth,City,f
id-119679,Florence,District,f
id-118277,Minami-Kamata,District,f
id-9642,Lévis,City,f
id-118273,Nagasaki,District,f
id-115989,Estero,City,f
id-52806,Grignan,City,f
id-119671,High Falls,City,f
id-118278,Sakurachō,District,f
rec-46795-dup-0,Arbou5sols,City,f
rec-4004-dup-0,Scotish Borders,Subdivision,f
id-58455,Le Grand-Quevilly,City,f
rec-69831-dup-0,Salzweclel,City,f
id-118070,Saint-Augustin-de-Desmaures,City,f
id-36736,LIsle-dAbeau,City,f
id-118078,Bromyard,City,f
id-50660,Le Petit-Quevilly,City,f
id-114298,Vic,Municipality,f
id-82621,Rockport,City,f
id-117925,Bellvue,City,f
id-50065,Longpont-sur-Orge,City,f
id-82629,Sandwich,City,f
id-67710,Lomé,City,f
id-9711,Pieksämäki,City,f
id-67248,Villersexel,City,f
id-118474,Ancora,City,f
id-93612,Stoke,City,f
id-118508,Mong Kok,District,f
rec-30952-dup-0,Doricaster,City,f
id-93824,Zwijndrecht,Municipality,f
rec-80442-dup-0,Wilnering,Municipality,f
rec-13179-dup-0,Hørsholm Munikipality,Municipality,f
id-2202,Ammochostos,Subdivision,f
id-118612,Nyborg,City,f
id-118613,Humanes de Madrid,City,f
id-13608,Agliana,Municipality,f
id-52938,Labeaume,City,f
id-59680,Saint-Jans-Cappel,City,f
id-118619,Watanabe-dōri,District,f
id-81222,Augusta,City,f
id-69762,Ravensburg,City,f
id-1509,México,Subdivision,f
id-40135,Avezé,City,f
id-97650,Chexbres,Municipality,f
id-72588,Asbach,Municipality,f
id-39854,Tournon,City,f
id-21313,Fucecchio,Municipality,f
id-96853,Poschiavo,Municipality,f
id-75592,Aufhausen,Municipality,f
id-105112,Deogyang-gu,District,f
rec-119392-dup-0,Arlirigton Heights,District,f
rec-95311-dup-0,Wakkwn,City,f
id-95720,Nazareth,City,f
id-35996,Villey-Saint-Étienne,City,f
id-118100,Bonner-West Riverside,City,f
id-118101,River Grove,City,f
id-84723,Pinckneyville,City,f
id-5086,Volgograd,City,f
id-118298,Toyosu,District,f
id-118299,Shinonome,District,f
id-83993,Westmoreland,City,f
rec-114981-dup-0,Heeze-Leencle,Municipality,f
id-9418,Rajkot,City,f
id-118297,Higashijūjō,District,f
id-118294,Nakajuku,District,f
id-3869,Lancashire,Subdivision,f
id-5158,Vigo,City,f
id-117583,Whanganui,City,f
id-16679,Roncegno Terme,Municipality,f
id-44340,Saint-Gengoux-de-Scissé,City,f
id-116522,Fort Benning,Military base,f
id-117858,Goldsboro,City,f
id-3866,Isle of Wight,Subdivision,f
id-116674,Maliotenam,Indigenous territory / reserve,f
id-87272,Copemish,City,f
id-85834,Wheaton,City,f
id-40663,Sarzeau,City,f
id-9637,Fargo,City,f
rec-118640-dup-0,Chiyozzaki,District,f
id-27657,Bixby,City,f
id-9787,Yawatahama,City,f
id-69398,Lauchhammer,City,f
id-39073,Les Sorinières,City,f
id-86895,Renfrew,City,f
id-20978,Lodi,Municipality,f
id-69554,Mühlhausen,City,f
id-3914,Bradford,Subdivision,f
id-116296,Rosyth,City,f
id-116293,Big Flats,City,f
rec-93739-dup-0,Valk1<oog,City,f
id-30498,Boaz,City,f
id-3919,Dudley,Subdivision,f
rec-9790-dup-0,Niwhinomiya,City,f
id-557,Ordu,Subdivision,f
id-106577,La Orotava,Municipality,f
id-116079,Downingtown,City,f
id-4445,Vienne,Subdivision,f
id-60119,Bueil-en-Touraine,City,f
id-75174,Meißenheim,Municipality,f
id-29444,Šiauliai,City,f
id-4681,Perugia,Subdivision,f
id-116272,Gert Town,District,f
id-116271,Eskişehir,City,f
id-29449,Barrie,City,f
rec-21756-dup-0,Sunubry,City,f
id-92776,Wales,City,f
rec-29138-dup-0,Selna,City,f
id-30727,Klagenfurt,City,f
rec-116788-dup-0,Fit2roy,District,f
id-116189,Patna,City,f
id-10703,Midori,City,f
id-116187,Port Burwell,City,f
id-50374,Tournan-en-Brie,City,f
id-30925,Aylesbury,City,f
rec-118449-dup-0,Saint-Queritin-en-Yvelines,,f
rec-116612-dup-0,Waip,City,f
id-68566,Châtellerault,City,f
id-87053,Y Felinheli,City,f
rec-492-dup-0,Lubudkie,Subdivision,f
id-69175,Görlitz,City,f
id-14286,Canepina,Municipality,f
id-14281,Caprarola,Municipality,f
id-80880,Maple Valley,Municipality,f
id-41454,Huez,City,f
id-3489,Nouakchott,Subdivision,f
id-80886,Punta Gorda,City,f
id-23653,Penarth,City,f
id-69373,Königstein,City,f
id-70187,Wolfenbüttel,City,f
id-55243,Poligny,City,f
id-396,Chiba,Subdivision,f
rec-12518-dup-0,Guasdal,Municipality,f
id-12943,Täby municipality,Municipality,f
id-12941,Albertslund Municipality,Municipality,f
id-62996,Essertaux,City,f
rec-119506-dup-0,Appleby-in-Westmorlznd,City,f
rec-12932-dup-0,Hallstahammar Municpiality,Municipality,f
id-11542,Ichihara,City,f
id-12948,Värmdö municipality,Municipality,f
id-6764,Yountville,City,f
id-95881,Villmergen,City,f
id-115778,Broughty Ferry,District,f
id-106601,Tías,Municipality,f
rec-118099-dup-0,Mounta:nside,City,f
rec-118355-dup-0,Morclialloc,District,f
id-28318,Lenoir City,City,f
id-71450,Butjadingen,Municipality,f
id-70984,Pahlen,Municipality,f
id-71929,Reeßum,Municipality,f
rec-20978-dup-0,Lody,Municipality,f
id-84410,Cayey,City,f
id-101584,Crawford County,County,f
id-89477,Cancún,City,f
id-68471,Cuero,City,f
rec-94669-dup-0,Baaahlo,City,f
id-29311,Evansville,City,f
rec-30566-dup-0,Msfra,City,f
rec-77242-dup-0,Zangb3rg,Municipality,f
id-114915,Venray,Municipality,f
id-68775,Bad Fallingbostel,City,f
id-82247,Arroyo Grande,City,f
id-5951,Gladstone,City,f
id-23552,Svätý Jur,City,f
id-57408,Arc-et-Senans,City,f
id-119408,Pontyclun,City,f
id-119409,Pershore,City,f
id-57366,Saint-Pierre-Église,City,f
id-116050,Lindsay,City,f
id-23427,Heinola,City,f
id-10962,Imizu,City,f
id-22935,Manistee,City,f
rec-91713-dup-0,Garteren,City,f
id-103427,Sunflower County,County,f
rec-116271-dup-0,Ezkişehir,City,f
id-114821,Tytsjerksteradiel,Municipality,f
id-98044,Bachs,Municipality,f
id-76294,Krün,Municipality,f
id-89194,Rio Claro,City,f
id-68609,Cayenne,City,f
id-4852,Bagmati,Subdivision,f
id-115514,Kendal,City,f
id-15081,Carmignano,Municipality,f
id-22202,Gilmer,City,f
id-78618,Harbke,Municipality,f
id-95861,Greenwich,City,f
id-12497,Stord,Municipality,f
rec-101125-dup-0,Österstacl,City,f
id-95867,Cluj-Napoca,City,f
id-115992,Bromsgrove,City,f
rec-84682-dup-0,Belvider4,City,f
rec-118305-dup-0,Kichijōji-higaxichō,District,f
id-115995,Vashon,City,f
id-76850,Schliersee,Municipality,f
id-119661,Peterborough,City,f
id-6343,Louisville,City,f
id-119068,Kumla,City,f
id-22844,Daytona Beach,City,f
rec-46614-dup-0,Saint-R9bert,City,f
id-12582,Melhus,Municipality,f
id-22847,Boynton Beach,City,f
rec-72633-dup-0,Beindersbeim,Municipality,f
id-101366,Torhout,Municipality,f
id-101360,Beersel,Municipality,f
rec-70736-dup-0,Kirchbatkau,Municipality,f
id-101363,Aarschot,Municipality,f
id-44203,Groslay,City,f
id-69883,Schwabmünchen,City,f
id-115122,Sangkaragung,City,f
id-117937,Asmara,City,f
id-85169,Irving,City,f
id-117931,Kinna,City,f
id-67727,Saint-Michel,City,f
id-22118,Georgetown,City,f
id-87992,Abuja,City,f
id-118444,Grover,City,f
id-28572,Texarkana,City,f
id-118449,Saint-Quentin-en-Yvelines,,f
id-118448,Marlboro,City,f
id-22442,Redlands,City,f
id-98428,Fundão,Municipality,f
id-119563,Clinton Township,Municipality,f
id-99398,Gochang,Municipality,f
id-118628,Nakanoshima,District,f
id-88715,Västerås,City,f
id-118623,Saitōzaki,District,f
rec-3939-dup-0,Sunderlamd,City,f
id-105249,Limbourg,Municipality,f
id-22520,San Juan Bautista,City,f
id-29335,Oak Creek,City,f
id-105241,Aubange,Municipality,f
rec-80962-dup-0,Thvrles,City,f
id-81216,Elland,City,f
rec-7518-dup-0,Burladinken,City,f
id-1518,Sinaloa,Subdivision,f
id-21813,Elkins,City,f
id-49478,Voiron,City,f
id-119401,Kernersville,City,f
id-19728,Sabbioneta,Municipality,f
id-59959,Le Barcarès,City,f
id-68826,Bad Wünnenberg,City,f
id-21363,Asciano,Municipality,f
id-20786,Pastrengo,Municipality,f
rec-106369-dup-0,Robledo de Chsvela,Municipality,f
id-105101,Nebbi,City,f
id-69418,Leinfelden-Echterdingen,City,f
id-39883,New Cross,District,f
id-47872,Fréjus,City,f
id-117599,Northolt,City,f
id-9402,Rosenfeld,City,f
id-116864,Datong District,District,f
id-13058,Sjöbo Municipality,Municipality,f
id-117846,Mykolaiv,City,f
id-117842,Cadet,City,f
rec-117081-dup-0,Uchisqiwaichō,District,f
id-117848,Schwarzenberg,City,f
id-41057,Labatut-Rivière,City,f
id-94669,Baarlo,City,f
id-116888,Nishihara,District,f
id-5555,Ōtsu,City,f
id-9621,Tilburg,Municipality,f
id-17829,Brunello,Municipality,f
id-42565,Pruillé,City,f
id-47589,Parthenay,City,f
id-84773,Brunswick,City,f
id-5182,Pontevedra,City,f
id-5185,Marquette,City,f
id-547,Konya,Subdivision,f
id-30158,Caxias,City,f
id-69562,Münsingen,City,f
id-2439,Penzenskaya oblast,Subdivision,f
id-3922,Knowsley,Subdivision,f
id-75349,Schwörstadt,Municipality,f
id-16488,Guspini,Municipality,f
id-2434,Novosibirskaya oblast,Subdivision,f
id-116083,Park Forest,City,f
id-93012,Checkendon,City,f
id-82107,Youngstown,City,f
id-116088,Hoyvík,City,f
id-30808,Korneuburg,City,f
id-93492,Stapleford,City,f
id-99609,Cheadle,City,f
id-5458,Mogilyov,City,f
id-79874,Lockenhaus,Municipality,f
id-106293,Willimantic,City,f
id-68604,Crest,City,f
id-91408,Dorchester on Thames,City,f
id-116243,Blaricum,City,f
id-16935,Masi,Municipality,f
id-51330,Chiry-Ourscamp,City,f
id-1298,Ādažu novads,Subdivision,f
id-102452,Clark County,County,f
id-30737,Melk,City,f
id-728,Fejér,Subdivision,f
id-53964,Tarm,City,f
id-84086,Casper,City,f
id-115627,Fort Greene,District,f
id-8201,Hockley,City,f
id-84089,Cody,City,f
id-8751,Blackall,City,f
id-14634,Montechiaro dAsti,Municipality,f
rec-7683-dup-0,Kelkhim,City,f
id-100421,South Windham,City,f
id-4378,Côte-dOr,Subdivision,f
id-97822,Rolle,Municipality,f
id-81762,Florence,City,f
id-7006,Koronowo,City,f
rec-77557-dup-0,Stravpitz,Municipality,f
id-60742,Saint-Vincent-de-Tyrosse,City,f
id-30937,Malton,City,f
id-116705,Yonbanchō,District,f
rec-95720-dup-0,Nazsreth,City,f
rec-114373-dup-0,Grvyshott,City,f
id-26591,Camdenton,City,f
id-96061,Suhr,Municipality,f
id-112341,Covarrubias,Municipality,f
id-91713,Garderen,City,f
rec-501-dup-0,Świętokrzyski,Subdivision,f
id-4586,Yogyakarta,Subdivision,f
id-51936,Bruges,City,f
id-80890,Palos Verdes Estates,City,f
id-70195,Wunsiedel,City,f
id-70198,Wurzen,City,f
id-113581,Montoliu de Segarra,Municipality,f
id-14129,Osimo,Municipality,f
id-104705,San Bernardino County,County,f
id-11572,Ebetsu,City,f
id-90938,Brevik,City,f
id-23889,Murfreesboro,City,f
id-63101,Chaussy,City,f
rec-23638-dup-0,Readirig,City,f
id-81455,Hueytown,City,f
rec-83357-dup-0,Port Oranke,City,f
id-11378,Fertőd,City,f
id-71463,Cappel,Municipality,f
id-8375,Dobříš,City,f
id-71662,Hehlen,Municipality,f
rec-39102-dup-0,Frasne-le-Câteau,City,f
id-31467,Frontenac,City,f
id-29494,Ilkley,City,f
id-51801,Paimpol,City,f
id-29493,Oswestry,City,f
id-2854,Punjab,Subdivision,f
id-95601,Saint-Eustache,City,f
rec-3930-dup-0,Rotherhsm,Subdivision,f
id-7357,Dieppe,City,f
id-23637,Pyhäjärvi,City,f
id-23638,Reading,City,f
id-12716,Skedsmo,Municipality,f
id-80674,Hanford,City,f
id-12710,Stokke,Municipality,f
id-114975,Loon op Zand,Municipality,f
id-98630,Penticton,City,f
id-96476,Zweisimmen,Municipality,f
id-68769,Bad Doberan,City,f
id-114906,Delfzijl,Municipality,f
id-114905,Eemsmond,Municipality,f
id-11118,Murrieta,City,f
id-68761,Bad Berleburg,City,f
id-68760,Bad Berka,City,f
id-22327,Chelsea,City,f
id-110925,Olmos de Ojeda,Municipality,f
id-82251,Auburn,City,f
id-11804,Kanagawa-ku,District,f
id-83029,Hibbing,City,f
id-115699,Robinsonville,City,f
id-83865,Cumberland Gap,City,f
id-69961,Stein,City,f
id-12825,Solna municipality,Municipality,f
id-15278,Todi,Municipality,f
id-88317,Cockermouth,City,f
id-13535,Villa dAlmè,Municipality,f
id-941,Pembroke,Subdivision,f
rec-10681-dup-0,Ōsthū,City,f
id-11756,Nishi-ku,District,f
id-62276,Valcivières,City,f
id-81679,Carlin,City,f
id-1335,Krimuldas novads,Subdivision,f
id-100774,Arden,City,f
id-19706,Cortona,Municipality,f
id-98700,Morelia,City,f
id-114835,Franekeradeel,Municipality,f
id-68618,Cognac,City,f
id-76443,Miltach,Municipality,f
id-95878,Bremgarten,City,f
id-95874,Jalandhar,City,f
id-48644,Vasperviller,City,f
id-72727,Boos,Municipality,f
id-77533,Schwerin,Municipality,f
id-101732,Lancaster County,County,f
id-45294,Saint-Séverin,City,f
rec-101360-dup-0,Beersle,Municipality,f
id-118057,Nunhead,District,f
id-119501,Elizabethtown,City,f
id-6402,New Richmond,City,f
id-88222,Peckham,City,f
id-119506,Appleby-in-Westmorland,City,f
id-82633,Seekonk,City,f
id-118589,San Elizario,City,f
id-44742,Corner Brook,City,f
